match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_totalOffside,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_lastManTackle,stat_blockedScoringAttempt,captain,stat_dispossessed,stat_bigChanceMissed,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_errorLeadToAGoal,stat_punches,stat_outfielderBlock
10407001,home,KRC Genk,Maarten Vandevoordt,maarten-vandevoordt,M. Vandevoordt,G,26,192,1417,M,934385,EUR,1014681600,G,26,26,False,26.0,20.0,11.0,5.0,18.0,20.0,2.0,6.0,8.0,1.0,1.0,3.0,90.0,33.0,6.8,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407001,home,KRC Genk,Daniel Muñoz,daniel-munoz,D. Muñoz,M,2,183,12025,M,870360,EUR,833068800,D,23,23,False,54.0,47.0,4.0,1.0,22.0,23.0,25.0,32.0,5.0,,,,90.0,77.0,7.0,11.0,0,,,daniel.chitiva,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,
10407001,home,KRC Genk,Carlos Cuesta,carlos-cuesta,C. Cuesta,D,46,179,4440,M,839095,EUR,920937600,D,46,46,False,59.0,55.0,4.0,3.0,36.0,36.0,19.0,23.0,1.0,,,,90.0,69.0,7.5,6.0,1,,,,,1.0,1.0,2.0,3.0,,,,,4.0,,2.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
10407001,home,KRC Genk,Mark McKenzie,mark-mckenzie,M. McKenzie,D,3,183,655,M,922759,EUR,919900800,D,2,2,False,83.0,74.0,12.0,10.0,56.0,58.0,18.0,25.0,3.0,,,,90.0,93.0,7.1,9.0,0,,,,,,1.0,1.0,2.0,,,,,4.0,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,
10407001,home,KRC Genk,Gerardo Arteaga,gerardo-arteaga,G. Arteaga,D,3,173,772,M,856129,EUR,905126400,D,5,5,False,56.0,49.0,3.0,2.0,28.0,30.0,21.0,27.0,7.0,,,,90.0,85.0,6.3,15.0,1,,,,1.0,,1.0,3.0,1.0,,3.0,,,2.0,3.0,,,4.0,,,1.0,,,,1.0,,,,,,,,,,
10407001,home,KRC Genk,Bryan Heynen,heynen-bryan,B. Heynen,M,8,181,436,M,801025,EUR,855187200,M,8,8,False,24.0,16.0,3.0,2.0,3.0,4.0,13.0,20.0,4.0,,,,90.0,35.0,7.0,11.0,2,,,,,2.0,3.0,9.0,6.0,1.0,2.0,,,1.0,1.0,2.0,2.0,,3.0,,2.0,2.0,1.0,,,True,1.0,1.0,1.0,,,,,,
10407001,home,KRC Genk,Patrik Hrošovský,patrik-hrosovsky,P. Hrošovský,M,17,172,366,M,198282,EUR,703900800,M,17,17,False,51.0,44.0,4.0,4.0,18.0,20.0,26.0,32.0,7.0,,,,90.0,67.0,6.9,12.0,0,,,,1.0,,1.0,5.0,5.0,1.0,4.0,3.0,,2.0,2.0,1.0,,,1.0,,,,,,,,2.0,,,,,,,,
10407001,home,KRC Genk,Joseph Paintsil,joseph-paintsil,J. Paintsil,F,28,167,2698,M,901285,EUR,886291200,M,28,28,False,30.0,26.0,,,6.0,6.0,21.0,27.0,6.0,,,,90.0,47.0,8.3,10.0,1,,,,3.0,,,3.0,4.0,,,,2.0,,1.0,1.0,1.0,1.0,,,4.0,1.0,,,,,3.0,,3.0,1.0,1.0,,,,
10407001,home,KRC Genk,Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,180,25244,M,1126569,EUR,1084147200,M,34,34,False,61.0,51.0,5.0,3.0,19.0,20.0,32.0,41.0,3.0,,,,88.0,69.0,7.1,13.0,0,Bilal,El Khannouss,bilalekns_34,,3.0,1.0,5.0,3.0,,1.0,1.0,1.0,,,,,2.0,1.0,,1.0,,,,,,1.0,,1.0,1.0,,,,,
10407001,home,KRC Genk,Mike Trésor,mike-tresor,M. Trésor,M,31,175,1089,M,826183,EUR,927849600,M,11,11,False,50.0,41.0,2.0,1.0,13.0,14.0,29.0,40.0,6.0,,,,90.0,74.0,6.8,20.0,3,,,,4.0,,1.0,5.0,5.0,1.0,5.0,3.0,,,,1.0,1.0,5.0,1.0,,,,,,1.0,,1.0,,,,1.0,2.0,,,
