match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_totalOffside,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_keyPass,stat_totalCross,stat_dispossessed,stat_blockedScoringAttempt,stat_wonContest,stat_goals,stat_errorLeadToAGoal,captain,stat_accurateCross,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,player_sofascoreId
10407430,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187.0,231,M,156663,EUR,760492800,G,33,33,False,41.0,33.0,19.0,11.0,29.0,33.0,4.0,8.0,1.0,1.0,6.0,2.0,90.0,47.0,6.4,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Joseph Okumu,,,joseph-okumu,J. Okumu,D,2,193.0,662,M,985933,EUR,864604800,D,2,2,False,74.0,63.0,12.0,4.0,48.0,52.0,15.0,22.0,2.0,,12.0,,90.0,91.0,7.0,14.0,1,2.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Michael Ngadeu,,,michael-ngadeu,M. Ngadeu,D,5,190.0,816,M,245705,EUR,659318400,D,5,5,False,60.0,51.0,9.0,5.0,48.0,50.0,3.0,10.0,6.0,,5.0,,90.0,73.0,7.3,10.0,1,2.0,4.0,1.0,1.0,6.0,,2.0,2.0,,,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189.0,603,M,801003,EUR,870912000,D,23,23,False,65.0,54.0,8.0,4.0,37.0,42.0,17.0,23.0,3.0,1.0,9.0,,90.0,81.0,7.3,12.0,3,6.0,10.0,,2.0,,2.0,2.0,1.0,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180.0,256,M,1046245,EUR,1006300800,M,18,18,False,39.0,36.0,2.0,2.0,20.0,20.0,16.0,21.0,3.0,1.0,4.0,,66.0,58.0,6.0,11.0,1,,,,,,2.0,,,4.0,,,,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,
10407430,home,KAA Gent,Sulayman Marreh,,,sulayman-marreh,S. Marreh,M,,184.0,168,,238410,EUR,821664000,M,22,22,False,63.0,53.0,6.0,5.0,23.0,24.0,30.0,39.0,6.0,,5.0,,90.0,75.0,7.3,14.0,2,,4.0,1.0,1.0,,,2.0,2.0,4.0,1.0,5.0,1.0,,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
10407430,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176.0,164,M,45990,EUR,572832000,M,24,24,False,77.0,63.0,5.0,2.0,28.0,33.0,35.0,45.0,3.0,1.0,8.0,,85.0,85.0,6.6,17.0,1,,1.0,,,3.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,True,,,,,,,,
10407430,home,KAA Gent,Alessio Castro-Montes,,,alessio-castro-montes,A. Castro-Montes,M,21,175.0,289,M,839898,EUR,863827200,M,14,14,False,38.0,29.0,4.0,1.0,9.0,12.0,24.0,39.0,6.0,1.0,8.0,,90.0,73.0,7.2,24.0,1,,4.0,3.0,,1.0,1.0,2.0,1.0,2.0,1.0,1.0,,,,,1.0,,3.0,13.0,2.0,,1.0,,,,4.0,,,,,,,
10407430,home,KAA Gent,Andrew Hjulsager,,,andrew-hjulsager,A. Hjulsager,M,17,177.0,167,M,186807,EUR,790128000,F,17,17,False,18.0,13.0,1.0,,4.0,6.0,9.0,12.0,2.0,,,,33.0,23.0,6.4,7.0,0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10407430,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185.0,1406,M,836289,EUR,855273600,F,11,11,False,20.0,14.0,,,5.0,5.0,9.0,15.0,6.0,1.0,3.0,,90.0,30.0,7.0,9.0,3,1.0,3.0,1.0,,,,1.0,,2.0,1.0,,4.0,1.0,,,2.0,,,,,1.0,,1.0,,,,,,,,,,
