match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_onTargetScoringAttempt,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,captain,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_goals,stat_wasFouled,stat_dispossessed,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_punches,stat_bigChanceCreated,stat_totalOffside
11122537,home,RSC Anderlecht,Bart Verbruggen,bart-verbruggen,B. Verbruggen,G,1,193,4218,M,994363,EUR,1029628800,G,16,16,False,36.0,30.0,16.0,10.0,25.0,26.0,5.0,10.0,1.0,10.0,3.0,4.0,1.0,1.0,90.0,45.0,6.8,6.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11122537,home,RSC Anderlecht,Killian Sardella,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,41.0,35.0,4.0,3.0,11.0,15.0,27.0,31.0,,5.0,,,,,85.0,57.0,6.6,10.0,1,,,1.0,5.0,3.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,
11122537,home,RSC Anderlecht,Zeno Debast,zeno-debast,Z. Debast,D,6,191,3329,M,1126512,EUR,1066867200,D,56,56,False,53.0,49.0,6.0,4.0,29.0,31.0,21.0,24.0,,2.0,,,,,56.0,62.0,6.6,6.0,1,,,,2.0,1.0,1.0,4.0,,2.0,1.0,,1.0,,,,1.0,3.0,1.0,,,,,,,,,,,,,,
11122537,home,RSC Anderlecht,Jan Vertonghen,jan-vertonghen,J. Vertonghen,D,,189,1673,M,16921,EUR,546220800,D,14,14,False,88.0,82.0,7.0,4.0,42.0,43.0,40.0,45.0,1.0,7.0,,,,,90.0,106.0,6.9,7.0,1,,,,,,3.0,4.0,2.0,1.0,1.0,,7.0,2.0,1.0,,,1.0,,True,1.0,1.0,1.0,2.0,,,,,,,,,
11122537,home,RSC Anderlecht,Hannes Delcroix,hannes-delcroix,H. Delcroix,D,3,185,5276,M,826169,EUR,920160000,D,3,3,False,82.0,73.0,4.0,2.0,34.0,36.0,39.0,47.0,,8.0,,,,,90.0,96.0,6.9,11.0,0,,,,1.0,,1.0,6.0,,1.0,1.0,,3.0,2.0,1.0,,1.0,3.0,,,1.0,,1.0,1.0,,,,,,,,,
11122537,home,RSC Anderlecht,Mario Stroeykens,mario-stroeykens,M. Stroeykens,M,29,177,3682,M,1101702,EUR,1096416000,M,29,29,False,38.0,33.0,,,4.0,5.0,29.0,33.0,2.0,2.0,,,,,85.0,49.0,7.5,6.0,3,Mathieu,Stroeykens,,,,4.0,5.0,,4.0,4.0,,,,1.0,5.0,,,1.0,,,,,,1.0,1.0,,,,,,,
11122537,home,RSC Anderlecht,Marco Kana,marco-kana,M. Kana,D,55,183,383,M,964759,EUR,1028764800,M,55,55,False,73.0,68.0,2.0,2.0,25.0,27.0,43.0,46.0,,5.0,,,,,68.0,79.0,6.8,6.0,0,,,,,,2.0,3.0,,1.0,1.0,,,1.0,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,
11122537,home,RSC Anderlecht,Majeed Ashimeru,majeed-ashimeru,M. Ashimeru,M,18,182,1285,M,901149,EUR,876441600,M,18,18,False,73.0,65.0,2.0,1.0,19.0,20.0,46.0,54.0,,5.0,,,,,90.0,87.0,7.4,11.0,1,,,,1.0,,,7.0,,1.0,1.0,1.0,,2.0,1.0,,3.0,2.0,,,,,2.0,2.0,,2.0,,,,,,,
11122537,home,RSC Anderlecht,Anders Dreyer,anders-dreyer,A. Dreyer,F,10,174,2337,M,809280,EUR,894067200,F,36,36,False,44.0,32.0,1.0,,8.0,8.0,26.0,41.0,1.0,3.0,,,,,90.0,60.0,7.2,20.0,1,,,,5.0,2.0,3.0,2.0,,2.0,1.0,,,,2.0,,4.0,,,,,,2.0,,,1.0,2.0,,,,,,
11122537,home,RSC Anderlecht,Islam Slimani,islam-slimani,I. Slimani,F,19,188,7448,M,238708,EUR,582595200,F,13,13,False,38.0,30.0,,,11.0,12.0,19.0,26.0,4.0,1.0,,,,,90.0,54.0,8.2,10.0,9,,,,,,3.0,6.0,,1.0,1.0,5.0,,,1.0,,,4.0,,,2.0,,,,1.0,1.0,1.0,islamslimani09,1.0,1.0,,,
