match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,length,injury
11067479,FT,3.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
11067479,,,,,90,3.0,,1,,,card,Nicolas,Foul,False,120973322.0,False,yellow,841336.0,Nicolas,,
11067479,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,6.0,
11067479,,,,,87,,,4,,,substitution,,,,122136742.0,False,regular,,,,False
11067479,,,,,87,,,4,,,substitution,,,,122136741.0,False,regular,,,,False
11067479,,,,,82,,,9,,,substitution,,,,122136734.0,True,regular,,,,False
11067479,,,,,79,,,12,,,substitution,,,,122136726.0,True,regular,,,,False
11067479,,,,,79,,,12,,,substitution,,,,122136723.0,True,injury,,,,True
11067479,,3.0,2.0,,77,,,14,,,goal,,,,173715314.0,False,regular,794312.0,Emmanuel Martínez,,
11067479,,,,,75,,,16,,,substitution,,,,122136715.0,True,regular,,,,False
11067479,,,,,75,,,16,,,substitution,,,,122136714.0,True,regular,,,,False
11067479,,,,,71,,,20,,,substitution,,,,122136704.0,False,regular,,,,False
11067479,,,,,46,,,45,,,substitution,,,,122136670.0,False,regular,,,,False
11067479,,,,,46,,,45,,,substitution,,,,122136663.0,False,regular,,,,False
11067479,HT,3.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
11067479,,3.0,1.0,,45,3.0,,1,,,goal,,,,173714332.0,True,regular,808785.0,Vitor Bueno,,
11067479,,2.0,1.0,,45,,,1,,,goal,,,,173714279.0,True,regular,374486.0,Pablo,,
11067479,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,3.0,
11067479,,1.0,1.0,,28,,,18,,,goal,,,,173713964.0,True,regular,874063.0,Erick,,
11067479,,0.0,1.0,,12,,,34,,,goal,,,,173713580.0,False,regular,345847.0,Gonzalo Mastriani,,
