match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_shotOffTarget,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_blockedScoringAttempt,stat_wonTackle,stat_wasFouled,stat_accurateCross,stat_wonContest,stat_onTargetScoringAttempt,stat_dispossessed,stat_keyPass,player_sofascoreId,stat_hitWoodwork,stat_punches,stat_lastManTackle,stat_errorLeadToAShot,stat_totalOffside
11067581,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190,551,M,844576,EUR,871948800,G,1,1,False,True,26.0,23.0,12.0,9.0,21.0,21.0,2.0,5.0,11.0,1.0,3.0,5.0,1.0,1.0,90.0,40.0,8.1,4.0,0.0,0.0,0.00206257,0,0.6785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,José Andrés Hurtado,andres-hurtado,J. A. Hurtado,D,34,178,537,M,987589,EUR,1009065600,D,34,34,False,,38.0,23.0,7.0,1.0,11.0,15.0,12.0,26.0,8.0,,,,,,75.0,57.0,6.3,22.0,0.0061,0.0,0.00945275,1,,3.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Luan Patrick,luan-patrick,Luan Patrick,D,30,190,250,M,1002565,EUR,1011484800,D,30,30,False,,49.0,39.0,12.0,7.0,29.0,34.0,10.0,15.0,11.0,,,,,,90.0,60.0,7.1,11.0,0.0,0.0,0.00661421,0,,,1.0,1.0,3.0,1.0,1.0,,,,,,,1.0,3.0,2.0,2.0,,,,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Natan,natan,Natan,D,4,188,3280,M,1015287,EUR,981417600,D,4,4,False,,35.0,25.0,4.0,,14.0,16.0,11.0,19.0,6.0,,,,,,90.0,47.0,7.5,11.0,0.1236,0.0,0.00387761,2,,,1.0,9.0,2.0,11.0,,1.0,2.0,1.0,1.0,,,,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,
11067581,home,Red Bull Bragantino,Juninho Capixaba,juninho-capixaba,J. Capixaba,D,29,176,909,M,870556,EUR,868147200,D,29,29,False,,43.0,36.0,6.0,3.0,13.0,16.0,24.0,31.0,5.0,,,,,,90.0,64.0,7.3,11.0,0.0593,0.0283,0.0311287,2,,4.0,1.0,1.0,6.0,6.0,1.0,1.0,3.0,,3.0,,,2.0,1.0,,2.0,,3.0,1.0,1.0,1.0,1.0,,,,,,,,
11067581,home,Red Bull Bragantino,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,30,181,3216,M,331397,EUR,799718400,M,8,8,False,,41.0,26.0,,,3.0,5.0,29.0,52.0,1.0,,,,,,90.0,80.0,7.8,31.0,0.1576,0.1035,0.382683,5,,16.0,3.0,1.0,8.0,5.0,1.0,2.0,2.0,2.0,,,,2.0,1.0,,1.0,2.0,1.0,2.0,6.0,,1.0,2.0,8.0,,,,,,
11067581,home,Red Bull Bragantino,Matheus Fernandes,matheus-fernandes,M. Fernandes,M,35,183,759,M,840150,EUR,899164800,M,35,35,False,,26.0,21.0,5.0,5.0,9.0,11.0,12.0,15.0,6.0,,,,,,59.0,41.0,7.1,9.0,0.0,0.0,0.0111749,0,,,1.0,1.0,5.0,7.0,,,3.0,2.0,2.0,,,2.0,,,1.0,,3.0,1.0,,2.0,,2.0,,,,,,,
11067581,home,Red Bull Bragantino,Eric Ramires,eric-ramires,E. Ramires,M,7,172,386,M,950545,EUR,965865600,M,7,7,False,,48.0,38.0,6.0,3.0,10.0,14.0,29.0,35.0,13.0,,,,,,90.0,60.0,6.8,11.0,0.0,0.0,0.0654541,0,,1.0,1.0,,5.0,4.0,2.0,,2.0,,2.0,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,,
11067581,home,Red Bull Bragantino,Sorriso,sorriso,Sorriso,M,7,175,553,M,1105595,EUR,982886400,F,27,27,False,,20.0,15.0,,,3.0,5.0,12.0,20.0,4.0,,,,,,59.0,37.0,7.3,11.0,0.2896,0.2909,0.0102852,3,,5.0,3.0,3.0,4.0,7.0,,,2.0,,,Sorriso,,1.0,,,2.0,1.0,,1.0,,1.0,2.0,1.0,,,,,,,
11067581,home,Red Bull Bragantino,Eduardo Sasha,eduardo-sasha,E. Sasha,F,8,173,1446,M,143846,EUR,698889600,F,19,19,False,,23.0,15.0,,,6.0,9.0,9.0,14.0,3.0,,,,,,87.0,33.0,6.6,14.0,0.0541,0.0,0.0322253,2,,,2.0,2.0,6.0,3.0,,2.0,,3.0,1.0,,,1.0,,,,,,1.0,,,,2.0,1.0,,,,,,
