match_id,period,group,name,home,away
10909918,ALL,Match overview,Ball possession,38%,62%
10909918,ALL,Match overview,Big chances,2,5
10909918,ALL,Match overview,Total shots,13,20
10909918,ALL,Match overview,Goalkeeper saves,4,1
10909918,ALL,Match overview,Corner kicks,7,6
10909918,ALL,Match overview,Fouls,6,12
10909918,ALL,Match overview,Passes,261,456
10909918,ALL,Match overview,Tackles,27,13
10909918,ALL,Match overview,Free kicks,12,6
10909918,ALL,Match overview,Yellow cards,1,2
10909918,ALL,Shots,Total shots,13,20
10909918,ALL,Shots,Shots on target,5,5
10909918,ALL,Shots,Hit woodwork,0,1
10909918,ALL,Shots,Shots off target,5,9
10909918,ALL,Shots,Blocked shots,3,6
10909918,ALL,Shots,Shots inside box,9,12
10909918,ALL,Shots,Shots outside box,4,8
10909918,ALL,Attack,Big chances scored,1,0
10909918,ALL,Attack,Big chances missed,1,5
10909918,ALL,Attack,Through balls,0,1
10909918,ALL,Attack,Fouled in final third,0,1
10909918,ALL,Attack,Offsides,1,0
10909918,ALL,Passes,Accurate passes,154,351
10909918,ALL,Passes,Throw-ins,26,32
10909918,ALL,Passes,Final third entries,52,68
10909918,ALL,Passes,Long balls,17/74 (23%),30/56 (54%)
10909918,ALL,Passes,Crosses,4/23 (17%),5/20 (25%)
10909918,ALL,Duels,Duels,52%,48%
10909918,ALL,Duels,Dispossessed,11,15
10909918,ALL,Duels,Ground duels,44/75 (59%),31/75 (41%)
10909918,ALL,Duels,Aerial duels,14/36 (39%),22/36 (61%)
10909918,ALL,Duels,Dribbles,5/7 (71%),12/24 (50%)
10909918,ALL,Defending,Tackles won,63%,62%
10909918,ALL,Defending,Total tackles,27,13
10909918,ALL,Defending,Interceptions,9,13
10909918,ALL,Defending,Clearances,20,13
10909918,ALL,Goalkeeping,Total saves,4,1
10909918,ALL,Goalkeeping,Goal kicks,11,7
10909918,1ST,Match overview,Ball possession,42%,58%
10909918,1ST,Match overview,Big chances,0,1
10909918,1ST,Match overview,Total shots,4,9
10909918,1ST,Match overview,Goalkeeper saves,4,0
10909918,1ST,Match overview,Corner kicks,5,3
10909918,1ST,Match overview,Passes,146,218
10909918,1ST,Match overview,Tackles,13,8
10909918,1ST,Match overview,Free kicks,8,4
10909918,1ST,Match overview,Yellow cards,0,1
10909918,1ST,Shots,Total shots,4,9
10909918,1ST,Shots,Shots on target,1,4
10909918,1ST,Shots,Hit woodwork,0,1
10909918,1ST,Shots,Shots off target,1,3
10909918,1ST,Shots,Blocked shots,2,2
10909918,1ST,Shots,Shots inside box,3,6
10909918,1ST,Shots,Shots outside box,1,3
10909918,1ST,Attack,Big chances scored,0,0
10909918,1ST,Attack,Big chances missed,0,1
10909918,1ST,Attack,Through balls,0,0
10909918,1ST,Attack,Fouled in final third,0,1
10909918,1ST,Attack,Offsides,1,0
10909918,1ST,Passes,Accurate passes,91,167
10909918,1ST,Passes,Throw-ins,13,19
10909918,1ST,Passes,Final third entries,29,33
10909918,1ST,Passes,Long balls,12/35 (34%),16/29 (55%)
10909918,1ST,Passes,Crosses,1/16 (6%),1/12 (8%)
10909918,1ST,Duels,Duels,50%,50%
10909918,1ST,Duels,Dispossessed,8,9
10909918,1ST,Duels,Ground duels,24/44 (55%),20/44 (45%)
10909918,1ST,Duels,Aerial duels,8/20 (40%),12/20 (60%)
10909918,1ST,Duels,Dribbles,3/3 (100%),8/12 (67%)
10909918,1ST,Defending,Tackles won,62%,50%
10909918,1ST,Defending,Total tackles,13,8
10909918,1ST,Defending,Interceptions,5,10
10909918,1ST,Defending,Clearances,15,10
10909918,1ST,Goalkeeping,Total saves,4,0
10909918,1ST,Goalkeeping,Goal kicks,4,2
10909918,2ND,Match overview,Ball possession,33%,67%
10909918,2ND,Match overview,Big chances,2,4
10909918,2ND,Match overview,Total shots,9,11
10909918,2ND,Match overview,Goalkeeper saves,0,1
10909918,2ND,Match overview,Corner kicks,2,3
10909918,2ND,Match overview,Passes,115,238
10909918,2ND,Match overview,Tackles,14,5
10909918,2ND,Match overview,Free kicks,4,2
10909918,2ND,Match overview,Yellow cards,1,1
10909918,2ND,Shots,Total shots,9,11
10909918,2ND,Shots,Shots on target,4,1
10909918,2ND,Shots,Hit woodwork,0,0
10909918,2ND,Shots,Shots off target,4,6
10909918,2ND,Shots,Blocked shots,1,4
10909918,2ND,Shots,Shots inside box,6,6
10909918,2ND,Shots,Shots outside box,3,5
10909918,2ND,Attack,Big chances scored,1,0
10909918,2ND,Attack,Big chances missed,1,4
10909918,2ND,Attack,Through balls,0,1
10909918,2ND,Attack,Fouled in final third,0,0
10909918,2ND,Attack,Offsides,0,0
10909918,2ND,Passes,Accurate passes,63,184
10909918,2ND,Passes,Throw-ins,13,13
10909918,2ND,Passes,Final third entries,23,35
10909918,2ND,Passes,Long balls,5/39 (13%),14/27 (52%)
10909918,2ND,Passes,Crosses,3/7 (43%),4/8 (50%)
10909918,2ND,Duels,Duels,55%,45%
10909918,2ND,Duels,Dispossessed,3,6
10909918,2ND,Duels,Ground duels,20/31 (65%),11/31 (35%)
10909918,2ND,Duels,Aerial duels,6/16 (38%),10/16 (63%)
10909918,2ND,Duels,Dribbles,2/4 (50%),4/12 (33%)
10909918,2ND,Defending,Tackles won,64%,80%
10909918,2ND,Defending,Total tackles,14,5
10909918,2ND,Defending,Interceptions,4,3
10909918,2ND,Defending,Clearances,5,3
10909918,2ND,Goalkeeping,Total saves,0,1
10909918,2ND,Goalkeeping,Goal kicks,7,5
