match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_wasFouled,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,captain,stat_goalAssist,stat_goals,stat_hitWoodwork,stat_outfielderBlock
11096538,home,Manchester City,Stefan Ortega,stefan-ortega,S. Ortega,G,27,186,11780,M,stefan.ortega1,125274,EUR,721008000,G,18,18,False,79.0,67.0,30.0,19.0,56.0,60.0,11.0,19.0,2.0,6.0,2.0,3.0,1.0,3.0,3.0,90.0,87.0,7.9,12.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11096538,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26433,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,54.0,48.0,2.0,1.0,27.0,29.0,22.0,28.0,1.0,11.0,,,,,,90.0,73.0,7.5,10.0,2.0,0,,,3.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11096538,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40381,M,RúbenD,318941,EUR,863568000,D,3,3,False,51.0,49.0,5.0,4.0,29.0,29.0,20.0,22.0,2.0,2.0,,,,,,63.0,56.0,6.9,2.0,,0,,,,,2.0,4.0,,,,,2.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,
11096538,home,Manchester City,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191,10350,M,laporte27,149734,EUR,769996800,D,14,14,False,80.0,75.0,5.0,5.0,61.0,64.0,14.0,16.0,1.0,6.0,,,,,,90.0,88.0,7.2,5.0,,0,,,,,2.0,4.0,,,,,1.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,
11096538,home,Manchester City,Rodri,rodri,Rodri,M,16,191,87652,M,Rodri,827606,EUR,835401600,M,16,16,False,50.0,47.0,2.0,2.0,23.0,24.0,24.0,26.0,,7.0,,,,,,66.0,58.0,6.7,5.0,,2,,,,,6.0,3.0,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,1.0,,2.0,1.0,1.0,,,,,,,,
11096538,home,Manchester City,Rico Lewis,rico-lewis,R. Lewis,D,82,170,17470,M,Rico_Lewis,1136731,EUR,1100995200,M,82,82,False,28.0,25.0,1.0,1.0,12.0,14.0,13.0,14.0,1.0,1.0,,,,,,66.0,38.0,6.8,3.0,,0,Rico Lewis,,,,3.0,5.0,1.0,,,,,3.0,2.0,2.0,,1.0,1.0,,,,,,,,,,,
11096538,home,Manchester City,Riyad Mahrez,riyad-mahrez,R. Mahrez,M,7,179,70718,M,RMahrez,158213,EUR,667094400,F,26,26,False,41.0,36.0,1.0,1.0,9.0,9.0,27.0,33.0,,1.0,,,,,,90.0,59.0,7.3,11.0,4.0,2,,,1.0,,3.0,6.0,2.0,2.0,2.0,,1.0,2.0,2.0,,1.0,1.0,1.0,,,,1.0,2.0,5.0,,,,,
11096538,home,Manchester City,Kevin De Bruyne,kevin-de-bruyne,K. De Bruyne,M,11,181,315719,M,KDB,70996,EUR,678067200,M,17,17,False,41.0,34.0,5.0,4.0,12.0,12.0,22.0,29.0,,8.0,,,,,,89.0,55.0,8.6,11.0,3.0,2,,,,,5.0,7.0,1.0,5.0,2.0,2.0,,3.0,1.0,1.0,,,2.0,,1.0,1.0,,,,True,2.0,,,
11096538,home,Manchester City,Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,225448,M,LaAraña,944656,EUR,949276800,M,19,19,False,35.0,30.0,3.0,3.0,8.0,9.0,23.0,27.0,1.0,4.0,,,,,,90.0,53.0,9.8,8.0,3.0,5,,,1.0,1.0,4.0,8.0,2.0,4.0,3.0,1.0,,3.0,3.0,,,2.0,,1.0,,3.0,,2.0,1.0,,1.0,2.0,,
11096538,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,173851,M,Foden,859765,EUR,959472000,F,47,47,False,33.0,25.0,3.0,2.0,7.0,8.0,19.0,29.0,,2.0,,,,,,90.0,48.0,7.8,12.0,2.0,2,,,4.0,1.0,,8.0,,1.0,1.0,1.0,,1.0,1.0,,,2.0,4.0,,1.0,,,1.0,1.0,,1.0,,1.0,
11096538,home,Manchester City,Erling Haaland,erling-haaland,E. Haaland,F,9,194,849024,M,EHaaland,839956,EUR,964137600,F,9,9,False,10.0,4.0,,,,1.0,4.0,9.0,,,,,,,,63.0,19.0,9.5,8.0,,5,,,,,2.0,6.0,,1.0,1.0,,,1.0,,1.0,,4.0,,1.0,1.0,,,4.0,1.0,,,3.0,,
11096538,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22626,M,manuel_akanji,383560,EUR,806112000,D,25,25,True,36.0,34.0,3.0,2.0,27.0,27.0,7.0,9.0,,2.0,,,,,,27.0,37.0,6.7,2.0,,0,,,,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,
