match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_interceptionWon,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_clearanceOffLine,stat_outfielderBlock,stat_penaltyConceded,stat_fouls,stat_blockedScoringAttempt,stat_keyPass,stat_goalAssist,stat_challengeLost,stat_wonContest,stat_accurateCross,stat_bigChanceCreated,stat_bigChanceMissed,stat_totalOffside,player_firstName,player_lastName,stat_dispossessed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_penaltyWon,stat_errorLeadToAShot
10385542,home,Everton,Jordan Pickford,jordan-pickford,J. Pickford,G,1,185,7610,M,jpickford1,138530,EUR,762998400,G,1,1,False,28.0,10.0,25.0,7.0,4.0,5.0,6.0,23.0,1.0,4.0,1.0,90.0,31.0,6.2,18.0,0.0,0.0,0.011836,0,-0.0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,home,Everton,Séamus Coleman,seamus-coleman,S. Coleman,D,23,177,893,M,,76632,EUR,592531200,D,23,23,False,22.0,18.0,3.0,,6.0,8.0,12.0,16.0,,6.0,,76.0,36.0,6.3,10.0,0.0,0.0,0.00956409,0,,True,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10385542,home,Everton,Michael Keane,michael-keane,M. Keane,D,5,188,1573,M,,110846,EUR,726710400,D,5,5,False,36.0,33.0,6.0,3.0,20.0,20.0,13.0,16.0,,7.0,,90.0,48.0,7.8,5.0,0.1804,0.5427,0.011636,3,,,,1.0,4.0,6.0,,,,2.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
10385542,home,Everton,James Tarkowski,james-tarkowski,J. Tarkowski,D,6,185,2558,M,,145188,EUR,722131200,D,2,2,False,33.0,23.0,3.0,,11.0,11.0,12.0,22.0,3.0,8.0,,90.0,43.0,7.0,10.0,0.0764,0.0,0.0662954,1,,,,2.0,3.0,7.0,,1.0,,,1.0,5.0,,,,1.0,,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
10385542,home,Everton,Ben Godfrey,ben-godfrey,B. Godfrey,D,14,183,614,M,,754698,EUR,884822400,D,22,22,False,32.0,25.0,3.0,,6.0,9.0,19.0,25.0,1.0,10.0,,90.0,57.0,6.8,12.0,0.0668,0.0,0.0239426,1,,,2.0,1.0,6.0,5.0,2.0,3.0,1.0,2.0,,1.0,,,,4.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
10385542,home,Everton,Idrissa Gueye,idrissa-gueye,I. Gueye,M,27,174,21481,M,iganagueye,106337,EUR,622771200,M,27,27,False,47.0,42.0,3.0,3.0,12.0,13.0,30.0,34.0,1.0,8.0,,84.0,59.0,7.6,7.0,0.147,0.0803,0.0914347,2,,,,,1.0,5.0,,4.0,3.0,2.0,1.0,,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,
10385542,home,Everton,Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,8263,M,alexanderiwobi,352770,EUR,831081600,M,17,17,False,45.0,35.0,4.0,2.0,8.0,11.0,28.0,38.0,,11.0,,90.0,66.0,7.0,20.0,0.0399,0.0,0.191095,1,,,4.0,,6.0,5.0,8.0,2.0,1.0,2.0,,,1.0,,,,,,,,,2.0,,1.0,3.0,1.0,1.0,,,,,,,,,,
10385542,home,Everton,Abdoulaye Doucouré,abdoulaye-doucoure,A. Doucouré,M,8,182,1269,M,,96535,EUR,725846400,M,16,16,False,25.0,21.0,2.0,1.0,6.0,7.0,15.0,19.0,,4.0,,58.0,34.0,5.3,6.0,0.1633,0.0,0.0519725,1,,,1.0,3.0,10.0,2.0,,2.0,1.0,1.0,,,1.0,,,,,,,1.0,,1.0,,6.0,,,,1.0,1.0,,,,,,,,
10385542,home,Everton,Amadou Onana,amadou-onana,A. Onana,M,24,195,7180,M,its_onana,923973,EUR,997920000,M,8,8,False,46.0,41.0,5.0,3.0,18.0,20.0,23.0,26.0,1.0,11.0,,83.0,63.0,7.2,9.0,0.0832,0.7847,0.0537864,3,,,,2.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,,2.0,,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,
10385542,home,Everton,Dwight McNeil,dwight-mcneil,D. McNeil,M,7,183,1973,M,,935543,EUR,943228800,M,7,7,False,19.0,15.0,2.0,1.0,3.0,4.0,14.0,25.0,,4.0,,90.0,49.0,6.8,20.0,0.0,0.0,0.102391,0,,,10.0,1.0,6.0,4.0,2.0,2.0,2.0,4.0,,1.0,,,,3.0,,,,,,2.0,,2.0,1.0,2.0,,,,Dwight,McNeil,2.0,,,,,
