match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_totalOffside,stat_totalClearance,stat_wonTackle,captain,stat_keyPass,stat_accurateCross,stat_onTargetScoringAttempt,stat_wonContest,stat_clearanceOffLine,stat_dispossessed,stat_bigChanceMissed,stat_bigChanceCreated,player_sofascoreId,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_errorLeadToAShot
10385754,home,Leeds United,Illan Meslier,,,illan-meslier,I. Meslier,G,16,196,1694,M,906076,EUR,951955200,G,1,1,False,24.0,18.0,9.0,3.0,17.0,17.0,1.0,7.0,7.0,1.0,1.0,90.0,31.0,6.0,6.0,0.0,0.0,0.00012461,0,-0.8499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Luke Ayling,,,luke-ayling,L. Ayling,D,12,183,334,M,102624,EUR,683078400,D,2,2,False,43.0,36.0,5.0,4.0,20.0,21.0,16.0,24.0,5.0,,,90.0,68.0,6.8,12.0,0.1201,0.0,0.057602,2,,2.0,1.0,2.0,5.0,7.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10385754,home,Leeds United,Robin Koch,,,robin-koch,R. Koch,D,4,190,1826,M,581302,EUR,837561600,D,5,5,False,66.0,55.0,7.0,3.0,41.0,45.0,14.0,21.0,6.0,,,90.0,75.0,6.3,11.0,0.0,0.0,0.00663692,0,,,2.0,5.0,5.0,7.0,2.0,,,,,1.0,1.0,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,
10385754,home,Leeds United,Liam Cooper,,,liam-cooper,L. Cooper,D,16,186,304,M,39327,EUR,681177600,D,6,6,False,73.0,58.0,8.0,4.0,45.0,51.0,13.0,22.0,5.0,,,90.0,83.0,6.6,15.0,0.0528,0.0,0.00900269,1,,,3.0,2.0,4.0,5.0,,,,1.0,,3.0,3.0,,,1.0,,,1.0,True,1.0,,,,,,,,,,,,
10385754,home,Leeds United,Pascal Struijk,,,pascal-struijk,P. Struijk,D,5,190,1365,M,836675,EUR,934329600,D,21,21,False,46.0,35.0,1.0,,27.0,28.0,8.0,18.0,3.0,,,84.0,75.0,6.5,13.0,0.0,0.0,0.00797204,0,,,,3.0,3.0,4.0,1.0,,,,,4.0,1.0,,,2.0,,2.0,1.0,,,,,,,,,,,,,,
10385754,home,Leeds United,Sam Greenwood,,,sam-greenwood,S. Greenwood,F,90,180,626,M,980640,EUR,1012003200,M,42,42,False,31.0,21.0,6.0,,14.0,18.0,8.0,16.0,5.0,,,76.0,43.0,6.5,14.0,0.0724,0.1396,0.0931963,2,,3.0,,,3.0,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,
10385754,home,Leeds United,Marc Roca,,,marc-roca,M. Roca,M,21,184,1491,M,847128,EUR,848966400,M,8,8,False,60.0,53.0,11.0,9.0,26.0,29.0,27.0,32.0,7.0,,,90.0,75.0,7.6,9.0,0.1079,0.0,0.0292847,2,,1.0,1.0,1.0,4.0,4.0,,2.0,,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,,
10385754,home,Leeds United,Jack Harrison,,,jack-harrison,J. Harrison,M,17,175,1145,M,829570,EUR,848448000,M,11,11,False,31.0,19.0,5.0,1.0,6.0,7.0,14.0,27.0,6.0,,,90.0,54.0,5.4,23.0,0.2289,0.0,0.118022,1,,3.0,1.0,,11.0,3.0,4.0,3.0,,1.0,,,1.0,5.0,1.0,2.0,,1.0,,,1.0,1.0,,1.0,,2.0,1.0,,,,,,
10385754,home,Leeds United,Brenden Aaronson,,,brenden-aaronson,B. Aaronson,M,11,178,2596,M,973431,EUR,972172800,M,7,7,False,30.0,25.0,2.0,1.0,6.0,6.0,19.0,24.0,5.0,,,90.0,49.0,7.6,12.0,0.0635,0.0,0.30383,1,,,2.0,1.0,7.0,7.0,1.0,2.0,1.0,,,,4.0,3.0,1.0,,,1.0,,,7.0,,,1.0,,3.0,,2.0,,,,,
10385754,home,Leeds United,Luis Sinisterra,,,luis-sinisterra,L. Sinisterra,F,17,176,6576,M,836070,EUR,929577600,M,23,23,False,32.0,28.0,2.0,1.0,8.0,9.0,20.0,24.0,9.0,,,64.0,45.0,6.7,9.0,0.0,0.0,0.074581,0,,1.0,,,3.0,3.0,1.0,1.0,,,,,1.0,2.0,1.0,,1.0,,1.0,,1.0,,,1.0,,2.0,,,Sinisterra29,,,,
