match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAGoal,stat_aerialWon,stat_dispossessed,player_firstName,player_lastName,stat_outfielderBlock,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_keyPass,stat_wasFouled,stat_blockedScoringAttempt,stat_accurateCross,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,captain,stat_bigChanceMissed,stat_goodHighClaim,stat_goalAssist,stat_goals
10390043,home,Paris Saint-Germain,Gianluigi Donnarumma,gianluigi-donnarumma,G. Donnarumma,G,25,196,69953,M,donnarumma,824509,EUR,919900800,G,99,99,False,26.0,25.0,2.0,1.0,24.0,24.0,1.0,2.0,2.0,1.0,1.0,90.0,28.0,6.1,1.0,0.0,0.0,0.00047974,0,-0.5185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Juan Bernat,juan-bernat,J. Bernat,D,,170,1161,M,,96368,EUR,730944000,D,14,14,False,42.0,40.0,,,26.0,27.0,14.0,16.0,2.0,,,56.0,54.0,5.9,4.0,0.0,0.0,0.00834315,0,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Danilo Pereira,danilo-pereira,D. Pereira,D,2,187,4067,M,DaniloP,99545,EUR,684374400,D,15,15,False,91.0,87.0,5.0,3.0,68.0,69.0,19.0,22.0,7.0,,,90.0,96.0,6.5,5.0,0.0,0.0,0.0242705,0,,,,3.0,5.0,2.0,,,3.0,,1.0,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,El Chadaille Bitshiabu,el-chadaille-bitshiabu,E. C. Bitshiabu,D,5,196,1695,M,,1048009,EUR,1116201600,D,31,31,False,73.0,68.0,1.0,1.0,47.0,49.0,21.0,24.0,5.0,,,90.0,85.0,6.9,6.0,0.0,0.0,0.0106887,0,,,1.0,3.0,4.0,1.0,,,2.0,1.0,2.0,2.0,,2.0,,,,2.0,1.0,,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Timothee Pembele,timothee-pembele,T. Pembele,D,32,182,700,M,,1824137,EUR,1031529600,M,29,29,False,7.0,5.0,,,2.0,3.0,3.0,6.0,1.0,,,45.0,12.0,6.8,4.0,0.0769,0.0584,0.0011206,1,,2.0,,,2.0,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Vitinha,vitinha,Vitinha,M,17,172,50484,M,vitinha,902029,EUR,950400000,M,17,17,False,50.0,44.0,3.0,2.0,16.0,16.0,28.0,34.0,4.0,,,90.0,60.0,6.6,10.0,0.0259,0.0753,0.163772,1,,,,8.0,4.0,3.0,1.0,,,,3.0,2.0,,1.0,1.0,,,,3.0,1.0,2.0,2.0,,,,,,,,,,,
10390043,home,Paris Saint-Germain,Marco Verratti,marco-verratti,M. Verratti,M,6,165,6337,M,marcoverratti,126691,EUR,720921600,M,6,6,False,106.0,97.0,4.0,1.0,43.0,45.0,54.0,61.0,5.0,,,90.0,126.0,7.3,12.0,0.1188,0.1777,0.615545,1,,,,6.0,4.0,3.0,2.0,1.0,,2.0,1.0,,,1.0,2.0,,,,,1.0,,4.0,1.0,,,,,,,,,,
10390043,home,Paris Saint-Germain,Fabián Ruiz,fabian-ruiz,F. Ruiz,M,8,189,21859,M,fabianruiz52,784655,EUR,828489600,M,8,8,False,35.0,33.0,4.0,2.0,19.0,19.0,14.0,16.0,2.0,,,56.0,42.0,6.5,4.0,0.1656,0.0,0.181893,1,,,,3.0,1.0,2.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,
10390043,home,Paris Saint-Germain,Nuno Mendes,nuno-mendes,N. Mendes,D,25,180,37370,M,nunomendes_5,989768,EUR,1024444800,M,25,25,False,58.0,54.0,1.0,1.0,22.0,24.0,33.0,35.0,4.0,,,90.0,78.0,7.2,7.0,0.0,0.0,0.214536,0,,1.0,1.0,8.0,11.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,,1.0,,,,,4.0,,1.0,2.0,5.0,,1.0,1.0,,,,,,,
10390043,home,Paris Saint-Germain,Lionel Messi,lionel-messi,L. Messi,F,10,169,2023630,M,LM10,12994,EUR,551491200,F,30,30,False,64.0,50.0,3.0,2.0,13.0,17.0,38.0,50.0,4.0,,,90.0,87.0,8.0,26.0,0.2808,0.0967,0.590119,4,,3.0,,5.0,4.0,1.0,4.0,3.0,,,,,,,3.0,,,,,2.0,4.0,5.0,1.0,1.0,1.0,,2.0,1.0,,,,,
