match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_keyPass,stat_goalAssist,stat_totalContest,stat_bigChanceCreated,player_firstName,player_lastName,stat_wonContest,captain,player_sofascoreId,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork
10388447,home,SV Werder Bremen,Jiří Pavlenka,jiri-pavlenka,J. Pavlenka,G,1,196,521,M,154040,EUR,703209600,G,1,1,False,21.0,9.0,18.0,7.0,3.0,5.0,6.0,16.0,1.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0,90.0,31.0,6.8,12.0,0.0,0.0,0.00093308,0,-0.0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388447,home,SV Werder Bremen,Amos Pieper,amos-pieper,A. Pieper,D,5,191,299,M,851254,EUR,884995200,D,5,5,False,41.0,22.0,10.0,2.0,17.0,23.0,6.0,19.0,4.0,8.0,5.0,6.0,,,,,90.0,59.0,6.9,21.0,0.0423,0.0,0.0530279,1,,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10388447,home,SV Werder Bremen,Miloš Veljković,milos-veljkovic,M. Veljković,D,13,188,1253,M,227224,EUR,812073600,D,13,13,False,36.0,27.0,10.0,5.0,21.0,25.0,6.0,11.0,2.0,3.0,6.0,6.0,,,,,90.0,45.0,6.6,9.0,0.0,0.0,0.00377915,0,,,,2.0,3.0,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,
10388447,home,SV Werder Bremen,Niklas Stark,niklas-stark,N. Stark,D,4,190,247,M,229544,EUR,797817600,D,4,4,False,24.0,16.0,6.0,4.0,12.0,17.0,4.0,7.0,5.0,6.0,4.0,4.0,,,,,90.0,35.0,7.1,9.0,0.0214,0.1955,0.00582731,1,,,,2.0,5.0,,,1.0,1.0,1.0,1.0,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
10388447,home,SV Werder Bremen,Mitchell Weiser,mitchell-weiser,M. Weiser,M,8,176,1411,M,138150,EUR,766886400,M,8,8,False,58.0,40.0,5.0,3.0,10.0,16.0,30.0,44.0,1.0,10.0,3.0,13.0,,,,,90.0,99.0,8.5,27.0,0.0,0.0,0.462503,0,,2.0,,4.0,9.0,2.0,,,,6.0,4.0,4.0,3.0,1.0,2.0,,4.0,2.0,1.0,2.0,,,,,,,,,,,
10388447,home,SV Werder Bremen,Romano Schmid,romano-schmid,R. Schmid,M,20,168,1020,M,830127,EUR,948931200,M,20,20,False,44.0,35.0,4.0,3.0,10.0,11.0,25.0,34.0,1.0,3.0,3.0,7.0,,,,,90.0,64.0,6.2,20.0,0.0,0.0,0.210169,0,,1.0,,,7.0,5.0,,,,1.0,,3.0,1.0,,,,2.0,,2.0,,,,,,,,,,,,
10388447,home,SV Werder Bremen,Ilia Gruev,ilia-gruev,I. Gruev,M,44,185,2652,M,911679,EUR,957571200,M,28,28,False,20.0,15.0,3.0,1.0,10.0,12.0,5.0,8.0,,5.0,1.0,6.0,,,,,67.0,32.0,7.1,7.0,0.0,0.0,0.00320123,0,,,,,1.0,,,2.0,,3.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
10388447,home,SV Werder Bremen,Leonardo Bittencourt,leonardo-bittencourt,L. Bittencourt,M,10,171,295,M,111969,EUR,756259200,M,10,10,False,22.0,14.0,4.0,2.0,9.0,10.0,5.0,13.0,,3.0,,7.0,,,,,77.0,31.0,6.5,12.0,0.0,0.0,0.00214364,0,,1.0,,1.0,4.0,,,,1.0,1.0,,2.0,1.0,2.0,,,,,2.0,,,,1.0,,,,,,,,
10388447,home,SV Werder Bremen,Marco Friedl,marco-friedl,M. Friedl,D,32,187,536,M,825771,EUR,890006400,M,32,32,False,17.0,10.0,3.0,1.0,5.0,8.0,6.0,10.0,,2.0,5.0,8.0,,,,,68.0,40.0,6.5,14.0,0.0,0.0,0.0317464,0,,1.0,1.0,4.0,7.0,3.0,,,,1.0,,,1.0,,,,1.0,,,,,,,True,,,,,,,
10388447,home,SV Werder Bremen,Niclas Füllkrug,niclas-fullkrug,N. Füllkrug,F,9,188,9884,M,132645,EUR,729216000,F,11,11,False,33.0,17.0,6.0,3.0,3.0,6.0,15.0,28.0,5.0,7.0,,4.0,,,,,59.0,47.0,7.5,21.0,0.2249,0.4758,0.205216,3,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,,,,2.0,1.0,,,1.0,1.0,,2.0,,,,1.0,,niclas.fuellkrug24,1.0,1.0,1.0,,,
