match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_interceptionWon,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_challengeLost,stat_totalContest,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_totalOffside,stat_aerialWon,stat_dispossessed,captain,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_goalAssist,stat_hitWoodwork,stat_clearanceOffLine,stat_errorLeadToAGoal
10388456,home,VfL Wolfsburg,Koen Casteels,koen-casteels,K. Casteels,G,1,197,1416,M,70987,EUR,709430400,G,1,1,False,47.0,38.0,24.0,15.0,32.0,33.0,6.0,14.0,1.0,5.0,3.0,6.0,1.0,90.0,56.0,8.3,9.0,0.0,0.0,0.0028779,0,0.5688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Ridle Baku,ridle-baku,R. Baku,M,17,176,1448,M,856553,EUR,891993600,D,20,20,False,39.0,29.0,6.0,5.0,18.0,24.0,11.0,16.0,1.0,6.0,,,,90.0,55.0,7.8,13.0,0.0471,0.0,0.35359,1,,,,1.0,1.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Sebastiaan Bornauw,sebastiaan-bornauw,S. Bornauw,D,23,190,839,M,826167,EUR,922060800,D,3,3,False,38.0,34.0,3.0,2.0,29.0,33.0,5.0,5.0,9.0,3.0,,,,90.0,54.0,7.8,4.0,0.1423,0.0,0.00151485,1,,,,,2.0,,1.0,3.0,,,,,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Micky van de Ven,micky-van-de-ven,M. van de Ven,D,37,193,12555,M,998247,EUR,987638400,D,5,5,False,32.0,31.0,2.0,1.0,22.0,22.0,9.0,10.0,6.0,1.0,,,,90.0,46.0,8.2,1.0,0.5771,0.6777,0.00269069,1,,,,,2.0,5.0,,,4.0,3.0,,1.0,,,2.0,1.0,mickyvdven,1.0,1.0,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Paulo Otávio,paulo-otavio,P. Otávio,D,6,173,323,M,552180,EUR,785548800,D,6,6,False,25.0,20.0,3.0,1.0,12.0,15.0,8.0,10.0,,6.0,,,,90.0,46.0,7.0,9.0,0.0,0.0,0.0103037,0,,,,,5.0,4.0,,1.0,1.0,1.0,1.0,3.0,,1.0,3.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Jakub Kamiński,jakub-kaminski,J. Kamiński,M,16,178,5205,M,801263,EUR,1023235200,M,16,16,False,15.0,10.0,1.0,,2.0,3.0,8.0,13.0,,1.0,,,,88.0,28.0,6.5,10.0,0.4005,0.0,0.173412,3,,,,1.0,3.0,2.0,1.0,,2.0,2.0,4.0,,,2.0,1.0,,jakub.kaminskii,1.0,,2.0,,1.0,1.0,1.0,,,,,,,,,,
10388456,home,VfL Wolfsburg,Felix Nmecha,nmecha-felix,F. Nmecha,M,8,190,3992,M,907463,EUR,971136000,M,22,22,False,22.0,14.0,3.0,1.0,7.0,11.0,7.0,12.0,3.0,4.0,,,,88.0,38.0,7.1,12.0,0.1048,0.2779,0.173997,2,,,,1.0,5.0,3.0,,1.0,2.0,2.0,1.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,1.0,1.0,2.0,,,,,,,,
10388456,home,VfL Wolfsburg,Maximilian Arnold,maximilian-arnold,M. Arnold,M,27,184,898,M,147289,EUR,769996800,M,27,27,False,36.0,29.0,4.0,2.0,20.0,22.0,12.0,20.0,1.0,5.0,,,,90.0,54.0,7.8,12.0,0.0,0.0,0.212717,0,,,,6.0,2.0,5.0,,,3.0,1.0,2.0,2.0,2.0,3.0,,1.0,,,,,,,,,,,True,3.0,,,,,,
10388456,home,VfL Wolfsburg,Yannick Gerhardt,yannick-gerhardt,Y. Gerhardt,M,31,184,166,M,169255,EUR,763516800,M,31,31,False,28.0,22.0,5.0,3.0,12.0,15.0,11.0,14.0,,10.0,,,,90.0,35.0,6.7,8.0,0.0,0.0,0.187729,0,,,,1.0,5.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,2.0,,,,,,,,1.0,,,,,,
10388456,home,VfL Wolfsburg,Omar Marmoush,omar-marmoush,O. Marmoush,F,7,183,196340,M,873554,EUR,918345600,M,33,33,False,20.0,14.0,4.0,3.0,6.0,8.0,8.0,12.0,,6.0,,,,58.0,39.0,6.8,12.0,0.3829,0.2629,0.0213529,3,,,,,6.0,4.0,1.0,,1.0,1.0,3.0,1.0,1.0,,,3.0,OMarmoush,2.0,,2.0,4.0,,,,,1.0,,,2.0,,,,,
10388456,home,VfL Wolfsburg,Jonas Wind,jonas-wind,J. Wind,F,23,190,2374,M,826069,EUR,918345600,F,23,23,False,18.0,14.0,,,4.0,6.0,10.0,12.0,2.0,3.0,,,,75.0,33.0,7.3,7.0,0.5208,0.1263,0.604749,5,,,,,3.0,8.0,2.0,,1.0,,,2.0,,1.0,,,,1.0,,,2.0,,2.0,,5.0,1.0,,,,1.0,,,,
10388456,home,VfL Wolfsburg,Patrick Wimmer,patrick-wimmer,P. Wimmer,M,39,182,1034,M,987504,EUR,991180800,M,39,39,True,9.0,4.0,,,,1.0,4.0,10.0,,1.0,,,,32.0,18.0,7.1,9.0,0.0,0.0,0.471197,0,,,,2.0,5.0,5.0,,,3.0,1.0,2.0,,3.0,2.0,,,,,,2.0,,,,,2.0,,,,,1.0,1.0,,,
10388456,home,VfL Wolfsburg,Lukas Nmecha,lukas-nmecha,L. Nmecha,F,14,185,2645,M,803185,EUR,913593600,F,10,10,True,3.0,3.0,,,,,3.0,3.0,,1.0,,,,15.0,9.0,7.4,2.0,0.3748,0.9639,0.00049099,1,,,,,2.0,3.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,2.0,,,1.0,,1.0,,,2.0,,,,,
10388456,home,VfL Wolfsburg,Jérôme Roussillon,jerome-roussillon,J. Roussillon,D,21,175,187,M,146500,EUR,726278400,D,15,15,True,,,,,,,,,,,,,,8.0,,6.5,,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Mattias Svanberg,svanberg-mattias,M. Svanberg,M,32,185,641,M,796987,EUR,915494400,M,32,32,True,,,,,,,,,,,,,,8.0,1.0,6.5,,0.0,0.0,0.0,0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Pavao Pervan,pavao-pervan,P. Pervan,G,12,193,111,M,35976,EUR,563760000,G,12,12,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Maxence Lacroix,maxence-lacroix,M. Lacroix,D,5,192,6983,M,879674,EUR,954979200,D,4,4,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10388456,home,VfL Wolfsburg,Kilian Fischer,kilian-fischer,K. Fischer,D,2,179,189,M,995316,EUR,971308800,D,2,2,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
