match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,length,injury,playerName,reason,rescinded,description
10411446,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10411446,,2.0,0.0,,90,,,1,,,goal,165829598.0,True,regular,901325.0,Nicolás González,,,,,,
10411446,,,,,90,0.0,,1,,,injuryTime,,,,,,5.0,,,,,
10411446,,,,,79,,,12,,,substitution,121323385.0,True,regular,,,,False,,,,
10411446,,,,,79,,,12,,,substitution,121323384.0,True,regular,,,,False,,,,
10411446,,,,,76,,,15,,,card,120466010.0,False,yellow,138165.0,Koray Günter,,,Koray Günter,Foul,False,
10411446,,,,,74,,,17,,,card,120465995.0,True,yellow,330705.0,Antonín Barák,,,Antonín Barák,Foul,False,
10411446,,,,,70,,,21,,,substitution,121323207.0,False,regular,,,,False,,,,
10411446,,,,,66,,,25,,,substitution,121323161.0,True,regular,,,,False,,,,
10411446,,,,,66,,,25,,,substitution,121323160.0,True,regular,,,,False,,,,
10411446,,,,,60,,,31,,,substitution,121323080.0,False,regular,,,,False,,,,
10411446,,,,,58,,,33,,,card,120465878.0,True,yellow,36784.0,Giacomo Bonaventura,,,Giacomo Bonaventura,Foul,False,
10411446,,,,,55,,,36,,,substitution,121322986.0,False,regular,,,,False,,,,
10411446,,,,,54,,,37,,,substitution,121322985.0,False,regular,,,,False,,,,
10411446,,,,,50,,,41,,,substitution,121322946.0,True,injury,,,,True,,,,
10411446,,,,,46,,,45,,,card,120465815.0,False,yellow,1157713.0,Isak Hien,,,Isak Hien,Foul,False,
10411446,,,,,46,,,45,,,substitution,121322891.0,False,regular,,,,False,,,,
10411446,HT,1.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10411446,,,,,45,0.0,,1,,,injuryTime,,,,,,3.0,,,,,
10411446,,,,,34,,,12,,,card,120465607.0,False,yellow,795541.0,Thomas Henry,,,Thomas Henry,Argument,False,
10411446,,,,,32,,,14,,,card,120465584.0,True,yellow,359272.0,Sofyan Amrabat,,,Sofyan Amrabat,Foul,False,
10411446,,,,,26,,,20,,,inGamePenalty,118406333.0,True,missed,122848.0,Cristiano Biraghi,,,,goalkeeperSave,,Goalkeeper save
10411446,,,,,25,,,21,,,card,120465820.0,False,yellow,1050692.0,Diego Coppola,,,Diego Coppola,Foul,False,
10411446,,,,,22,,,24,,,card,120465522.0,True,yellow,548178.0,Rolando Mandragora,,,Rolando Mandragora,Foul,False,
10411446,,1.0,0.0,,13,,,33,,,goal,165826286.0,True,regular,802142.0,Jonathan Ikoné,,,,,,
