match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_sofascoreId,stat_totalCross,stat_bigChanceCreated,stat_interceptionWon,stat_fouls,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_challengeLost,stat_totalContest,stat_wonContest,stat_goals,captain,stat_totalOffside,stat_blockedScoringAttempt,stat_outfielderBlock,stat_ownGoals
10411478,home,Spezia,Bartłomiej Drągowski,bartlomiej-dragowski,B. Drągowski,G,1,191,2915,M,329519,EUR,871948800,G,69,69,False,23.0,13.0,16.0,6.0,8.0,9.0,5.0,14.0,1.0,1.0,7.0,1.0,5.0,7.0,1.0,1.0,90.0,38.0,7.8,10.0,0.0,0.0,0.00325549,0,-0.0257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182,2540,M,847097,EUR,968889600,D,4,4,False,40.0,33.0,5.0,4.0,16.0,18.0,17.0,22.0,7.0,1.0,4.0,2.0,,,,,87.0,63.0,7.1,10.0,0.1897,0.1076,0.0160006,2,,,,3.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15163,M,976037,EUR,950572800,D,14,14,False,51.0,45.0,5.0,3.0,39.0,42.0,6.0,10.0,8.0,7.0,2.0,,,,,,90.0,65.0,7.4,8.0,0.0,0.0,0.166028,0,,,,,6.0,1.0,,,,2.0,1.0,,j_kiwior,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10411478,home,Spezia,Dimitrios Nikolaou,dimitris-nikolaou,D. Nikolaou,D,43,188,244,M,788185,EUR,902966400,D,43,43,False,55.0,45.0,10.0,6.0,35.0,40.0,10.0,15.0,2.0,2.0,6.0,,,,,,90.0,64.0,6.9,10.0,0.0,0.0,0.00843761,0,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,
10411478,home,Spezia,Emil Holm,emil-holm,E. Holm,D,2,191,1648,M,965264,EUR,958176000,M,2,2,False,24.0,15.0,2.0,1.0,5.0,6.0,12.0,28.0,7.0,3.0,4.0,,,,,,90.0,52.0,7.2,23.0,0.0,0.0,0.216259,0,,,,5.0,5.0,8.0,,,,2.0,1.0,1.0,,10.0,1.0,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,
10411478,home,Spezia,Viktor Kovalenko,viktor-kovalenko,V. Kovalenko,M,21,182,749,M,287659,EUR,824256000,M,24,24,False,25.0,15.0,2.0,,4.0,7.0,12.0,20.0,3.0,,2.0,2.0,,,,,71.0,35.0,6.5,13.0,0.0,0.0,0.101573,0,,,,2.0,,5.0,,,,1.0,1.0,2.0,,2.0,,,3.0,,,1.0,,,,,,,,,,
10411478,home,Spezia,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,404,M,98003,EUR,681523200,M,6,6,False,36.0,27.0,8.0,3.0,10.0,13.0,17.0,23.0,5.0,5.0,6.0,,,,,,90.0,55.0,6.7,12.0,0.0,0.0,0.07154,0,,,,2.0,1.0,8.0,,,,3.0,3.0,1.0,,,,1.0,4.0,,,,1.0,1.0,1.0,1.0,,,,,,
10411478,home,Spezia,Simone Bastoni,simone-bastoni,S. Bastoni,M,10,183,168,M,385330,EUR,847152000,M,20,20,False,21.0,15.0,1.0,,7.0,10.0,9.0,15.0,13.0,,3.0,1.0,,,,,59.0,41.0,7.4,11.0,0.0,0.0,0.0376756,0,,,,,2.0,5.0,,,,10.0,4.0,1.0,,4.0,,1.0,3.0,,,1.0,,1.0,1.0,,,,,,,
10411478,home,Spezia,Arkadiusz Reca,arkadiusz-reca,A. Reca,M,13,187,1086,M,580638,EUR,803347200,M,13,13,False,37.0,24.0,7.0,4.0,13.0,20.0,12.0,20.0,3.0,3.0,5.0,,,,,,70.0,64.0,6.2,22.0,0.0,0.0,0.0925414,0,,,,2.0,,9.0,,,,1.0,1.0,1.0,,3.0,,,,1.0,,1.0,2.0,3.0,4.0,2.0,,,,,,
10411478,home,Spezia,M'Bala Nzola,mbala-nzola,M. Nzola,F,8,185,2430,M,788061,EUR,840326400,F,18,18,False,20.0,15.0,,,5.0,5.0,10.0,15.0,8.0,,7.0,2.0,,,,,90.0,44.0,7.3,13.0,0.3025,1.0374,0.0228991,2,,,,1.0,3.0,9.0,,,2.0,2.0,2.0,3.0,,,,,3.0,,,,3.0,,3.0,1.0,1.0,,,,,
10411478,home,Spezia,Emmanuel Gyasi,emmanuel-gyasi,E. Gyasi,M,11,182,716,M,541578,EUR,758246400,F,11,11,False,17.0,14.0,1.0,,4.0,5.0,10.0,12.0,6.0,1.0,3.0,2.0,,,,,87.0,29.0,6.9,6.0,0.1315,0.0,0.0212222,1,,,,4.0,1.0,4.0,,1.0,,2.0,,2.0,,,,,,,,,,,1.0,1.0,,True,4.0,,,
10411478,home,Spezia,Kevin Agudelo,kevin-agudelo,K. Agudelo,M,20,178,358,M,931290,EUR,911001600,M,33,33,True,8.0,5.0,,,2.0,4.0,5.0,6.0,5.0,,3.0,1.0,,,,,31.0,24.0,7.0,8.0,0.0555,0.0,0.0812473,1,,,,,1.0,3.0,,,,3.0,1.0,2.0,,2.0,,,,2.0,,2.0,1.0,1.0,1.0,,,,,1.0,,
10411478,home,Spezia,Petko Hristov,hristov-petko,P. Hristov,D,55,191,334,M,832076,EUR,920246400,D,15,15,True,10.0,7.0,2.0,,6.0,6.0,1.0,4.0,1.0,,2.0,,,,,,20.0,12.0,6.7,3.0,0.0,0.0,0.00028847,0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,
10411478,home,Spezia,Albin Ekdal,albin-ekdal,A. Ekdal,M,8,186,177,M,21992,EUR,617587200,M,8,8,True,3.0,1.0,,,,1.0,1.0,2.0,4.0,,,3.0,,,,,19.0,9.0,6.7,2.0,0.0,0.0,0.00014236,0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
10411478,home,Spezia,Mattia Caldara,mattia-caldara,M. Caldara,D,,187,516,M,362222,EUR,768096000,D,29,29,True,1.0,1.0,,,1.0,1.0,,,2.0,1.0,,,,,,,8.0,3.0,6.8,,0.0,0.0,2.74611e-05,0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Mikael Ellertsson,mikael-ellertsson,M. Ellertsson,M,77,182,433,M,933203,EUR,1015804800,M,28,28,True,3.0,1.0,2.0,,1.0,1.0,,2.0,1.0,,,,,,,,8.0,3.0,6.4,2.0,0.0,0.0,1.64805e-06,0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
10411478,home,Spezia,Jeroen Zoet,jeroen-zoet,J. Zoet,G,41,186,195,M,40963,EUR,663120000,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Petar Zovko,petar-zovko,P. Zovko,G,40,192,84,M,1067207,EUR,1017014400,G,40,40,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Salvador Ferrer,salvador-ferrer,S. Ferrer,D,,184,60,M,958521,EUR,885340800,D,21,21,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Julius Beck,julius-beck,J. Beck,M,22,178,163,M,1098541,EUR,1114560000,M,16,16,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,Julius,Beck,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Aimar Sher,aimar-sher,A. Sher,M,6,180,890,M,981574,EUR,1040342400,M,31,31,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,Leandro Sanca,sanca-leandro,L. Sanca,M,11,184,101,M,1141665,EUR,946944000,F,89,89,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,home,Spezia,David Strelec,david-strelec,D. Strelec,F,13,185,2212,M,918482,EUR,986342400,F,44,44,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,away,Sampdoria,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,1,1,False,29.0,14.0,23.0,8.0,8.0,8.0,6.0,21.0,,,5.0,,1.0,2.0,1.0,1.0,90.0,32.0,6.2,15.0,0.0,0.0,0.00172272,0,-0.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411478,away,Sampdoria,Bartosz Bereszyński,bartosz-bereszynski,B. Bereszyński,D,19,182,2549,M,109461,EUR,710899200,D,24,24,False,30.0,19.0,7.0,1.0,11.0,14.0,8.0,19.0,9.0,1.0,6.0,1.0,,,,,90.0,75.0,7.0,21.0,0.0,0.0,0.0188605,0,,,,3.0,2.0,6.0,,,,6.0,5.0,1.0,,3.0,,5.0,1.0,,,,1.0,,1.0,,,True,,,,
10411478,away,Sampdoria,Alex Ferrari,alex-ferrari,A. Ferrari,D,25,183,99,M,327429,EUR,773020800,D,25,25,False,13.0,9.0,3.0,1.0,7.0,8.0,2.0,6.0,1.0,2.0,3.0,,,,,,45.0,21.0,6.2,8.0,0.0,0.0,0.00133773,0,,,,,1.0,3.0,,,,,,1.0,,1.0,,1.0,1.0,,,,1.0,,1.0,,,,,,,
