match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,stat_blockedScoringAttempt,stat_aerialWon,stat_wasFouled,stat_fouls,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_goals,captain,stat_outfielderBlock,stat_totalOffside,stat_goodHighClaim,stat_punches
10411591,home,Spezia,Jeroen Zoet,jeroen-zoet,J. Zoet,G,41,186,195,M,40963,EUR,663120000,G,1,1,False,28.0,14.0,17.0,4.0,10.0,16.0,4.0,12.0,1.0,1.0,1.0,7.0,1.0,1.0,90.0,34.0,6.5,14.0,0.0,0.0,0.00129684,0,-0.8325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411591,home,Spezia,Ethan Ampadu,ethan-ampadu,E. Ampadu,D,4,182,2540,M,847097,EUR,968889600,D,4,4,False,56.0,46.0,7.0,3.0,24.0,27.0,22.0,31.0,7.0,,,13.0,,,90.0,76.0,8.4,14.0,0.5352,0.5974,0.0960557,3,,,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,7.0,5.0,2.0,3.0,,,,,,,,,,,,,,
10411591,home,Spezia,Jakub Kiwior,kiwior-jakub,J. Kiwior,D,4,189,15163,M,976037,EUR,950572800,D,14,14,False,34.0,32.0,3.0,2.0,27.0,27.0,5.0,7.0,2.0,1.0,1.0,5.0,,,57.0,39.0,6.6,2.0,0.0536,0.0,0.00250321,1,,,,,,,,,,,,,1.0,,1.0,1.0,,,j_kiwior,1.0,,,,,,,,,,,,
10411591,home,Spezia,Dimitrios Nikolaou,dimitris-nikolaou,D. Nikolaou,D,43,188,244,M,788185,EUR,902966400,D,43,43,False,51.0,40.0,12.0,5.0,24.0,29.0,16.0,22.0,4.0,,,6.0,,,90.0,59.0,6.8,11.0,0.0,0.0,0.02373,0,,,,,,,2.0,,,,,,3.0,1.0,2.0,1.0,,,,,1.0,1.0,2.0,,,,,,,,,
10411591,home,Spezia,Emil Holm,emil-holm,E. Holm,D,2,191,1648,M,965264,EUR,958176000,M,2,2,False,40.0,28.0,4.0,2.0,17.0,21.0,12.0,23.0,15.0,2.0,2.0,9.0,,,90.0,77.0,7.5,21.0,0.1962,0.0,0.184357,2,,,,,4.0,9.0,12.0,1.0,,1.0,,,3.0,,2.0,1.0,2.0,3.0,,1.0,8.0,3.0,,1.0,1.0,2.0,,,,,,
10411591,home,Spezia,Albin Ekdal,albin-ekdal,A. Ekdal,M,8,186,177,M,21992,EUR,617587200,M,8,8,False,26.0,19.0,1.0,,9.0,12.0,10.0,14.0,2.0,,,5.0,,,57.0,34.0,6.4,10.0,0.2192,0.0,0.033549,1,,,,,,2.0,3.0,,,,,,,,1.0,1.0,3.0,,,1.0,,1.0,,,1.0,,,,,,,
10411591,home,Spezia,Mehdi Bourabia,mehdi-bourabia,M. Bourabia,M,,183,404,M,98003,EUR,681523200,M,6,6,False,26.0,22.0,1.0,,12.0,13.0,10.0,13.0,1.0,,,3.0,,,45.0,29.0,6.6,5.0,0.0,0.0,0.259132,0,,,,,,1.0,3.0,1.0,,,,,1.0,1.0,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,
10411591,home,Spezia,Kevin Agudelo,kevin-agudelo,K. Agudelo,M,20,178,358,M,931290,EUR,911001600,M,33,33,False,40.0,30.0,4.0,3.0,9.0,12.0,23.0,31.0,7.0,1.0,,5.0,,,90.0,58.0,7.7,15.0,0.0365,0.0908,0.680268,1,,,,,3.0,,1.0,,,,1.0,,,,6.0,4.0,3.0,2.0,,,,1.0,,2.0,,,,,,,,
10411591,home,Spezia,Arkadiusz Reca,arkadiusz-reca,A. Reca,M,13,187,1086,M,580638,EUR,803347200,M,13,13,False,24.0,14.0,3.0,1.0,9.0,13.0,7.0,15.0,1.0,1.0,,3.0,,,75.0,42.0,7.2,16.0,0.3015,0.9215,0.0448936,1,,,,,4.0,,2.0,,,,1.0,,1.0,,1.0,,,,,,,,1.0,2.0,,,1.0,,,,,
10411591,home,Spezia,Daniele Verde,daniele-verde,D. Verde,F,7,168,327,M,605580,EUR,835228800,F,10,10,False,22.0,15.0,1.0,1.0,6.0,6.0,10.0,24.0,3.0,2.0,1.0,1.0,,,69.0,44.0,7.0,18.0,0.1757,0.0,0.0332352,3,,,,,8.0,,2.0,,,1.0,,,,,,,2.0,1.0,,2.0,,2.0,,1.0,,1.0,,True,,,,
