match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_wasFouled,stat_keyPass,stat_totalCross,stat_accurateCross,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_goalAssist,stat_outfielderBlock
10411667,home,Atalanta,Juan Musso,juan-musso,J. Musso,G,1,191,4938,M,juanmusso,263651,EUR,768182400,G,1,1,False,19.0,17.0,6.0,4.0,16.0,17.0,1.0,2.0,1.0,7.0,1.0,1.0,90.0,26.0,6.0,2.0,0.0,0.0,0.00016939,0,-1.3845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411667,home,Atalanta,Rafael Tolói,rafael-toloi,R. Tolói,D,2,185,2015,M,,82943,EUR,655516800,D,2,2,False,84.0,70.0,11.0,2.0,34.0,35.0,36.0,49.0,,14.0,,,90.0,97.0,6.4,16.0,0.2609,0.4513,0.032706,5,,True,1.0,3.0,7.0,5.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
10411667,home,Atalanta,Merih Demiral,merih-demiral,M. Demiral,D,28,190,4108,M,merihdemiral,806968,EUR,889056000,D,28,28,False,43.0,39.0,4.0,3.0,36.0,39.0,3.0,4.0,,4.0,,,75.0,52.0,6.3,5.0,0.0,0.0,0.00214417,0,,,2.0,2.0,4.0,5.0,1.0,,1.0,,,,,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,
10411667,home,Atalanta,Berat Djimsiti,berat-djimsiti,B. Djimsiti,D,19,190,2156,M,,151003,EUR,730080000,D,19,19,False,80.0,66.0,7.0,1.0,34.0,43.0,32.0,37.0,2.0,7.0,,,90.0,92.0,6.2,15.0,0.1652,0.0,0.024954,1,,,,6.0,4.0,6.0,2.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
10411667,home,Atalanta,Davide Zappacosta,davide-zappacosta,D. Zappacosta,M,77,182,2125,M,,132318,EUR,708220800,M,77,77,False,25.0,22.0,1.0,1.0,10.0,12.0,14.0,15.0,,,,,45.0,50.0,7.0,6.0,0.0203,0.0,0.271632,1,,,,,3.0,5.0,,,3.0,1.0,1.0,,,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,
10411667,home,Atalanta,Éderson,ederson,Éderson,M,13,183,7659,M,ederson99,946888,EUR,931305600,M,13,13,False,63.0,55.0,11.0,7.0,28.0,32.0,27.0,31.0,,8.0,,,75.0,74.0,6.4,11.0,0.0608,0.0,0.0312796,1,,,,1.0,7.0,3.0,3.0,,4.0,1.0,1.0,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
10411667,home,Atalanta,Teun Koopmeiners,teun-koopmeiners,T. Koopmeiners,M,8,183,6981,M,teunkoopmeiners,803033,EUR,888624000,M,7,7,False,80.0,61.0,12.0,5.0,19.0,26.0,44.0,60.0,,6.0,,,90.0,100.0,6.7,28.0,0.0,0.0,0.173046,0,,,5.0,3.0,9.0,7.0,,2.0,,,,,,,3.0,2.0,2.0,1.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,,
10411667,home,Atalanta,Joakim Mæhle,joakim-maehle,J. Mæhle,D,21,185,1471,M,,842364,EUR,864086400,M,3,3,False,68.0,56.0,4.0,1.0,20.0,23.0,37.0,48.0,1.0,9.0,,,90.0,94.0,6.3,21.0,0.2727,0.2914,0.171332,4,,,,,6.0,1.0,,3.0,2.0,,1.0,1.0,2.0,1.0,,,1.0,1.0,2.0,3.0,1.0,1.0,,,1.0,1.0,,,,,,,,,
10411667,home,Atalanta,Jérémie Boga,jeremie-boga,J. Boga,F,13,172,4912,M,jeremieboga,367056,EUR,852249600,F,10,10,False,39.0,36.0,2.0,2.0,14.0,14.0,23.0,29.0,1.0,1.0,,,68.0,58.0,7.2,13.0,0.0,0.0,0.117774,0,,,1.0,1.0,3.0,6.0,,1.0,4.0,3.0,,,,,2.0,1.0,,,2.0,4.0,1.0,5.0,,,,,,,,,,,,,
10411667,home,Atalanta,Rasmus Højlund,rasmus-hojlund,R. Højlund,F,19,191,70296,M,RHøjlund,1086417,EUR,1044316800,F,17,17,False,33.0,24.0,3.0,2.0,5.0,6.0,19.0,27.0,,3.0,,,90.0,52.0,7.1,18.0,0.4225,0.7828,0.063947,3,,,,1.0,4.0,3.0,,2.0,3.0,1.0,,3.0,,,1.0,1.0,,,2.0,,,4.0,,,,1.0,1.0,,,,,,,,
10411667,home,Atalanta,Ademola Lookman,ademola-lookman,A. Lookman,F,22,174,80703,M,molalookman,824200,EUR,877305600,F,11,11,False,34.0,25.0,1.0,,6.0,8.0,19.0,27.0,,2.0,,,90.0,54.0,6.8,20.0,0.0225,0.1692,0.125265,1,,,1.0,1.0,10.0,6.0,1.0,3.0,5.0,2.0,,1.0,,,1.0,,2.0,2.0,1.0,1.0,,3.0,,,1.0,,,1.0,,,,,,,
10411667,home,Atalanta,Brandon Soppy,brandon-soppy,B. Soppy,M,2,181,434,M,,963211,EUR,1014249600,D,93,93,True,23.0,15.0,1.0,,3.0,4.0,12.0,21.0,,1.0,,,45.0,43.0,6.2,16.0,0.0774,0.0671,0.0263559,1,,,,,5.0,5.0,2.0,,4.0,1.0,,1.0,,,1.0,1.0,,3.0,1.0,2.0,,2.0,,,,,,1.0,,,,,,,
10411667,home,Atalanta,Luis Muriel,luis-muriel,L. Muriel,F,10,178,3941,M,luisfmuriel9,119242,EUR,671760000,F,9,9,True,11.0,7.0,,,1.0,1.0,6.0,11.0,,,,,22.0,22.0,7.1,7.0,0.0665,0.2551,0.0124859,1,,,2.0,1.0,4.0,5.0,,,5.0,3.0,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,
10411667,home,Atalanta,José Luis Palomino,jose-luis-palomino,J. L. Palomino,D,19,188,536,M,,79680,EUR,631497600,D,6,6,True,20.0,16.0,4.0,,10.0,12.0,6.0,8.0,,6.0,,,15.0,24.0,6.8,4.0,0.0466,0.0,0.00369518,1,,,,3.0,,3.0,,,,,,,1.0,3.0,,,,,,,,,José,Luis Palomino,,,,,,,,,,,
