match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_aerialLost,stat_challengeLost,stat_wonContest,stat_interceptionWon,captain,stat_wasFouled,stat_fouls,stat_accurateCross,stat_totalOffside,stat_dispossessed,stat_bigChanceCreated,stat_outfielderBlock,player_sofascoreId,stat_goalAssist,stat_goals
10382038,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,21.0,17.0,7.0,4.0,14.0,16.0,3.0,5.0,3.0,1.0,2.0,1.0,1.0,90.0,23.0,7.4,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Joshua Brenet,joshua-brenet,J. Brenet,D,30,181,142,M,296438,EUR,764121600,D,20,20,False,55.0,48.0,2.0,,20.0,22.0,28.0,34.0,6.0,,,,,90.0,83.0,7.3,13.0,3,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,
10382038,home,FC Twente,Julio Pleguezuelo,julio-pleguezuelo,J. Pleguezuelo,D,5,180,108,M,788238,EUR,854236800,D,4,4,False,54.0,49.0,2.0,1.0,34.0,35.0,15.0,19.0,7.0,,,,,90.0,69.0,7.3,6.0,1,,1.0,3.0,5.0,1.0,,,1.0,,3.0,3.0,2.0,1.0,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,
10382038,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,61.0,51.0,6.0,2.0,31.0,36.0,20.0,25.0,8.0,,,,,90.0,69.0,6.8,10.0,1,,3.0,11.0,6.0,,,,1.0,,2.0,2.0,1.0,,,,,3.0,1.0,,1.0,True,1.0,7.0,,,,,,,,
10382038,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,49.0,44.0,5.0,4.0,15.0,18.0,30.0,36.0,3.0,,,,,90.0,68.0,7.6,9.0,5,5.0,,3.0,3.0,,,1.0,3.0,1.0,,3.0,,,,,,,1.0,,,,,2.0,1.0,1.0,,,,,,
10382038,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,26.0,23.0,1.0,,9.0,10.0,14.0,17.0,4.0,,,,,71.0,45.0,7.5,9.0,3,1.0,,5.0,2.0,1.0,,,1.0,2.0,,,,2.0,4.0,,,2.0,,,1.0,,2.0,1.0,,,2.0,2.0,1.0,,,
10382038,home,FC Twente,Ramiz Zerrouki,ramiz-zerrouki,R. Zerrouki,M,6,183,8083,M,989882,EUR,896140800,M,8,8,False,71.0,66.0,4.0,3.0,34.0,35.0,32.0,37.0,7.0,,,,,82.0,80.0,7.4,7.0,1,1.0,,2.0,4.0,1.0,,1.0,,,1.0,1.0,1.0,,4.0,,,,,1.0,,,2.0,1.0,,,1.0,,,rramizz_,,
10382038,home,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,64.0,56.0,2.0,,24.0,30.0,33.0,35.0,7.0,,,,,83.0,77.0,7.5,11.0,2,1.0,,3.0,3.0,,,2.0,,,,3.0,1.0,2.0,2.0,,,,1.0,,,,,1.0,1.0,,1.0,1.0,,,,
10382038,home,FC Twente,Václav Černý,vaclav-cerny,V. Černý,M,18,182,3495,M,280631,EUR,877046400,F,7,7,False,49.0,36.0,6.0,4.0,9.0,11.0,32.0,44.0,5.0,,,,,89.0,67.0,9.5,20.0,2,6.0,,5.0,1.0,3.0,,,1.0,1.0,,1.0,1.0,2.0,9.0,,,,1.0,,,,,,5.0,,1.0,2.0,,,2.0,1.0
10382038,home,FC Twente,Manfred Ugalde,manfred-ugalde,M. Ugalde,F,9,171,2754,M,993560,EUR,1022284800,F,27,27,False,17.0,12.0,,,2.0,2.0,10.0,15.0,1.0,,,,,71.0,26.0,6.6,9.0,2,,3.0,3.0,4.0,,,1.0,,1.0,,1.0,1.0,2.0,,,,1.0,,,,,,1.0,,,2.0,,,,,
