match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_unsuccessfulTouch,stat_dispossessed,captain,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,stat_aerialLost,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_errorLeadToAGoal,stat_errorLeadToAShot
10382073,home,SC Cambuur,Robbin Ruiter,,,robbin-ruiter,R. Ruiter,G,196,25,M,40935,EUR,543628800,G,12,12,False,24.0,11.0,18.0,5.0,7.0,9.0,4.0,15.0,1.0,1.0,1.0,1.0,10.0,3.0,4.0,1.0,90.0,39.0,7.7,14.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Doke Schmidt,Doke,Schmidt,doke-schmidt,D. Schmidt,D,177,10,M,163571,EUR,702604800,D,5,5,False,37.0,25.0,7.0,4.0,13.0,18.0,13.0,21.0,2.0,,,,8.0,,,,90.0,52.0,6.8,16.0,0,15,2.0,1.0,5.0,2.0,1.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Calvin Mac-Intosh,Calvin,Mac-Intosh,calvin-mac-intosh,C. Mac-Intosh,D,180,21,M,73801,EUR,618624000,D,3,3,False,29.0,24.0,5.0,2.0,17.0,17.0,7.0,12.0,4.0,,,1.0,7.0,,,,90.0,38.0,7.3,6.0,0,3,,,,,2.0,3.0,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Floris Smand,Floris Smand,,floris-smand,F. Smand,D,185,51,M,1394011,EUR,1043020800,D,33,33,False,5.0,5.0,,,5.0,5.0,,,,,,,1.0,,,,17.0,7.0,6.3,2.0,0,3,,,2.0,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,
10382073,home,SC Cambuur,Alex Bangura,,,alex-bangura,A. Bangura,D,183,149,M,967178,EUR,931824000,D,16,16,False,31.0,26.0,3.0,1.0,17.0,19.0,10.0,16.0,4.0,1.0,1.0,3.0,8.0,,,,90.0,51.0,7.8,9.0,0,24,4.0,1.0,2.0,,1.0,1.0,,1.0,1.0,,,1.0,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,
10382073,home,SC Cambuur,Jamie Jacobs,,,jamie-jacobs,J. Jacobs,M,182,92,M,893744,EUR,881107200,M,8,8,False,32.0,21.0,4.0,2.0,6.0,9.0,15.0,24.0,9.0,,,,7.0,,,,90.0,56.0,7.7,15.0,2,23,1.0,,6.0,2.0,3.0,8.0,3.0,2.0,3.0,,1.0,2.0,,,,,1.0,2.0,,,,,,,,,,,
10382073,home,SC Cambuur,Mees Hoedemakers,,,mees-hoedemakers,M. Hoedemakers,M,181,102,M,893748,EUR,887760000,M,6,6,False,35.0,30.0,5.0,3.0,18.0,20.0,12.0,17.0,4.0,,,,5.0,,,,90.0,50.0,6.9,12.0,2,4,2.0,,6.0,1.0,,4.0,1.0,3.0,1.0,,3.0,,,,,,,1.0,2.0,1.0,,,,,,,,,
10382073,home,SC Cambuur,David Sambissa,,,david-sambissa,D. Sambissa,M,177,220,M,280459,EUR,821318400,M,18,18,False,16.0,11.0,1.0,1.0,5.0,6.0,8.0,16.0,8.0,7.0,1.0,1.0,5.0,,,,63.0,38.0,7.3,16.0,2,7,6.0,2.0,9.0,1.0,1.0,3.0,3.0,,2.0,4.0,1.0,,,,,,,,2.0,,2.0,1.0,1.0,,,,,,
10382073,home,SC Cambuur,Mitchell Paulissen,,,mitchell-paulissen,M. Paulissen,M,183,32,M,192290,EUR,735350400,M,10,10,False,23.0,15.0,5.0,2.0,3.0,6.0,12.0,18.0,,,,,6.0,,,,77.0,36.0,7.0,11.0,5,6,1.0,,4.0,1.0,,,,,1.0,,,2.0,,1.0,1.0,,,2.0,1.0,2.0,1.0,,,,,,,,
10382073,home,SC Cambuur,Navarone Foor,,,navarone-foor,N. Foor,M,170,71,M,156562,EUR,697161600,M,19,19,False,25.0,22.0,1.0,1.0,12.0,13.0,11.0,18.0,3.0,4.0,2.0,,4.0,,,,76.0,44.0,7.5,11.0,2,25,6.0,1.0,5.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,
