match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_aerialWon,stat_interceptionWon,stat_wasFouled,stat_unsuccessfulTouch,captain,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_bigChanceMissed,stat_goals,stat_totalOffside,stat_goalAssist
10438005,home,Chaves,Paulo Vítor,,,paulo-vitor,P. Vítor,G,1,195,133,M,861003,EUR,596073600,G,1,1,False,30.0,20.0,18.0,8.0,17.0,21.0,3.0,9.0,1.0,1.0,1.0,2.0,10.0,1.0,4.0,6.0,1.0,1.0,1.0,90.0,46.0,7.5,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,
10438005,home,Chaves,Nélson Monte,,,nelson-monte,N. Monte,D,4,187,67,M,831014,EUR,807062400,D,3,3,False,37.0,21.0,9.0,3.0,9.0,14.0,13.0,24.0,6.0,2.0,1.0,3.0,5.0,,,,,,,90.0,60.0,6.5,22.0,0,1.0,1.0,1.0,7.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,
10438005,home,Chaves,Carlos Ponck,,,carlos-ponck,C. Ponck,D,26,183,62,M,584116,EUR,789955200,D,26,26,False,24.0,18.0,2.0,1.0,11.0,13.0,7.0,11.0,3.0,1.0,1.0,10.0,4.0,,,,,,,90.0,39.0,6.7,6.0,0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
10438005,home,Chaves,Steven Vitória,,,steven-vitoria,S. Vitória,D,,195,115,M,59574,EUR,537321600,D,19,19,False,29.0,23.0,4.0,1.0,20.0,20.0,4.0,10.0,5.0,,,7.0,8.0,,,,,,,90.0,44.0,6.9,7.0,0,1.0,1.0,,2.0,1.0,1.0,2.0,,,,,3.0,2.0,2.0,,,,,,,,,,,
10438005,home,Chaves,Bruno Langa,,,bruno-langa,B. Langa,D,24,178,2435,M,987490,EUR,878256000,D,5,5,False,19.0,13.0,3.0,,6.0,8.0,7.0,12.0,2.0,2.0,1.0,3.0,5.0,,,,,,,79.0,39.0,6.7,11.0,0,1.0,,,1.0,,,1.0,1.0,,,1.0,,1.0,,2.0,,,,,,,,,,
10438005,home,Chaves,João Teixeira,,,joao-teixeira,J. Teixeira,M,97,178,78,M,138899,EUR,760492800,M,10,10,False,49.0,38.0,7.0,5.0,15.0,18.0,25.0,36.0,4.0,1.0,1.0,1.0,6.0,,,,,,,90.0,63.0,7.5,16.0,2,5.0,2.0,,2.0,,,,1.0,1.0,2.0,4.0,1.0,,1.0,2.0,True,1.0,1.0,1.0,,,,,,
10438005,home,Chaves,Sidy Sarr,,,sidy-sarr,S. Sarr,M,6,196,197,,796082,EUR,833932800,M,14,14,False,20.0,14.0,4.0,1.0,7.0,8.0,7.0,12.0,2.0,,,,5.0,,,,,,,68.0,26.0,6.2,8.0,0,,,,4.0,1.0,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,
10438005,home,Chaves,João Mendes,,,joao-mendes,J. Mendes,M,10,183,228,M,857376,EUR,782697600,M,8,8,False,36.0,28.0,8.0,4.0,11.0,12.0,17.0,25.0,1.0,1.0,1.0,,7.0,,,,,,,90.0,50.0,6.6,16.0,1,1.0,,,6.0,2.0,2.0,,,,2.0,1.0,,2.0,,5.0,,1.0,1.0,,,,,,,
10438005,home,Chaves,Bernardo Sousa,,,bernardo-sousa,B. Sousa,F,77,178,72,M,1087371,EUR,954115200,F,73,73,False,12.0,8.0,3.0,1.0,2.0,3.0,6.0,10.0,1.0,,,,1.0,,,,,,,45.0,22.0,6.7,9.0,2,1.0,,,3.0,1.0,1.0,,,,1.0,,,,1.0,2.0,,,1.0,,1.0,,,,,
10438005,home,Chaves,Juninho Vieira,,,juninho-vieira,Juninho,F,23,179,17759,M,833236,EUR,848534400,F,20,20,False,15.0,14.0,,,7.0,7.0,7.0,8.0,4.0,2.0,,,5.0,,,,,,,84.0,33.0,7.3,4.0,5,,,6.0,9.0,,1.0,,3.0,2.0,,2.0,,,1.0,,,,3.0,,2.0,juninhovieira_21,1.0,1.0,1.0,
