match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_penaltyWon,stat_keyPass,stat_outfielderBlock,captain,stat_accurateCross,stat_challengeLost,stat_wonContest,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_penaltyFaced,stat_blockedScoringAttempt,stat_penaltyConceded,stat_bigChanceMissed
10438028,home,Estoril Praia,Daniel Figueira,,,daniel-figueira,D. Figueira,G,99,189,80,M,862060,EUR,900892800,G,99,99,False,31.0,17.0,17.0,3.0,15.0,19.0,2.0,12.0,1.0,1.0,9.0,1.0,3.0,3.0,90.0,43.0,7.5,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438028,home,Estoril Praia,Tiago Santos,,,tiago-santos,T. Santos,D,22,175,1632,M,1087364,EUR,1027382400,D,62,62,False,27.0,20.0,4.0,3.0,14.0,18.0,6.0,10.0,,9.0,10.0,,,,90.0,61.0,8.2,17.0,1,1.0,1.0,1.0,6.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,4.0,2.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,
10438028,home,Estoril Praia,Pedro Álvaro,,,pedro-alvaro,P. Álvaro,D,,186,247,M,869330,EUR,951955200,D,23,23,False,38.0,32.0,9.0,4.0,28.0,29.0,4.0,9.0,,,3.0,,,,90.0,42.0,6.9,6.0,0,,,1.0,4.0,,,,,2.0,1.0,,,,,3.0,,,1.0,,,,,,,,,,,
10438028,home,Estoril Praia,Bernardo Vital,,,vital-bernardo,B. Vital,D,13,187,192,M,1065442,EUR,978048000,D,3,3,False,43.0,38.0,13.0,9.0,31.0,32.0,7.0,11.0,1.0,1.0,3.0,,,,90.0,51.0,7.2,5.0,0,,,2.0,2.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,
10438028,home,Estoril Praia,Joãozinho,,,joaozinho,Joãozinho,D,31,185,30,M,156319,EUR,615340800,D,31,31,False,33.0,20.0,6.0,2.0,14.0,18.0,7.0,16.0,,3.0,5.0,,,,90.0,51.0,6.8,14.0,0,,1.0,1.0,3.0,1.0,,,,2.0,1.0,3.0,2.0,,,,,,,True,1.0,1.0,,,,,,,,
10438028,home,Estoril Praia,Rafik Guitane,,,rafik-guitane,R. Guitane,F,99,170,2125,M,826210,EUR,927676800,M,27,27,False,16.0,13.0,1.0,,5.0,6.0,8.0,10.0,,7.0,1.0,,,,74.0,31.0,7.4,7.0,1,1.0,,1.0,3.0,,6.0,1.0,1.0,,,,,2.0,3.0,,,1.0,,,,,4.0,,,,,,,
10438028,home,Estoril Praia,João Gamboa,,,joao-gamboa,J. Gamboa,M,5,187,92,M,794318,EUR,841449600,M,5,5,False,21.0,12.0,,,11.0,15.0,1.0,6.0,4.0,7.0,4.0,,,,84.0,35.0,6.5,13.0,1,,,,5.0,,,,,1.0,,1.0,,4.0,2.0,4.0,,,,,,1.0,,1.0,,,,,,
10438028,home,Estoril Praia,João Carvalho,,,joao-carvalho,J. Carvalho,F,12,170,372,M,548044,EUR,857865600,M,20,20,False,29.0,27.0,4.0,2.0,19.0,19.0,9.0,13.0,,6.0,6.0,,,,90.0,52.0,7.1,10.0,2,,3.0,2.0,8.0,1.0,1.0,,,,1.0,6.0,2.0,3.0,,1.0,,,,,1.0,3.0,,2.0,,,,,,
10438028,home,Estoril Praia,Tiago Gouveia,,,tiago-gouveia,T. Gouveia,F,47,176,1493,M,976410,EUR,992822400,F,21,21,False,15.0,12.0,,,8.0,9.0,4.0,6.0,,4.0,3.0,,,,74.0,27.0,6.6,8.0,0,,,2.0,6.0,1.0,3.0,,,,1.0,2.0,1.0,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,
10438028,home,Estoril Praia,Alejandro Marqués,,,alejandro-marques,A. Marqués,F,9,189,759,M,929894,EUR,965347200,F,9,9,False,4.0,4.0,,,2.0,2.0,2.0,2.0,,4.0,,,,,66.0,16.0,7.1,4.0,1,,,2.0,6.0,2.0,,,1.0,1.0,,2.0,2.0,1.0,2.0,2.0,,,,,,,,,1.0,,,,,
10438028,home,Estoril Praia,Carlos Eduardo,,,carlos-eduardo,Carlos Eduardo,F,96,173,359,M,795295,EUR,844905600,F,28,28,False,12.0,9.0,1.0,,7.0,9.0,2.0,3.0,,3.0,5.0,,,,66.0,28.0,6.8,12.0,1,,,,8.0,1.0,2.0,,1.0,1.0,2.0,2.0,,5.0,,1.0,,1.0,,,,5.0,1.0,,1.0,,,,,
10438028,home,Estoril Praia,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,M,78,78,True,4.0,2.0,1.0,,1.0,1.0,1.0,5.0,2.0,2.0,1.0,,,,24.0,10.0,6.4,4.0,0,,2.0,1.0,3.0,,,,,2.0,1.0,,,,,1.0,,,,,,1.0,,,,,,,,
10438028,home,Estoril Praia,Cassiano,,,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,11,11,True,2.0,,,,,,,2.0,1.0,1.0,,,,,24.0,3.0,6.5,2.0,0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
10438028,home,Estoril Praia,Mor Ndiaye,,,mor-ndiaye,M. Ndiaye,M,19,185,163,M,979225,EUR,974764800,M,25,25,True,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,16.0,3.0,6.6,,0,,,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
