match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_accurateOppositionHalfPasses,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_fouls,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialWon,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,captain,stat_accurateCross,stat_penaltyWon,stat_keyPass,stat_goalAssist,stat_penaltyFaced,stat_blockedScoringAttempt,stat_penaltyConceded,stat_totalOffside
10583819,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,30.0,22.0,12.0,5.0,22.0,23.0,7.0,2.0,10.0,2.0,2.0,1.0,90.0,40.0,7.2,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176.0,240,M,818572,EUR,830217600,D,27,27,False,15.0,10.0,,,4.0,6.0,10.0,,4.0,,,,71.0,29.0,6.3,8.0,0,6.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188.0,76,M,584430,EUR,706492800,D,4,4,False,40.0,37.0,9.0,7.0,28.0,29.0,11.0,,5.0,,,,86.0,45.0,7.0,3.0,0,9.0,,1.0,1.0,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Hassan Al Tambakti,hassan-al-tambakti,H. A. Tambakti,D,87,182.0,1188,M,881837,EUR,918518400,D,5,5,False,51.0,46.0,8.0,7.0,40.0,42.0,9.0,7.0,5.0,3.0,,,90.0,67.0,7.8,6.0,0,6.0,,1.0,4.0,,2.0,2.0,,4.0,1.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Moteb Al-Harbi,moteb-al-harbi,M. Al-Harbi,D,24,171.0,848,M,1022679,EUR,950918400,D,24,24,False,35.0,29.0,3.0,,16.0,18.0,19.0,5.0,5.0,2.0,,,90.0,59.0,7.2,13.0,1,13.0,2.0,,,,,1.0,,1.0,,,,2.0,1.0,5.0,,,1.0,1.0,,,,,,,,,,,
10583819,home,Al-Shabab,Grzegorz Krychowiak,grzegorz-krychowiak,G. Krychowiak,M,4,187.0,2715,M,76227,EUR,633571200,M,23,23,False,37.0,35.0,2.0,1.0,29.0,30.0,7.0,3.0,3.0,1.0,,,86.0,43.0,6.8,2.0,0,6.0,,,2.0,,,1.0,,,2.0,,,1.0,,,Grzegorz,Krychowiak,1.0,,,,,,,,,,,,
10583819,home,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177.0,32,M,893218,EUR,787881600,M,15,15,False,56.0,50.0,1.0,1.0,33.0,33.0,23.0,4.0,5.0,,,,90.0,69.0,7.1,10.0,0,17.0,,,2.0,,1.0,1.0,,1.0,1.0,2.0,1.0,3.0,3.0,3.0,,,,,,,,,,,,,,,
10583819,home,Al-Shabab,Aaron-Salem Boupendza,aaron-salem-boupendza,A. Boupendza,F,9,180.0,1126,M,891419,EUR,839376000,M,9,9,False,14.0,11.0,,,4.0,4.0,11.0,3.0,1.0,,,,70.0,25.0,7.0,6.0,1,7.0,1.0,1.0,3.0,2.0,,1.0,,1.0,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,,,
10583819,home,Al-Shabab,Cristian Guanca,cristian-guanca,C. Guanca,M,10,177.0,565,M,789438,EUR,733190400,M,8,8,False,26.0,21.0,1.0,1.0,8.0,8.0,21.0,1.0,3.0,1.0,,,76.0,34.0,8.3,9.0,2,14.0,3.0,1.0,4.0,1.0,,,,,1.0,1.0,,,,,,,,,2.0,2.0,True,1.0,1.0,1.0,,,,,
10583819,home,Al-Shabab,Carlos Junior,carlos-junior,C. Junior,M,13,176.0,437,M,555624,EUR,808444800,M,13,13,False,23.0,16.0,1.0,,5.0,9.0,14.0,6.0,2.0,1.0,,,90.0,39.0,7.6,11.0,2,11.0,,2.0,6.0,2.0,,3.0,,,,2.0,,3.0,2.0,,,,2.0,,2.0,1.0,,,,1.0,,,,,
