match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_totalTackle,stat_wonTackle,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goalAssist,stat_bigChanceCreated,stat_keyPass,stat_accurateCross,stat_shotOffTarget,stat_blockedScoringAttempt,stat_goals,stat_bigChanceMissed,stat_totalOffside,stat_punches,stat_totalKeeperSweeper,stat_hitWoodwork,stat_errorLeadToAGoal
10913615,home,Al Raed,Silviu Lung Jr.,silviu-lung-jr,S. Lung Jr.,G,1,189.0,122,M,44556,EUR,612921600,G,1,1,False,30.0,20.0,18.0,9.0,14.0,19.0,6.0,11.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,90.0,41.0,6.8,10.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10913615,home,Al Raed,Mohammed Al-Dosari,mohammed-al-dosari,M. Al-Dosari,D,32,,12,M,970908,EUR,931651200,D,32,32,False,34.0,23.0,5.0,1.0,12.0,20.0,11.0,15.0,2.0,,10.0,2.0,,,,86.0,59.0,6.2,18.0,0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10913615,home,Al Raed,Mubarak Al-Rajeh,mubarak-al-rajeh,M. Al-Rajeh,D,94,,39,M,1429814,EUR,1059696000,D,94,94,False,38.0,28.0,11.0,4.0,23.0,25.0,5.0,13.0,3.0,3.0,6.0,1.0,,,,86.0,43.0,6.5,10.0,0,,1.0,3.0,1.0,,,,,1.0,Mubarak Abdul Rahman Al Rajeh,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10913615,home,Al Raed,Mohammed Salem,mohammed-salem,M. Salem,D,,175.0,5,M,818554,EUR,492134400,D,12,12,False,24.0,16.0,8.0,3.0,13.0,17.0,3.0,7.0,5.0,4.0,5.0,,,,,90.0,34.0,6.9,8.0,1,,,,,,1.0,,,,Mohammed,Salem,3.0,1.0,,True,1.0,1.0,1.0,,,,,,,,,,,,,
10913615,home,Al Raed,Pablo Santos,pablo-santos,P. Santos,D,27,185.0,62,M,874392,EUR,700876800,D,28,28,False,29.0,22.0,8.0,2.0,16.0,20.0,6.0,9.0,4.0,4.0,5.0,1.0,,,,90.0,41.0,7.2,7.0,0,,,3.0,2.0,,2.0,1.0,,1.0,,,,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,
10913615,home,Al Raed,Awdh Faraj,awdh-faraj,A. Faraj,D,,172.0,16,M,791404,EUR,584928000,D,27,27,False,23.0,20.0,1.0,,8.0,9.0,12.0,14.0,2.0,2.0,5.0,1.0,,,,90.0,39.0,6.2,10.0,0,,1.0,6.0,1.0,,,,1.0,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,,,
10913615,home,Al Raed,Mohamed Fouzair,mohamed-fouzair,M. Fouzair,M,,168.0,271,M,893191,EUR,693532800,M,10,10,False,21.0,13.0,2.0,1.0,5.0,7.0,9.0,19.0,4.0,1.0,8.0,,,,,90.0,50.0,9.1,20.0,5,5.0,,6.0,1.0,2.0,,2.0,4.0,1.0,,,,3.0,2.0,,3.0,1.0,3.0,1.0,,3.0,1.0,1.0,1.0,2.0,,,,,,
10913615,home,Al Raed,Naif Hazzazi,naif-hazzazi,N. Hazzazi,M,88,176.0,9,M,818734,EUR,717811200,M,18,18,False,33.0,29.0,3.0,1.0,19.0,22.0,10.0,11.0,2.0,1.0,7.0,,,,,63.0,41.0,6.8,4.0,0,,1.0,2.0,,,,3.0,,1.0,,,,2.0,,,,,,,,1.0,,,,,,,,,,
10913615,home,Al Raed,Damjan Đoković,damjan-dokovic,D. Djoković,M,88,188.0,128,M,108740,EUR,640396800,M,88,88,False,23.0,16.0,5.0,2.0,7.0,8.0,9.0,15.0,4.0,,3.0,,,,,90.0,29.0,7.1,8.0,2,,2.0,3.0,1.0,,,,,,,,2.0,2.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,,,,
10913615,home,Al Raed,Alexandru Mitriță,alexandru-mitrita,A. Mitriță,F,20,167.0,1639,M,179639,EUR,792201600,M,82,82,False,14.0,10.0,2.0,1.0,1.0,1.0,9.0,15.0,7.0,1.0,3.0,4.0,,,,89.0,41.0,6.4,18.0,1,2.0,,10.0,1.0,3.0,,1.0,4.0,3.0,,,,1.0,1.0,,6.0,2.0,,,1.0,2.0,,1.0,,,,,,,,
