match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_aerialLost,stat_outfielderBlock,stat_fouls,player_sofascoreId,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_totalCross,stat_dispossessed,stat_unsuccessfulTouch,stat_keyPass,stat_shotOffTarget,stat_totalOffside,stat_goalAssist,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_blockedScoringAttempt,stat_bigChanceMissed,player_firstName,player_lastName,stat_bigChanceCreated,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_accurateCross
10408321,home,Real Sociedad,Álex Remiro,alex-remiro,Á. Remiro,G,1,191,2805,M,791773,EUR,796003200,G,1,1,False,29.0,17.0,19.0,7.0,12.0,13.0,5.0,16.0,9.0,2.0,3.0,90.0,36.0,7.4,12.0,0.0,0.0,0.00212809,0,0.3022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Aritz Elustondo,aritz-elustondo,A. Elustondo,D,6,178,410,M,785468,EUR,764812800,D,6,6,False,36.0,30.0,4.0,2.0,15.0,19.0,15.0,17.0,2.0,,,90.0,56.0,7.0,9.0,0.0,0.0,0.00634504,0,,True,1.0,1.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Igor Zubeldia,igor-zubeldia,I. Zubeldia,D,5,180,881,M,838159,EUR,859680000,D,5,5,False,47.0,40.0,9.0,4.0,29.0,32.0,11.0,15.0,5.0,,,90.0,64.0,7.5,7.0,0.0,0.0,0.0035996,0,,,4.0,3.0,4.0,,8.0,3.0,,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Robin Le Normand,robin-le-normand,R. Le Normand,D,24,187,6479,M,787751,EUR,847670400,D,24,24,False,50.0,37.0,6.0,3.0,30.0,38.0,7.0,12.0,7.0,,,90.0,66.0,7.8,14.0,0.0,0.0,0.00431575,0,,,10.0,3.0,15.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,lenormand_r,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,15,15,False,50.0,44.0,4.0,3.0,21.0,23.0,23.0,28.0,8.0,,,90.0,83.0,7.4,12.0,0.0,0.0,0.039276,0,,,4.0,5.0,10.0,1.0,,3.0,4.0,2.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Martín Zubimendi,martin-zubimendi,M. Zubimendi,M,36,180,26245,M,966837,EUR,917913600,M,3,3,False,38.0,31.0,4.0,2.0,12.0,13.0,19.0,25.0,6.0,,,90.0,51.0,7.1,8.0,0.0,0.0,0.0179166,0,,,2.0,2.0,3.0,1.0,2.0,1.0,,1.0,1.0,,martin_zubimendi,,1.0,,,,,2.0,,,,,,,,,,,,,,,
10408321,home,Real Sociedad,Takefusa Kubo,kubo-takefusa,T. Kubo,M,14,174,23791,M,880218,EUR,991612800,M,14,14,False,21.0,15.0,1.0,,3.0,4.0,12.0,18.0,3.0,,,81.0,38.0,6.5,15.0,0.0371,0.0,0.113074,1,,,2.0,6.0,7.0,5.0,,,1.0,2.0,,,KuboTake,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,
10408321,home,Real Sociedad,Brais Méndez,brais-mendez,B. Méndez,M,23,184,2013,M,845385,EUR,852595200,M,23,23,False,41.0,33.0,2.0,,13.0,15.0,20.0,29.0,8.0,,,80.0,56.0,8.3,14.0,0.2936,0.9553,0.107122,3,,,3.0,4.0,7.0,1.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,,
10408321,home,Real Sociedad,David Silva,david-silva,D. Silva,M,,170,2751,,11781,EUR,505526400,M,21,21,False,38.0,31.0,3.0,2.0,12.0,14.0,19.0,24.0,9.0,,,81.0,54.0,6.3,14.0,0.0364,0.0,0.0138942,1,,,1.0,6.0,3.0,4.0,,,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,
10408321,home,Real Sociedad,Alexander Sørloth,alexander-sorloth,A. Sørloth,F,9,195,17312,M,309078,EUR,818121600,F,19,19,False,27.0,20.0,,,8.0,12.0,12.0,15.0,2.0,,,87.0,45.0,6.8,17.0,0.8983,0.1493,0.0139017,2,,,2.0,7.0,4.0,2.0,1.0,,1.0,1.0,,1.0,asorloth,,1.0,,,3.0,5.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,,,,,,,
