match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_aerialWon,stat_interceptionWon,stat_fouls,stat_outfielderBlock,captain,stat_totalCross,stat_aerialLost,stat_keyPass,player_firstName,player_lastName,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_shotOffTarget,stat_goals,stat_blockedScoringAttempt,stat_totalOffside
10408364,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,26.0,11.0,22.0,7.0,5.0,5.0,6.0,21.0,8.0,1.0,1.0,1.0,90.0,31.0,7.2,16.0,0.0,0.0,0.00155454,0,0.0643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,26.0,23.0,2.0,2.0,9.0,9.0,14.0,17.0,4.0,,,,90.0,54.0,7.7,6.0,0.06,0.3284,0.0108748,1,,2.0,9.0,1.0,1.0,1.0,1.0,1.0,5.0,7.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,28.0,22.0,6.0,2.0,14.0,14.0,8.0,14.0,2.0,,,,90.0,37.0,7.0,11.0,0.0,0.0,0.0342432,0,,1.0,2.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
10408364,home,Cádiz,Fali,fali,Fali,D,,186,193,M,349794,EUR,745113600,D,3,3,False,31.0,24.0,9.0,3.0,14.0,16.0,10.0,15.0,8.0,,,,90.0,37.0,6.8,8.0,0.0,0.0,0.00605719,0,,2.0,,,,1.0,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,,
10408364,home,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,22,22,False,24.0,19.0,2.0,,5.0,5.0,14.0,20.0,6.0,,,,90.0,41.0,7.4,9.0,0.0,0.0,0.0139551,0,,5.0,7.0,,,,,,1.0,5.0,2.0,,1.0,1.0,1.0,3.0,,True,1.0,2.0,2.0,,,,,,,,,
10408364,home,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177,22829,M,344953,EUR,816825600,M,10,10,False,22.0,20.0,,,3.0,3.0,18.0,27.0,9.0,,,,88.0,51.0,7.6,15.0,0.0313,0.0,0.0782949,1,,11.0,9.0,5.0,1.0,7.0,5.0,,,2.0,1.0,2.0,2.0,,1.0,2.0,,,8.0,1.0,2.0,,,theo_bongonda,2.0,1.0,1.0,,,
10408364,home,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,False,37.0,29.0,2.0,,9.0,11.0,20.0,26.0,5.0,,,,76.0,53.0,7.7,10.0,0.1246,0.0674,0.0766696,1,,4.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,,2.0,1.0,,1.0,,,2.0,1.0,,,,,,,1.0,,
10408364,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,44.0,35.0,7.0,3.0,16.0,18.0,19.0,29.0,12.0,,,,90.0,59.0,6.5,16.0,0.034,0.0,0.0157966,1,,7.0,5.0,2.0,,1.0,,,,1.0,1.0,2.0,1.0,3.0,,2.0,,,3.0,2.0,1.0,,,,,,,,1.0,
10408364,home,Cádiz,Brian Ocampo,brian-ocampo,B. Ocampo,M,10,173,942,M,941405,EUR,930268800,M,14,14,False,35.0,26.0,1.0,,3.0,4.0,25.0,34.0,7.0,,,,86.0,56.0,7.0,15.0,0.13,0.0,0.166433,4,,9.0,8.0,3.0,1.0,3.0,1.0,,,3.0,3.0,2.0,3.0,1.0,,2.0,,,3.0,1.0,3.0,,,,,2.0,1.0,,3.0,
10408364,home,Cádiz,Sergi Guardiola,sergi-guardiola,S. Guardiola,F,14,185,229,M,141945,EUR,675475200,F,19,19,False,27.0,23.0,1.0,1.0,4.0,4.0,19.0,23.0,3.0,,,,76.0,45.0,7.7,8.0,0.2905,0.2589,0.0405078,3,,6.0,5.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,2.0,,,,,,2.0,1.0,,1.0
10408364,home,Cádiz,Roger Martí,roger-marti,R. Martí,F,9,178,227,M,212074,EUR,662860800,F,15,15,False,19.0,16.0,,,3.0,3.0,13.0,16.0,6.0,,,,76.0,28.0,6.8,5.0,0.0836,0.0,0.0118412,1,,3.0,4.0,1.0,,1.0,1.0,,2.0,1.0,1.0,2.0,2.0,,,2.0,,,,,,,,,,,,,1.0,1.0
10408364,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,F,7,7,True,5.0,5.0,,,2.0,2.0,3.0,3.0,2.0,,,,14.0,10.0,6.5,3.0,0.0,0.0,0.00338144,0,,1.0,2.0,,,1.0,1.0,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,
10408364,home,Cádiz,Fede San Emeterio,fede-san-emeterio,F. S. E. Diaz,M,6,174,81,M,376382,EUR,858470400,M,24,24,True,4.0,2.0,,,1.0,2.0,1.0,2.0,,,,,14.0,5.0,6.4,2.0,0.0,0.0,0.00027659,0,,3.0,2.0,1.0,,,,,,1.0,1.0,,,1.0,,2.0,,,,,,,,,,,,,,
10408364,home,Cádiz,Anthony Lozano,anthony-lozano,A. Lozano,F,11,183,1489,M,169549,EUR,735696000,F,9,9,True,4.0,3.0,,,,,3.0,4.0,,,,,14.0,6.0,6.5,3.0,0.0,0.0,0.00125634,0,,2.0,,,,,,,,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,
10408364,home,Cádiz,Iván Alejo,ivan-alejo,I. Alejo,M,14,184,174,M,352486,EUR,792374400,M,11,11,True,,,,,,,,,,,,,10.0,,6.3,,0.0,0.0,0.0,0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Álex Fernández,alex-fernandez,Á. Fernández,M,8,183,168,M,148588,EUR,719107200,M,8,8,True,1.0,,,,,,,1.0,,,,,8.0,1.0,6.5,1.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Victor Wehbi Aznar,victor-wehbi-aznar,V. W. Aznar,G,13,189,104,M,1011486,EUR,1034812800,G,26,26,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Santiago Arzamendia,santiago-arzamendia,S. Arzamendia,D,15,172,405,M,887429,EUR,894326400,D,21,21,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Jorge Meré,jorge-mere,J. Meré,D,3,182,166,M,355046,EUR,861235200,D,25,25,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Raúl Parra,raul-parra,R. Parra,D,36,187,79,M,1069725,EUR,943574400,D,2,2,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Mamadou Mbaye,mamadou-mbaye,M. Mbaye,D,15,188,162,M,921621,EUR,898992000,D,5,5,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408364,home,Cádiz,Youba Diarra,youba-diarra,Y. Diarra,M,5,178,192,M,924369,EUR,890697600,M,12,12,True,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
