match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,playerName,reason,rescinded,player_id,player_name,confirmed
10408391,FT,1.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
10408391,,,,,90,0.0,,1,,,injuryTime,7.0,,,,,,,,,,
10408391,,,,,89,,,2,,,substitution,,121624077.0,False,True,regular,,,,,,
10408391,,,,,89,,,2,,,substitution,,121624076.0,False,True,regular,,,,,,
10408391,,,,,89,,,2,,,card,,120661528.0,,False,yellow,Luiz Henrique,Argument,False,1035995.0,Luiz Henrique,
10408391,,,,,82,,,9,,,substitution,,121624047.0,False,False,regular,,,,,,
10408391,,,,,82,,,9,,,substitution,,121624046.0,False,False,regular,,,,,,
10408391,,,,,76,,,15,,,card,,120661501.0,,True,yellow,Pau Torres,Foul,False,864169.0,Pau Torres,
10408391,,,,,72,,,19,,,substitution,,121623992.0,False,True,regular,,,,,,
10408391,,,,,72,,,19,,,substitution,,121623993.0,False,True,regular,,,,,,
10408391,,,,,71,,,20,,,substitution,,121623994.0,False,False,regular,,,,,,
10408391,,,,,63,,,28,,,card,,120661450.0,,True,yellow,Alejandro Baena,Foul,False,910031.0,Alejandro Baena,
10408391,,,,,60,,,31,,,substitution,,121623901.0,False,True,regular,,,,,,
10408391,,,,,58,,,33,,,substitution,,121623873.0,False,False,regular,,,,,,
10408391,,,,,57,,,34,,,varDecision,,15953.0,,True,goalNotAwarded,,,,984624.0,Yéremy Pino,False
10408391,,1.0,1.0,,55,,,36,,,goal,,168337893.0,,True,regular,,,,984624.0,Yéremy Pino,
10408391,,,,,46,,,45,,,substitution,,121623785.0,False,False,regular,,,,,,
10408391,HT,0.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
10408391,,,,,45,0.0,,1,,,injuryTime,1.0,,,,,,,,,,
10408391,,,,,40,,,6,,,card,,120661320.0,,True,yellow,Gerard Moreno,Foul,False,146866.0,Gerard Moreno,
10408391,,0.0,1.0,,38,,,8,,,goal,,168337232.0,,False,regular,,,,785989.0,Borja Iglesias,
10408391,,,,,6,,,40,,,card,,120661177.0,,False,yellow,Guido Rodríguez,Foul,False,609752.0,Guido Rodríguez,
