match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_outfielderBlock,captain,stat_interceptionWon,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_goals,stat_bigChanceMissed,stat_totalOffside
10408517,home,Mallorca,Predrag Rajković,predrag-rajkovic,P. Rajković,G,1,192,2732,M,188107,EUR,815097600,G,1,1,False,36.0,20.0,32.0,16.0,4.0,5.0,16.0,31.0,1.0,8.0,1.0,2.0,2.0,5.0,90.0,45.0,7.9,16.0,0.0,0.0,0.00335193,0,0.8981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408517,home,Mallorca,Giovanni González,giovanni-gonzalez,G. González,D,20,175,319,M,590404,EUR,780019200,D,20,20,False,37.0,30.0,2.0,1.0,18.0,18.0,13.0,20.0,5.0,5.0,2.0,,,,89.0,55.0,6.4,11.0,0.0,0.0,0.0338107,0,,1.0,1.0,2.0,1.0,9.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
10408517,home,Mallorca,Martin Valjent,martin-valjent,M. Valjent,D,24,187,757,M,300522,EUR,818640000,D,24,24,False,34.0,27.0,5.0,3.0,17.0,19.0,10.0,15.0,,3.0,,,,,90.0,52.0,7.6,7.0,0.0,0.0,0.00879644,0,,,,,,1.0,1.0,,,,12.0,,,,1.0,2.0,,,,,,,,,,,,,,
10408517,home,Mallorca,Antonio Raíllo,antonio-raillo,A. Raíllo,D,21,186,793,M,807116,EUR,686880000,D,21,21,False,32.0,25.0,5.0,1.0,20.0,20.0,5.0,12.0,4.0,4.0,1.0,,,,90.0,44.0,7.3,8.0,0.0,0.0,0.10982,0,,,,,1.0,,,,,,3.0,2.0,1.0,,,,True,3.0,1.0,,,,,,,,,,,
10408517,home,Mallorca,José Copete,jose-copete,J. Copete,D,3,190,437,M,913695,EUR,939513600,D,6,6,False,26.0,21.0,4.0,3.0,12.0,14.0,9.0,13.0,8.0,3.0,2.0,,,,90.0,56.0,8.0,8.0,0.0,0.0,0.00276668,0,,1.0,,1.0,2.0,4.0,1.0,1.0,,,11.0,4.0,1.0,1.0,,2.0,,2.0,1.0,,,,,,,,,,,
10408517,home,Mallorca,Jaume Costa,jaume-costa,J. Costa,D,,171,89,M,44577,EUR,574646400,D,18,18,False,33.0,23.0,6.0,2.0,9.0,10.0,15.0,25.0,4.0,8.0,3.0,,,,90.0,48.0,7.6,12.0,0.0,0.0,0.862482,0,,2.0,1.0,,,3.0,,,1.0,,2.0,1.0,1.0,2.0,3.0,1.0,,,,,,1.0,1.0,,,,,,,
10408517,home,Mallorca,Antonio Sánchez,antonio-sanchez,A. Sánchez,M,6,179,256,M,949722,EUR,861667200,M,10,10,False,23.0,16.0,3.0,2.0,9.0,12.0,7.0,11.0,3.0,7.0,1.0,,,,72.0,38.0,6.7,13.0,0.0366,0.1642,0.0700404,2,,,,,1.0,3.0,,2.0,1.0,,1.0,1.0,1.0,,,,,,3.0,,,,,1.0,1.0,,,,,
10408517,home,Mallorca,Iñigo Ruiz de Galarreta,inigo-ruiz-de-galarreta,I. R. d. Galarreta,M,16,174,944,M,96365,EUR,744595200,M,4,4,False,38.0,29.0,8.0,5.0,16.0,19.0,13.0,20.0,2.0,5.0,,,,,90.0,52.0,7.0,11.0,0.038,0.0,0.0305579,2,,1.0,,1.0,,4.0,,,,,1.0,2.0,1.0,3.0,,1.0,,4.0,1.0,,,,,,1.0,1.0,,,,
10408517,home,Mallorca,Iddrisu Baba,iddrisu-baba,I. Baba,M,14,182,943,M,914014,EUR,822268800,M,12,12,False,22.0,19.0,1.0,1.0,7.0,8.0,12.0,14.0,1.0,2.0,1.0,,,,45.0,30.0,6.5,5.0,0.0,0.0,0.0100734,0,,,,1.0,,3.0,,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,
10408517,home,Mallorca,Kang-in Lee,kang-in-lee,K. Lee,M,19,173,19307,M,917087,EUR,982540800,M,19,19,False,16.0,13.0,,,5.0,6.0,11.0,13.0,5.0,2.0,2.0,,,,72.0,33.0,6.7,8.0,0.0709,0.0,0.143135,1,,3.0,3.0,3.0,,7.0,,2.0,4.0,3.0,,,,1.0,,,,1.0,1.0,,,,,,1.0,,kanginlee,,,
