match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,player_sofascoreId,stat_totalCross,stat_duelWon,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_duelLost,stat_totalClearance,stat_wonTackle,stat_fouls,stat_aerialLost,stat_aerialWon,stat_interceptionWon,stat_accurateCross,stat_challengeLost,stat_shotOffTarget,captain,stat_dispossessed,stat_onTargetScoringAttempt,stat_totalOffside,stat_blockedScoringAttempt,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
10408518,home,Real Betis,Rui Silva,Rui,Silva,rui-silva,R. Silva,G,1,191,3299,M,253809,EUR,760579200,G,13,13,False,51.0,35.0,25.0,9.0,33.0,36.0,2.0,15.0,7.0,2.0,90.0,58.0,7.0,16.0,0.0,0.0,0.00039729,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Youssouf Sabaly,,,youssouf-sabaly,Y. Sabaly,D,17,174,5678,M,111803,EUR,731289600,D,23,23,False,40.0,35.0,2.0,1.0,17.0,20.0,18.0,22.0,5.0,,84.0,64.0,7.2,10.0,0.0,0.0,0.00965015,0,youssouf_sabaly23,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10408518,home,Real Betis,Luiz Felipe,,,luiz-felipe,L. Felipe,D,5,187,1042,M,850035,EUR,858988800,D,19,19,False,57.0,44.0,8.0,2.0,33.0,41.0,11.0,16.0,3.0,,90.0,80.0,7.5,14.0,0.0,0.0,0.00406117,0,,,4.0,1.0,,4.0,3.0,,1.0,,2.0,11.0,2.0,1.0,,,,,,,,,,,,,,,
10408518,home,Real Betis,Félix Garreta,Félix Garreta,,felix-garreta,F. Garreta,D,35,183,97,M,1392077,EUR,1082505600,D,35,35,False,39.0,34.0,3.0,2.0,25.0,28.0,9.0,11.0,3.0,,90.0,48.0,7.2,6.0,0.0,0.0,0.00242109,0,,,3.0,,,1.0,1.0,,1.0,,3.0,4.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
10408518,home,Real Betis,Álex Moreno,,,alex-moreno,Á. Moreno,D,24,179,1206,M,294593,EUR,739497600,D,15,15,False,36.0,25.0,5.0,1.0,11.0,13.0,15.0,25.0,7.0,,90.0,74.0,7.3,20.0,0.0268,0.0,0.0502372,1,,2.0,8.0,5.0,4.0,,3.0,4.0,,,5.0,5.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,
10408518,home,Real Betis,William Carvalho,,,william-carvalho,W. Carvalho,M,41,187,1602,M,137978,EUR,702604800,M,14,14,False,57.0,47.0,4.0,4.0,22.0,23.0,25.0,34.0,3.0,,90.0,69.0,7.1,12.0,0.0,0.0,0.0141078,0,,,4.0,1.0,,,1.0,1.0,1.0,,3.0,1.0,1.0,,2.0,2.0,2.0,,,,,,,,,,,,
10408518,home,Real Betis,Andrés Guardado,,,andres-guardado,A. Guardado,M,,169,1007,M,14942,EUR,528249600,M,18,18,False,63.0,52.0,7.0,7.0,35.0,41.0,17.0,22.0,9.0,,90.0,75.0,7.2,14.0,0.0,0.0,0.10425,0,,,3.0,,,,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,,1.0,2.0,,2.0,,True,,,,,,,,
10408518,home,Real Betis,Luiz Henrique,Luiz Henrique,,luiz-henrique,L. Henrique,M,11,182,12996,M,1035995,EUR,978393600,M,11,11,False,21.0,17.0,1.0,1.0,5.0,6.0,12.0,16.0,8.0,,85.0,50.0,7.0,16.0,0.1633,0.4853,0.0108175,3,luizhenrique_07,1.0,9.0,6.0,2.0,,5.0,2.0,1.0,,11.0,,3.0,,2.0,1.0,1.0,,,,,5.0,3.0,,,,,,
10408518,home,Real Betis,Nabil Fekir,,,nabil-fekir,N. Fekir,M,20,173,3513,M,337671,EUR,742953600,M,8,8,False,38.0,34.0,1.0,1.0,9.0,9.0,25.0,32.0,3.0,,90.0,55.0,7.1,13.0,0.1435,0.3204,0.0938246,3,NabilFekir,3.0,5.0,2.0,,,,3.0,4.0,3.0,4.0,,,2.0,1.0,1.0,,,,2.0,,,1.0,1.0,,,,,
10408518,home,Real Betis,Sergio Canales,,,sergio-canales,S. Canales,M,10,176,2979,M,41560,EUR,666662400,M,10,10,False,34.0,23.0,2.0,2.0,5.0,9.0,18.0,25.0,4.0,,77.0,46.0,6.3,16.0,0.0303,0.0,0.0346779,1,,,4.0,,,,1.0,,2.0,,5.0,,1.0,1.0,,1.0,,,,,,4.0,,,1.0,,,,
