match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_possessionLostCtrl,captain,stat_bigChanceMissed,stat_ownGoals,stat_wasFouled,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalOffside,stat_keyPass,stat_bigChanceCreated,stat_blockedScoringAttempt,player_sofascoreId,stat_punches,stat_outfielderBlock,stat_hitWoodwork,stat_goalAssist,stat_goals
10408577,home,Elche,Édgar Badía,,,edgar-badia,É. Badía,G,13,181,194,M,811557,EUR,697852800,G,13,13,False,11.0,11.0,3.0,3.0,9.0,9.0,2.0,2.0,1.0,8.0,2.0,2.0,2.0,90.0,23.0,6.3,0.0,0.0,0.00040866,0,-1.1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408577,home,Elche,Tete Morente,,,tete-morente,T. Morente,F,15,180,435,M,605374,EUR,849657600,D,11,11,False,25.0,23.0,2.0,1.0,8.0,8.0,15.0,23.0,1.0,4.0,,,,78.0,58.0,6.4,0.118,0.0,0.0382628,2,,6.0,1.0,4.0,11.0,9.0,1.0,3.0,6.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,17.0,,,,,,,,,,,,,,,,
10408577,home,Elche,Omar Mascarell,,,omar-mascarell,O. Mascarell,M,5,181,553,M,255999,EUR,728611200,D,21,21,False,85.0,82.0,16.0,15.0,42.0,42.0,40.0,43.0,3.0,5.0,,,,90.0,95.0,6.9,0.0,0.0,0.0277483,0,,,3.0,1.0,5.0,2.0,2.0,,,,,2.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,
10408577,home,Elche,Gonzalo Verdú,,,gonzalo-verdu,G. Verdú,D,,190,44,M,150910,EUR,593395200,D,5,5,False,39.0,35.0,3.0,1.0,28.0,29.0,7.0,10.0,2.0,2.0,,,,45.0,46.0,6.2,0.2852,0.0,0.00200321,1,,,2.0,3.0,2.0,4.0,,,,,1.0,,1.0,,,,4.0,True,1.0,1.0,,,,,,,,,,,,,
10408577,home,Elche,Pedro Bigas,,,pedro-bigas,P. Bigas,D,6,180,322,M,141832,EUR,635040000,D,6,6,False,12.0,10.0,,,6.0,7.0,4.0,5.0,,,,,,17.0,13.0,6.6,0.0,0.0,0.00050781,0,,,,2.0,,3.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,
10408577,home,Elche,Carlos Clerc,,,carlos-clerc,C. Clerc,D,18,182,71,M,192430,EUR,698630400,D,23,23,False,57.0,52.0,2.0,,23.0,25.0,29.0,33.0,6.0,7.0,,,,90.0,80.0,6.7,0.0,0.0,0.014317,0,,1.0,,3.0,6.0,8.0,3.0,,2.0,2.0,,2.0,3.0,2.0,2.0,3.0,10.0,,,,,,,,,,,,,,,,
10408577,home,Elche,Raúl Guti,,,raul-guti,R. Guti,M,10,180,150,M,591740,EUR,851904000,M,8,8,False,22.0,20.0,1.0,,9.0,10.0,12.0,15.0,,3.0,,,,64.0,30.0,6.5,0.0349,0.0306,0.0616826,1,,3.0,,1.0,1.0,3.0,,1.0,,,,,1.0,1.0,,,6.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
10408577,home,Elche,John Donald,John Donald,,john-nwankwo,J. Donald,D,18,185,201,M,1094758,EUR,969840000,M,26,26,False,41.0,34.0,1.0,1.0,12.0,15.0,22.0,26.0,,6.0,,,,90.0,52.0,6.6,0.0,0.0,0.0102659,0,,,3.0,2.0,7.0,7.0,2.0,,,,,,4.0,1.0,1.0,2.0,8.0,,,,1.0,,,,,,,,,,,,
10408577,home,Elche,Fidel,,,fidel,Fidel,F,10,179,132,M,116607,EUR,625449600,M,16,16,False,58.0,44.0,9.0,3.0,14.0,17.0,36.0,51.0,,7.0,,,,90.0,84.0,7.8,0.0,0.0,0.559341,0,,10.0,,,2.0,6.0,,1.0,6.0,5.0,,,,,3.0,,24.0,,,,1.0,6.0,,1.0,5.0,1.0,,,,,,,
10408577,home,Elche,Pere Milla,,,pere-milla,P. Milla,M,11,179,867,M,175185,EUR,717206400,F,10,10,False,11.0,9.0,1.0,,3.0,3.0,6.0,8.0,,1.0,,,,64.0,15.0,6.5,0.0189,0.0,0.00605514,1,,,2.0,,5.0,1.0,2.0,,1.0,,1.0,,1.0,1.0,,,3.0,,,,,,,1.0,,,,,,,,,
