match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_interceptionWon,stat_fouls,captain,stat_bigChanceCreated,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_hitWoodwork,stat_penaltyMiss,player_sofascoreId,stat_goals,stat_penaltyWon,stat_goalAssist,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_blockedScoringAttempt
10408595,home,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,27.0,11.0,23.0,7.0,5.0,6.0,6.0,21.0,9.0,1.0,2.0,90.0,34.0,7.2,17.0,0.0,0.0,0.00255547,0,0.3756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,19.0,16.0,7.0,4.0,10.0,11.0,7.0,12.0,5.0,,,90.0,39.0,6.8,10.0,0.0,0.0,0.229409,0,,4.0,1.0,2.0,1.0,6.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Luis Hernández,luis-hernandez,L. Hernández,D,,182,89,M,260097,EUR,608515200,D,23,23,False,18.0,13.0,2.0,2.0,8.0,9.0,5.0,9.0,2.0,,,90.0,36.0,7.2,9.0,0.0,0.0,0.00622782,0,,,,,2.0,2.0,2.0,,,,,7.0,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Jorge Meré,jorge-mere,J. Meré,D,3,182,166,M,355046,EUR,861235200,D,25,25,False,21.0,15.0,4.0,2.0,11.0,16.0,4.0,5.0,3.0,,,79.0,26.0,6.7,7.0,0.0,0.0,0.00585098,0,,,,,1.0,,1.0,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Alfonso Espino,alfonso-espino,A. Espino,D,22,172,656,M,542634,EUR,694569600,D,22,22,False,43.0,29.0,5.0,3.0,16.0,25.0,13.0,22.0,12.0,,,90.0,75.0,8.0,24.0,0.0,0.0,0.168297,0,,4.0,,2.0,7.0,4.0,15.0,2.0,,,,4.0,,3.0,3.0,2.0,1.0,,True,1.0,5.0,2.0,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Gonzalo Escalante,gonzalo-escalante,G. Escalante,M,8,182,258,M,316170,EUR,733190400,M,17,17,False,21.0,14.0,1.0,,5.0,7.0,9.0,14.0,4.0,,,90.0,33.0,7.0,8.0,0.039,0.1086,0.0142157,1,,,,3.0,3.0,4.0,6.0,,,1.0,1.0,3.0,,1.0,1.0,1.0,2.0,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
10408595,home,Cádiz,Rubén Alcaraz,ruben-alcaraz,R. Alcaraz,M,4,180,243,M,259339,EUR,673056000,M,4,4,False,27.0,20.0,5.0,2.0,12.0,15.0,9.0,14.0,7.0,,,66.0,43.0,6.6,11.0,0.7884,0.0,0.04525,1,,2.0,1.0,1.0,2.0,5.0,9.0,,1.0,1.0,1.0,,,2.0,2.0,1.0,,4.0,,,4.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,
10408595,home,Cádiz,Théo Bongonda,theo-bongonda,T. Bongonda,M,77,177,22829,M,344953,EUR,816825600,M,10,10,False,9.0,6.0,,,2.0,2.0,4.0,10.0,5.0,,,88.0,27.0,8.1,12.0,1.3035,1.208,0.00658083,6,,3.0,,,,3.0,2.0,1.0,,1.0,,,,2.0,2.0,4.0,1.0,2.0,,,,1.0,,,3.0,1.0,3.0,,,theo_bongonda,2.0,,,,,,,
10408595,home,Cádiz,Sergi Guardiola,sergi-guardiola,S. Guardiola,F,14,185,229,M,141945,EUR,675475200,M,19,19,False,16.0,7.0,,,1.0,2.0,6.0,14.0,3.0,,,79.0,26.0,6.4,13.0,0.0,0.0,0.00184379,0,,,,3.0,,6.0,2.0,,2.0,,,2.0,,1.0,1.0,2.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,
10408595,home,Cádiz,Rubén Sobrino,ruben-sobrino,R. Sobrino,M,19,185,175,M,329563,EUR,698198400,M,7,7,False,23.0,14.0,2.0,,7.0,10.0,8.0,14.0,8.0,,,90.0,47.0,6.6,16.0,0.0,0.0,0.12082,0,,1.0,1.0,4.0,1.0,10.0,10.0,,2.0,7.0,4.0,1.0,,4.0,3.0,1.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,
