match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_dispossessed,stat_blockedScoringAttempt,captain,stat_goals,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_bigChanceMissed,player_sofascoreId,stat_penaltyConceded,stat_goalAssist,stat_bigChanceCreated
10433810,home,MKE Ankaragücü,Gökhan Akkan,gokhan-akkan,G. Akkan,G,22,188,108,M,225012,EUR,788918400,G,32,32,False,32.0,17.0,18.0,3.0,16.0,18.0,1.0,14.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,90.0,40.0,6.2,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Oğuz Ceylan,oguz-ceylan,O. Ceylan,D,2,174,8,M,152758,EUR,661219200,D,77,77,False,42.0,33.0,4.0,2.0,15.0,19.0,19.0,33.0,1.0,7.0,1.0,6.0,,,,,,,90.0,83.0,7.0,23.0,0,Oğuz,Ceylan,10.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Uroš Radaković,uros-radakovic,U. Radaković,D,26,194,314,M,151900,EUR,765072000,D,26,26,False,51.0,48.0,7.0,5.0,34.0,35.0,14.0,16.0,3.0,3.0,1.0,6.0,,,,,,,90.0,56.0,6.7,4.0,2,,,,,2.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Nihad Mujakić,nihad-mujakic,N. Mujakić,D,5,189,775,M,858004,EUR,892598400,D,18,18,False,46.0,41.0,3.0,1.0,33.0,34.0,8.0,12.0,1.0,5.0,,5.0,,,,,,,90.0,56.0,6.5,7.0,0,,,,,2.0,,2.0,,1.0,,2.0,1.0,,2.0,,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Yasin Güreler,yasin-gureler,Y. Güreler,D,27,187,2,M,816426,EUR,678412800,D,17,17,False,26.0,22.0,1.0,1.0,13.0,13.0,10.0,15.0,1.0,8.0,,3.0,,,,,,,90.0,54.0,7.1,7.0,2,,,2.0,1.0,6.0,3.0,,,,4.0,7.0,4.0,,,1.0,,1.0,,,1.0,2.0,,,,,,,,,,
10433810,home,MKE Ankaragücü,Tolga Ciğerci,tolga-cigerci,T. Ciğerci,M,38,185,114,M,120298,EUR,701308800,M,30,30,False,52.0,38.0,4.0,1.0,27.0,29.0,11.0,23.0,,3.0,,8.0,,,,,,,86.0,67.0,7.0,19.0,2,,,,,7.0,1.0,1.0,1.0,,3.0,1.0,,2.0,1.0,3.0,,,,2.0,3.0,,True,1.0,,,,,,,,
10433810,home,MKE Ankaragücü,Emre Kılınç,emre-kilinc,E. Kılınç,M,11,174,320,M,202032,EUR,777600000,M,54,54,False,25.0,20.0,4.0,2.0,4.0,6.0,17.0,25.0,,2.0,1.0,2.0,,,,,,,73.0,40.0,6.9,12.0,0,,,6.0,1.0,5.0,3.0,,,,1.0,,,1.0,2.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,
10433810,home,MKE Ankaragücü,Taylan Antalyalı,taylan-antalyali,T. Antalyalı,M,14,180,285,M,190197,EUR,789523200,M,48,48,False,35.0,28.0,2.0,1.0,9.0,10.0,19.0,25.0,1.0,3.0,,5.0,,,,,,,86.0,44.0,6.7,9.0,0,,,,,2.0,,,,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
10433810,home,MKE Ankaragücü,Pedrinho,pedrinho,Pedrinho,M,14,170,129,M,182385,EUR,724809600,M,8,8,False,17.0,13.0,3.0,1.0,1.0,2.0,12.0,17.0,,,,2.0,,,,,,,73.0,26.0,6.4,9.0,1,,,2.0,,4.0,,1.0,,,,,,1.0,,2.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,
10433810,home,MKE Ankaragücü,Giorgi Beridze,giorgi-beridze,G. Beridze,F,7,174,144,M,798377,EUR,863395200,M,21,21,False,17.0,13.0,1.0,1.0,4.0,5.0,9.0,12.0,,3.0,,4.0,,,,,,,86.0,32.0,6.3,12.0,2,,,,,4.0,,2.0,1.0,,,,,5.0,2.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,
