match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,player_jerseyNumber,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_totalTackle,stat_wonTackle,stat_goalAssist,stat_keyPass,stat_shotOffTarget,stat_penaltyWon,stat_totalOffside,stat_hitWoodwork,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,player_sofascoreId
10433835,home,Fatih Karagümrük,Emiliano Viviano,emiliano-viviano,E. Viviano,G,195,127,M,38599,EUR,502243200,G,2,2,False,True,29.0,20.0,11.0,2.0,20.0,23.0,6.0,1.0,8.0,3.0,90.0,39.0,6.9,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Davide Biraschi,davide-biraschi,D. Biraschi,D,182,103,M,233252,EUR,773107200,D,4,4,False,,36.0,28.0,7.0,2.0,17.0,19.0,18.0,2.0,4.0,,90.0,59.0,6.8,13.0,1,,,4,12.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Steven Caulker,steven-caulker,S. Caulker,D,190,142,M,73685,EUR,693964800,D,44,44,False,,68.0,64.0,6.0,3.0,52.0,53.0,15.0,7.0,2.0,,90.0,83.0,8.3,5.0,1,,,,12.0,,,2.0,4.0,,,,,,2.0,2.0,1.0,1.0,,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Ibrahim Drešević,ibrahim-dresevic,I. Drešević,D,186,210,M,817987,EUR,854064000,D,5,5,False,,56.0,53.0,5.0,3.0,45.0,45.0,11.0,4.0,4.0,,90.0,65.0,7.3,3.0,0,,,5,8.0,,,2.0,3.0,1.0,,,,,2.0,,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Caner Erkin,caner-erkin,C. Erkin,D,181,260,M,15680,EUR,591926400,D,88,88,False,,37.0,30.0,8.0,5.0,19.0,22.0,28.0,,5.0,,90.0,60.0,8.2,17.0,1,,,88,16.0,13.0,5.0,1.0,,1.0,,,,1.0,1.0,,2.0,,,,,,,,,2.0,5.0,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Nicholas Anwan,nicholas-anwan,N. Anwan,M,188,32,M,1129985,EUR,990057600,M,24,24,False,,33.0,27.0,1.0,1.0,18.0,22.0,11.0,4.0,4.0,,75.0,48.0,7.1,8.0,1,Nicholas,Anwan,24,9.0,,,2.0,6.0,,,2.0,1.0,,,1.0,1.0,2.0,1.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Magomed Ozdoev,magomed-ozdoev,M. Ozdoev,M,184,812,M,121185,EUR,720921600,M,27,27,False,,44.0,38.0,6.0,4.0,19.0,20.0,25.0,,6.0,,90.0,50.0,7.4,7.0,0,,,27,19.0,1.0,,1.0,2.0,,,,,,,2.0,,2.0,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,
10433835,home,Fatih Karagümrük,Jimmy Durmaz,jimmy-durmaz,J. Durmaz,M,180,109,M,37504,EUR,606528000,M,21,21,False,,53.0,42.0,5.0,5.0,19.0,23.0,33.0,,9.0,,89.0,71.0,7.7,15.0,3,,,,24.0,3.0,1.0,3.0,5.0,1.0,,3.0,2.0,2.0,,,1.0,,1.0,,,1.0,,3.0,2.0,,1.0,,,,,,,,,,,,
10433835,home,Fatih Karagümrük,Jean Evrard Kouassi,jean-evrard-kouassi,J. Kouassi,M,174,582,M,156008,EUR,780451200,F,70,70,False,,26.0,19.0,,,7.0,8.0,19.0,,3.0,,90.0,43.0,6.7,14.0,1,,,17,12.0,1.0,,4.0,3.0,,1.0,3.0,1.0,,,,3.0,2.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
10433835,home,Fatih Karagümrük,Fabio Borini,fabio-borini,F. Borini,F,180,488,M,89510,EUR,670204800,F,16,16,False,,31.0,23.0,2.0,2.0,7.0,8.0,26.0,,3.0,,89.0,57.0,8.1,15.0,5,,,16,16.0,3.0,,2.0,9.0,,1.0,1.0,,1.0,,2.0,2.0,7.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,,,,,
