match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,stat_totalOffside,stat_goalAssist,stat_accurateCross,stat_wonTackle,stat_dispossessed,stat_onTargetScoringAttempt,captain,stat_wonContest,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt
10433884,home,Konyaspor,Erhan Erentürk,erhan-erenturk,E. Erentürk,G,18,190,42,M,997705,EUR,801792000,G,1,1,False,20.0,15.0,8.0,3.0,14.0,16.0,1.0,4.0,2.0,11.0,1.0,2.0,6.0,1.0,90.0,39.0,8.4,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Ahmet Oğuz,ahmet-oguz,A. Oğuz,D,22,175,120,M,603902,EUR,727142400,D,22,22,False,44.0,32.0,8.0,3.0,13.0,16.0,19.0,30.0,4.0,9.0,,,,,90.0,79.0,7.1,22.0,0,,,2.0,1.0,6.0,5.0,2.0,1.0,4.0,1.0,1.0,4.0,2.0,,,,,,,,,,,,,,,,
10433884,home,Konyaspor,Adil Demirbağ,adil-demirbag,A. Demirbağ,D,4,182,168,M,787949,EUR,881712000,D,4,4,False,55.0,45.0,11.0,5.0,38.0,42.0,7.0,13.0,2.0,8.0,,,,,90.0,64.0,7.5,10.0,1,,,,1.0,2.0,7.0,,,,,,2.0,1.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,
10433884,home,Konyaspor,Francisco Calvo,francisco-calvo,F. Calvo,D,5,181,677,M,156400,EUR,710553600,D,15,15,False,70.0,61.0,14.0,10.0,44.0,48.0,17.0,22.0,6.0,5.0,,,,,90.0,86.0,7.3,12.0,0,,,,2.0,6.0,2.0,2.0,2.0,2.0,1.0,1.0,,,1.0,,3.0,,1.0,,,,,,,,,,,
10433884,home,Konyaspor,Guilherme Haubert Sityá,guilherme-haubert-sitya,G. H. Sityá,D,12,179,254,M,224112,EUR,638928000,D,12,12,False,61.0,48.0,7.0,2.0,26.0,30.0,25.0,36.0,1.0,7.0,,,,,90.0,75.0,7.4,17.0,0,,,5.0,,1.0,2.0,,,,1.0,1.0,,1.0,1.0,,,3.0,,1.0,3.0,1.0,,,,,,,,
10433884,home,Konyaspor,Bruno Paz,bruno-paz,B. Paz,M,80,178,194,M,845821,EUR,893289600,M,80,80,False,38.0,33.0,6.0,3.0,15.0,19.0,18.0,19.0,1.0,6.0,,,,,90.0,51.0,6.8,9.0,1,,,,3.0,7.0,6.0,1.0,,,3.0,,2.0,1.0,1.0,1.0,,,,,,,2.0,,,,,,,
10433884,home,Konyaspor,Konrad Michalak,konrad-michalak,K. Michalak,M,71,174,588,M,851243,EUR,874627200,M,77,77,False,14.0,14.0,1.0,1.0,4.0,4.0,11.0,12.0,,1.0,,,,,70.0,22.0,7.0,3.0,0,Konrad,Michalak,2.0,,1.0,4.0,,,,2.0,,2.0,,,,,,,,1.0,1.0,1.0,,,,,,,
10433884,home,Konyaspor,Soner Dikmen,soner-dikmen,S. Dikmen,M,6,179,82,M,847782,EUR,746841600,M,14,14,False,15.0,13.0,,,11.0,11.0,2.0,5.0,1.0,,,,,,70.0,23.0,6.6,6.0,1,,,1.0,,1.0,,,1.0,1.0,,2.0,,,,,,,1.0,,,,,1.0,,,,,,
10433884,home,Konyaspor,Amir Hadžiahmetović,amir-hadziahmetovic,A. Hadžiahmetović,M,20,179,1356,M,795421,EUR,857779200,M,18,18,False,44.0,36.0,10.0,6.0,21.0,23.0,15.0,23.0,1.0,8.0,,,,,90.0,59.0,6.6,15.0,1,,,2.0,1.0,5.0,3.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,1.0,1.0,,True,1.0,,,,
10433884,home,Konyaspor,Zymer Bytyqi,zymer-bytyqi,Z. Bytyqi,M,,176,255,M,226784,EUR,842400000,M,7,7,False,21.0,19.0,2.0,2.0,6.0,6.0,15.0,20.0,,3.0,,,,,87.0,33.0,6.8,10.0,0,,,5.0,,2.0,1.0,,2.0,,1.0,3.0,,,,,,1.0,1.0,,2.0,,,,,,,,,
