match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,from,id,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,length,injury,description
10433958,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
10433958,,2.0,1.0,,90,1.0,,1,,,goal,owngoal,165710896.0,True,ownGoal,189627.0,Stelios Kitsiou,,,,,,
10433958,,,,,90,,,1,,,card,,120446895.0,False,yellow,189627.0,Stelios Kitsiou,Stelios Kitsiou,Foul,False,,,
10433958,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,6.0,,
10433958,,,,,89,,,2,,,card,,120446893.0,False,yellow,226992.0,Furkan Soyalp,Furkan Soyalp,Foul,False,,,
10433958,,,,,86,,,5,,,substitution,,121293429.0,True,regular,,,,,,,False,
10433958,,,,,82,,,9,,,substitution,,121293407.0,False,regular,,,,,,,False,
10433958,,,,,76,,,15,,,substitution,,121293391.0,True,regular,,,,,,,False,
10433958,,,,,76,,,15,,,substitution,,121293393.0,False,regular,,,,,,,False,
10433958,,,,,76,,,15,,,substitution,,121293390.0,True,regular,,,,,,,False,
10433958,,,,,76,,,15,,,substitution,,121293392.0,True,regular,,,,,,,False,
10433958,,,,,73,,,18,,,inGamePenalty,,118405449.0,True,missed,3530.0,Bafetimbi Gomis,,goalkeeperSave,,,,Goalkeeper save
10433958,,,,,59,,,32,,,substitution,,121293305.0,False,regular,,,,,,,False,
10433958,,,,,59,,,32,,,substitution,,121293304.0,False,regular,,,,,,,False,
10433958,,,,,54,,,37,,,card,,120446832.0,False,yellow,899069.0,Mustafa Eskihellaç,Mustafa Eskihellaç,Foul,False,,,
10433958,,,,,46,,,45,,,substitution,,121293254.0,True,regular,,,,,,,False,
10433958,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
10433958,,,,,45,6.0,,1,,,card,,120446786.0,False,yellow,180511.0,Alexandru Maxim,Alexandru Maxim,Foul,False,,,
10433958,,,,,45,,,1,,,card,,120446765.0,True,yellow,754794.0,Lucas Torreira,Lucas Torreira,Argument,False,,,
10433958,,,,,45,,,1,,,card,,120446764.0,True,yellowRed,178963.0,Abdülkerim Bardakcı,Abdülkerim Bardakçı,Foul,False,,,
10433958,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,5.0,,
10433958,,,,,39,,,7,,,card,,120446733.0,True,yellow,991493.0,Sérgio Oliveira,Sérgio Oliveira,Argument,False,,,
10433958,,,,,39,,,7,,,card,,120446734.0,False,yellow,103457.0,Günay Güvenç,Günay Güvenç,Argument,False,,,
10433958,,1.0,1.0,,36,,,10,,,goal,,165710552.0,True,regular,3530.0,Bafetimbi Gomis,,,,,,
10433958,,,,,31,,,15,,,card,,120446711.0,True,yellow,178963.0,Abdülkerim Bardakcı,Abdülkerim Bardakçı,Foul,False,,,
10433958,,0.0,1.0,,27,,,19,,,goal,,165710525.0,False,regular,588784.0,Ángelo Sagal,,,,,,
10433958,,,,,-5,,,6,,,card,,120446781.0,True,yellow,,,Okan Buruk,Argument,False,,,
