match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialLost,stat_wonContest,stat_bigChanceMissed,stat_shotOffTarget,stat_interceptionWon,stat_goalAssist,stat_bigChanceCreated,stat_outfielderBlock,stat_keyPass,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_accurateCross,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_punches
11369816,home,KAA Gent,Paul Nardi,,,paul-nardi,P. Nardi,G,16,187,112,M,155717,EUR,769219200,G,1,1,False,27.0,24.0,10.0,7.0,21.0,21.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,33.0,6.4,3.0,0.0,0.0,0.00030621,0,-1.4045,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369816,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,D,18,18,False,48.0,42.0,2.0,1.0,21.0,25.0,21.0,26.0,,4.0,11.0,,,,,66.0,66.0,6.3,12.0,0.0,0.0,0.0126139,0,,3.0,6.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11369816,home,KAA Gent,Ismael Kandouss,,,ismael-kandouss,I. Kandouss,D,27,192,739,M,934196,EUR,879292800,D,5,5,False,71.0,66.0,5.0,3.0,50.0,50.0,16.0,21.0,1.0,10.0,6.0,,,,,90.0,90.0,6.6,8.0,0.2247,0.0,0.00628344,1,,,9.0,4.0,1.0,1.0,3.0,6.0,5.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
11369816,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,63.0,57.0,8.0,7.0,39.0,43.0,18.0,20.0,1.0,1.0,3.0,,,,,90.0,71.0,7.7,6.0,0.1915,0.0,0.0131972,2,,,3.0,,,,2.0,,,,,1.0,3.0,,,2.0,,1.0,2.0,2.0,2.0,,,,,,,,
11369816,home,KAA Gent,Archie Brown,,,brown-archie,A. Brown,D,3,190,3096,M,1009738,EUR,1022544000,D,3,3,False,51.0,40.0,6.0,2.0,20.0,25.0,20.0,34.0,,5.0,5.0,,,,,90.0,84.0,6.9,24.0,0.1225,0.0,0.217551,1,,8.0,7.0,1.0,,3.0,,1.0,1.0,3.0,1.0,1.0,5.0,3.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,,,,
11369816,home,KAA Gent,Julien De Sart,,,julien-de-sart,J. De Sart,M,4,187,181,M,149795,EUR,788140800,M,13,13,False,50.0,39.0,9.0,6.0,12.0,15.0,27.0,35.0,,3.0,4.0,,,,,79.0,64.0,6.9,14.0,0.0185,0.0,0.019534,1,,,4.0,1.0,1.0,,,3.0,2.0,,,2.0,,,,,6.0,,,,,1.0,,,,,,,
11369816,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,50.0,43.0,3.0,2.0,12.0,12.0,35.0,46.0,,,7.0,,,,,90.0,69.0,7.3,14.0,0.0364,0.0,0.26123,2,,8.0,4.0,1.0,1.0,,,,,1.0,,,2.0,,,1.0,1.0,1.0,,,4.0,1.0,,True,4.0,,,,
11369816,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177,1224,M,942937,EUR,929491200,M,7,7,False,48.0,41.0,3.0,2.0,8.0,9.0,33.0,42.0,,4.0,8.0,,,,,79.0,60.0,7.5,12.0,0.0,0.0,0.200017,0,,3.0,2.0,1.0,1.0,,,2.0,2.0,,2.0,,,,,,1.0,,,,3.0,,,,,,,,
11369816,home,KAA Gent,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6184,M,1195784,EUR,1112227200,M,19,19,False,15.0,11.0,,,2.0,2.0,9.0,13.0,1.0,3.0,1.0,,,,,45.0,26.0,6.9,6.0,0.1295,0.0,0.0248455,2,,,1.0,,,1.0,,,,2.0,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,,,
11369816,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185,1408,M,836289,EUR,855273600,F,11,11,False,19.0,14.0,1.0,1.0,4.0,4.0,10.0,15.0,2.0,3.0,4.0,,,,,90.0,32.0,6.4,10.0,0.2261,0.0,0.0100595,1,,,9.0,4.0,1.0,2.0,,1.0,,2.0,,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,,
11369816,home,KAA Gent,Gift Orban,,,gift-orban,G. Orban,F,16,178,5532,M,1217613,EUR,1026864000,F,20,20,False,20.0,13.0,1.0,,5.0,5.0,8.0,18.0,2.0,5.0,,,,,,90.0,41.0,7.6,14.0,0.9335,0.6848,0.0134417,7,,3.0,7.0,,2.0,5.0,,,,,,1.0,2.0,3.0,,1.0,,,,,,3.0,1.0,,,giftorban,3.0,1.0,
11369816,home,KAA Gent,Jordan Torunarigha,,,jordan-torunarigha,J. Torunarigha,D,25,189,608,M,801003,EUR,870912000,D,23,23,True,24.0,21.0,2.0,,12.0,13.0,9.0,12.0,,1.0,1.0,,,,,45.0,31.0,7.6,5.0,0.0835,0.1367,0.013692,1,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,
11369816,home,KAA Gent,Noah Fadiga,,,fadiga-noah,N. Fadiga,M,27,187,700,M,960437,EUR,944179200,D,22,22,True,20.0,14.0,1.0,,8.0,10.0,6.0,10.0,,5.0,2.0,,,,,24.0,33.0,6.5,9.0,0.0,0.0,0.00532875,0,,,4.0,,1.0,3.0,,1.0,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,,
