match_id,period,group,name,home,away
11369858,ALL,Match overview,Ball possession,48%,52%
11369858,ALL,Match overview,Expected goals,1.03,2.27
11369858,ALL,Match overview,Big chances,1,3
11369858,ALL,Match overview,Total shots,9,20
11369858,ALL,Match overview,Goalkeeper saves,4,2
11369858,ALL,Match overview,Corner kicks,2,4
11369858,ALL,Match overview,Fouls,11,15
11369858,ALL,Match overview,Passes,537,590
11369858,ALL,Match overview,Tackles,19,13
11369858,ALL,Match overview,Free kicks,14,10
11369858,ALL,Match overview,Yellow cards,1,0
11369858,ALL,Shots,Total shots,9,20
11369858,ALL,Shots,Shots on target,3,6
11369858,ALL,Shots,Hit woodwork,0,0
11369858,ALL,Shots,Shots off target,5,6
11369858,ALL,Shots,Blocked shots,1,8
11369858,ALL,Shots,Shots inside box,7,11
11369858,ALL,Shots,Shots outside box,2,9
11369858,ALL,Attack,Big chances scored,0,1
11369858,ALL,Attack,Big chances missed,1,2
11369858,ALL,Attack,Fouled in final third,1,0
11369858,ALL,Attack,Offsides,3,1
11369858,ALL,Passes,Accurate passes,434,503
11369858,ALL,Passes,Throw-ins,20,15
11369858,ALL,Passes,Final third entries,56,80
11369858,ALL,Passes,Long balls,22/50 (44%),42/74 (57%)
11369858,ALL,Passes,Crosses,4/19 (21%),1/13 (8%)
11369858,ALL,Duels,Duels,59%,41%
11369858,ALL,Duels,Dispossessed,6,16
11369858,ALL,Duels,Ground duels,40/68 (59%),28/68 (41%)
11369858,ALL,Duels,Aerial duels,10/17 (59%),7/17 (41%)
11369858,ALL,Duels,Dribbles,7/14 (50%),5/8 (63%)
11369858,ALL,Defending,Tackles won,58%,54%
11369858,ALL,Defending,Total tackles,19,13
11369858,ALL,Defending,Interceptions,17,12
11369858,ALL,Defending,Recoveries,66,78
11369858,ALL,Defending,Clearances,18,19
11369858,ALL,Goalkeeping,Total saves,4,2
11369858,ALL,Goalkeeping,Goals prevented,-0.45,-0.25
11369858,ALL,Goalkeeping,Goal kicks,10,5
11369858,1ST,Match overview,Ball possession,51%,49%
11369858,1ST,Match overview,Expected goals,0.35,0.61
11369858,1ST,Match overview,Big chances,0,0
11369858,1ST,Match overview,Total shots,6,7
11369858,1ST,Match overview,Goalkeeper saves,2,2
11369858,1ST,Match overview,Corner kicks,2,0
11369858,1ST,Match overview,Passes,300,290
11369858,1ST,Match overview,Tackles,11,6
