match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_shotOffTarget,stat_goals,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_keyPass,stat_totalCross,stat_wasFouled,stat_fouls,captain,stat_goalAssist,stat_accurateCross,stat_challengeLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,player_sofascoreId,stat_outfielderBlock
11369935,home,KAA Gent,Davy Roef,,,davy-roef,D. Roef,G,33,187,232,M,156663,EUR,760492800,G,33,33,False,21.0,20.0,10.0,9.0,19.0,20.0,1.0,1.0,8.0,1.0,2.0,2.0,90.0,30.0,7.5,2.0,0.00022905,0,0.6886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369935,home,KAA Gent,Ismael Kandouss,,,ismael-kandouss,I. Kandouss,D,27,192,739,M,934196,EUR,879292800,D,5,5,False,74.0,62.0,15.0,6.0,36.0,37.0,26.0,37.0,7.0,,,,90.0,84.0,7.3,14.0,0.026372,1,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.203,0.4107,,,,,,,,,,,,,,,,,,,,
11369935,home,KAA Gent,Tsuyoshi Watanabe,,,tsuyoshi-watanabe,T. Watanabe,D,4,187,1372,M,942213,EUR,855100800,D,4,4,False,60.0,55.0,5.0,2.0,44.0,45.0,11.0,15.0,3.0,,,,90.0,67.0,7.5,7.0,0.0132941,2,,1.0,,2.0,,,,1.0,1.0,2.0,1.0,1.0,0.3517,0.4585,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
11369935,home,KAA Gent,Bram Lagae,Bram,Lagae,bram-lagae,B. Lagae,D,4,183,177,M,1126688,EUR,1074038400,D,15,15,False,75.0,69.0,7.0,5.0,40.0,41.0,29.0,34.0,6.0,,,,90.0,83.0,7.4,7.0,0.0136198,0,,1.0,1.0,1.0,2.0,,,,,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
11369935,home,KAA Gent,Matisse Samoise,,,matisse-samoise,M. Samoise,M,18,180,256,M,1046245,EUR,1006300800,M,18,18,False,45.0,37.0,5.0,3.0,16.0,17.0,21.0,32.0,6.0,,,,76.0,70.0,7.9,14.0,0.0190555,1,,1.0,,3.0,6.0,1.0,,,1.0,1.0,1.0,1.0,0.0854,0.0377,,,1.0,3.0,3.0,,,4.0,3.0,1.0,,,,,,,,,,
11369935,home,KAA Gent,Sven Kums,,,sven-kums,S. Kums,M,,176,162,M,45990,EUR,572832000,M,24,24,False,71.0,64.0,8.0,5.0,20.0,20.0,46.0,56.0,3.0,,,,90.0,91.0,8.6,13.0,0.673437,0,,1.0,,6.0,5.0,3.0,1.0,,,1.0,,1.0,,,,,,,,,4.0,5.0,4.0,1.0,True,2.0,2.0,2.0,2.0,,,,,
11369935,home,KAA Gent,Julien De Sart,,,julien-de-sart,J. De Sart,M,4,187,181,M,149795,EUR,788140800,M,13,13,False,79.0,67.0,17.0,12.0,30.0,30.0,37.0,50.0,8.0,,,,90.0,96.0,7.2,18.0,0.0304991,2,,2.0,2.0,9.0,6.0,1.0,,,1.0,3.0,,1.0,0.0527,0.3885,2.0,1.0,,4.0,3.0,,,1.0,,2.0,,,,2.0,,,,,,
11369935,home,KAA Gent,Malick Fofana,Malick Fofana,,malick-fofana,M. Fofana,F,11,169,6184,M,1195784,EUR,1112227200,M,19,19,False,43.0,37.0,2.0,2.0,10.0,10.0,30.0,42.0,,,,,89.0,76.0,9.5,12.0,0.598585,2,,,,,5.0,2.0,2.0,,1.0,3.0,3.0,,0.099,0.1488,,,1.0,1.0,1.0,,6.0,9.0,2.0,,,1.0,3.0,,,1.0,1.0,,,
11369935,home,KAA Gent,Hyun-Seok Hong,,,hyun-seok-hong,H. Hong,M,24,177,1224,M,942937,EUR,929491200,F,7,7,False,59.0,48.0,7.0,3.0,12.0,13.0,37.0,48.0,7.0,,,,76.0,73.0,8.0,14.0,0.239768,1,,,,3.0,5.0,2.0,1.0,,,,,,0.0669,,1.0,1.0,,2.0,1.0,,3.0,2.0,2.0,,,1.0,1.0,1.0,1.0,,,,,
11369935,home,KAA Gent,Hugo Cuypers,,,hugo-cuypers,H. Cuypers,F,9,185,1408,M,836289,EUR,855273600,F,11,11,False,24.0,17.0,,,6.0,7.0,11.0,17.0,1.0,,,,76.0,33.0,7.9,8.0,0.160643,4,,1.0,5.0,3.0,6.0,,,,1.0,1.0,,1.0,0.9143,0.5908,,2.0,1.0,1.0,,,1.0,,,,,,,2.0,,1.0,,1.0,,
