match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_unsuccessfulTouch,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_expectedGoals,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoalsOnTarget,player_firstName,player_lastName,stat_aerialLost,stat_keyPass,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
12117260,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190,551,M,844576,EUR,871948800,G,1,1,False,True,32.0,19.0,18.0,5.0,0.0,14.0,15.0,5.0,17.0,10.0,1.0,2.0,5.0,90.0,42.0,7.6,14.0,0.00230744,0,0.6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,José Andrés Hurtado,andres-hurtado,J. A. Hurtado,D,34,178,537,M,987589,EUR,1009065600,D,34,34,False,,39.0,30.0,5.0,1.0,0.0,14.0,17.0,16.0,24.0,3.0,2.0,,,90.0,62.0,6.9,16.0,0.0125042,1,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0082,,,,,,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188,417,M,551774,EUR,812592000,D,14,14,False,,35.0,24.0,9.0,1.0,0.0,16.0,20.0,8.0,15.0,3.0,1.0,,,90.0,46.0,7.2,13.0,0.00557719,1,,,2.0,5.0,1.0,,,,1.0,,1.0,0.1153,1.0,1.0,1.0,3.0,3.0,1.0,0.0998,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Eduardo Santos,eduardo-santos,Eduardo,D,3,196,161,M,925189,EUR,880675200,D,3,3,False,,41.0,29.0,8.0,2.0,0.0,20.0,25.0,9.0,16.0,8.0,,,,90.0,58.0,7.5,12.0,0.0053111,0,,,1.0,6.0,,2.0,2.0,,8.0,1.0,1.0,,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,
12117260,home,Red Bull Bragantino,Guilherme Lopes,guilherme-lopes,G. Lopes,D,31,178,87,M,1097858,EUR,1013644800,D,31,31,False,,24.0,20.0,2.0,1.0,0.0,13.0,15.0,7.0,9.0,2.0,1.0,,,74.0,38.0,7.1,9.0,0.0651402,0,,,1.0,5.0,,1.0,,,3.0,1.0,1.0,,3.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12117260,home,Red Bull Bragantino,Jadsom,jadsom,Jadsom,M,25,176,193,M,964127,EUR,990316800,M,5,5,False,,18.0,14.0,1.0,1.0,0.0,4.0,5.0,10.0,13.0,4.0,,,,62.0,27.0,7.0,4.0,0.00933859,0,,,2.0,3.0,,,,,1.0,3.0,,,2.0,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,,,
12117260,home,Red Bull Bragantino,Henry Mosquera,henry-mosquera,H. Mosquera,F,30,175,705,M,1170680,EUR,1005782400,M,30,30,False,,18.0,16.0,1.0,1.0,0.0,5.0,6.0,13.0,14.0,3.0,2.0,,,89.0,47.0,7.5,10.0,0.254888,5,,2.0,5.0,9.0,,8.0,5.0,1.0,,,3.0,0.1576,,1.0,,1.0,1.0,,0.1065,Henry Mosquera,,,2.0,2.0,2.0,3.0,1.0,,,,,,
12117260,home,Red Bull Bragantino,Lucas Evangelista,lucas-evangelista,L. Evangelista,M,30,181,3216,M,331397,EUR,799718400,M,8,8,False,,30.0,24.0,,,0.0,6.0,8.0,18.0,23.0,3.0,2.0,,,90.0,58.0,7.6,16.0,0.0883184,2,,1.0,10.0,12.0,,7.0,4.0,1.0,,,2.0,0.0752,3.0,,1.0,3.0,2.0,3.0,,,,2.0,2.0,,2.0,1.0,,1.0,,,,,
12117260,home,Red Bull Bragantino,Lincoln,lincoln,Lincoln,M,18,177,846,M,794928,EUR,910396800,M,10,10,False,,34.0,31.0,1.0,,0.0,13.0,15.0,18.0,21.0,4.0,,,,86.0,44.0,7.0,6.0,0.0208984,2,,2.0,1.0,3.0,,1.0,1.0,,1.0,1.0,2.0,0.0824,,1.0,,,,,0.0145,,,,,,1.0,1.0,,,,,,,
12117260,home,Red Bull Bragantino,Vitinho,vitinho,Vitinho,M,28,181,1064,M,982405,EUR,922924800,M,28,28,False,,20.0,12.0,3.0,2.0,0.0,3.0,5.0,11.0,20.0,8.0,1.0,,,90.0,44.0,7.3,15.0,0.146083,3,,5.0,8.0,10.0,1.0,3.0,1.0,1.0,,,2.0,0.0631,2.0,1.0,,5.0,2.0,1.0,0.0182,,,3.0,2.0,2.0,1.0,1.0,2.0,,,,,,
