match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_firstName,player_lastName,stat_fouls,stat_shotOffTarget,stat_outfielderBlock,captain,stat_blockedScoringAttempt,stat_wonTackle,stat_bigChanceCreated,stat_bigChanceMissed,player_sofascoreId,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalOffside,stat_goals
12117355,home,Juventude,Gabriel Vasconcelos,gabriel-vasconcelos,G. Vasconcelos,G,1,193,501,M,147467,EUR,717552000,G,1,1,False,22.0,19.0,6.0,3.0,0.0,17.0,18.0,2.0,4.0,4.0,90.0,27.0,6.6,3.0,0.00286766,0,-0.1619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117355,home,Juventude,João Lucas,joao-lucas,J. Lucas,D,2,181,682,M,981019,EUR,889401600,D,2,2,False,36.0,31.0,3.0,3.0,0.0,12.0,13.0,20.0,31.0,6.0,90.0,70.0,7.4,16.0,0.0690869,1,,8.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0146,0.2465,1.0,,,,,,,,,,,,,,,,
12117355,home,Juventude,Danilo Boza,danilo-boza,D. Boza,D,3,184,230,M,924226,EUR,894412800,D,4,4,False,42.0,39.0,6.0,4.0,0.0,29.0,31.0,10.0,11.0,3.0,82.0,50.0,6.7,3.0,0.0240262,0,,,,1.0,,2.0,2.0,,,,,,2.0,2.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,
12117355,home,Juventude,Lucas Freitas,lucas-freitas,L. Freitas,D,43,184,1198,M,1069729,EUR,979948800,D,43,43,False,55.0,50.0,7.0,6.0,0.0,36.0,38.0,14.0,17.0,3.0,90.0,59.0,6.7,5.0,0.0916469,0,,,,,,1.0,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12117355,home,Juventude,Ewerthon,ewerton,Ewerthon,D,2,171,176,M,992512,EUR,971222400,D,14,14,False,29.0,25.0,7.0,5.0,0.0,16.0,16.0,9.0,14.0,6.0,62.0,48.0,7.1,9.0,0.013237,1,,1.0,,,1.0,,1.0,,,,,,1.0,2.0,,1.0,,0.0201,,,,,,1.0,2.0,,,,,,,,,,,
12117355,home,Juventude,Jádson,jadson,Jádson,M,16,171,454,M,243651,EUR,746668800,M,16,16,False,34.0,32.0,4.0,3.0,0.0,12.0,12.0,20.0,23.0,2.0,90.0,46.0,7.3,5.0,0.208502,2,,1.0,,1.0,,6.0,4.0,2.0,1.0,,,1.0,2.0,,3.0,1.0,1.0,0.0409,0.0103,3.0,,,2.0,,,True,1.0,2.0,,,,,,,,
12117355,home,Juventude,Ronaldo,ronaldo,Ronaldo,M,16,175,619,M,824152,EUR,846028800,M,96,96,False,34.0,27.0,2.0,1.0,0.0,19.0,21.0,8.0,13.0,1.0,90.0,43.0,7.1,8.0,0.0332622,2,,,,2.0,2.0,4.0,4.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,0.1692,,2.0,,,2.0,1.0,,,1.0,1.0,1.0,,,,,,,
12117355,home,Juventude,Lucas Barbosa,lucas-barbosa,L. Barbosa,M,21,193,762,M,1067641,EUR,982800000,M,21,21,False,29.0,21.0,4.0,4.0,0.0,4.0,6.0,17.0,23.0,4.0,90.0,53.0,6.4,17.0,0.0661828,5,,,,,5.0,10.0,9.0,1.0,3.0,3.0,,1.0,,2.0,3.0,3.0,1.0,0.4553,0.2733,,Lucas Barbosa,,3.0,1.0,,,3.0,1.0,,1.0,,,,,,
12117355,home,Juventude,Jean Carlos,jean-carlos,J. Carlos,M,20,178,459,M,850475,EUR,698112000,M,20,20,False,13.0,9.0,2.0,1.0,0.0,1.0,3.0,10.0,18.0,1.0,62.0,24.0,6.9,10.0,0.207623,0,,8.0,2.0,1.0,,1.0,1.0,,,,,,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,
12117355,home,Juventude,Erick Farias,erick-farias,E. Farias,F,97,172,479,M,927667,EUR,852249600,M,7,7,False,18.0,15.0,,,0.0,6.0,7.0,9.0,12.0,3.0,74.0,30.0,7.0,6.0,0.00944546,2,,1.0,,1.0,,3.0,4.0,,1.0,1.0,1.0,,1.0,,2.0,1.0,1.0,0.0286,,,,,1.0,2.0,,,,1.0,,,,,,,,
