match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_sofascoreId,stat_totalCross,stat_accurateCross,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_errorLeadToAShot,stat_wasFouled,stat_fouls,stat_dispossessed,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_errorLeadToAGoal,stat_totalOffside,stat_goals,stat_goalAssist,stat_bigChanceCreated,stat_bigChanceMissed
11598376,home,Aston Villa,Robin Olsen,,,robin-olsen,R. Olsen,G,30,198,1284,M,26025,EUR,631756800,G,25,25,False,43.0,36.0,13.0,6.0,35.0,39.0,1.0,4.0,13.0,1.0,2.0,3.0,2.0,2.0,90.0,52.0,7.1,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11598376,home,Aston Villa,Matty Cash,,,matty-cash,M. Cash,D,2,185,9362,M,833956,EUR,870912000,D,2,2,False,55.0,47.0,5.0,2.0,30.0,33.0,18.0,25.0,3.0,,,,,,90.0,73.0,6.8,13.0,1,mattycash622,3.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11598376,home,Aston Villa,Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,183,3199,M,827679,EUR,877564800,D,4,4,False,91.0,86.0,6.0,4.0,65.0,68.0,21.0,23.0,5.0,,,,,,90.0,105.0,6.8,6.0,0,,,,7.0,,1.0,2.0,2.0,1.0,,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,1.0,,,,,,,,,,,,
11598376,home,Aston Villa,Pau Torres,,,pau-torres,P. Torres,D,14,192,4086,M,864169,EUR,853372800,D,14,14,False,114.0,104.0,11.0,8.0,63.0,67.0,41.0,47.0,8.0,,,,,,90.0,127.0,7.0,13.0,0,pauttorres,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,2.0,,2.0,1.0,,,,1.0,,,,,,,,,,,
11598376,home,Aston Villa,John McGinn,,,john-mcginn,J. McGinn,M,7,175,3885,M,250223,EUR,782438400,D,7,7,False,28.0,25.0,1.0,1.0,19.0,19.0,6.0,10.0,1.0,,,,,,45.0,46.0,6.8,7.0,0,,1.0,,7.0,,,2.0,1.0,,,,,5.0,2.0,1.0,,,2.0,1.0,,True,5.0,3.0,,,,,,,,
11598376,home,Aston Villa,Leander Dendoncker,,,leander-dendoncker,L. Dendoncker,M,20,188,1662,M,190405,EUR,797904000,M,32,32,False,28.0,26.0,,,18.0,20.0,8.0,8.0,2.0,,,,,,45.0,33.0,6.4,4.0,0,,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,
11598376,home,Aston Villa,Douglas Luiz,,,douglas-luiz,D. Luiz,M,21,175,11812,M,867887,EUR,894672000,M,6,6,False,93.0,81.0,6.0,2.0,45.0,48.0,36.0,47.0,10.0,,,,,,90.0,107.0,6.7,18.0,1,Douglas_Luiz,2.0,,5.0,1.0,,2.0,1.0,2.0,1.0,1.0,,6.0,2.0,,1.0,,1.0,1.0,1.0,,3.0,2.0,,,,,,,,
11598376,home,Aston Villa,Leon Bailey,,,leon-bailey,L. Bailey,M,31,178,7654,M,808590,EUR,871084800,M,31,31,False,7.0,5.0,,,1.0,1.0,4.0,6.0,1.0,,,,,,31.0,9.0,6.7,2.0,0,leonbailey,,,2.0,,,,,,1.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,
11598376,home,Aston Villa,Moussa Diaby,,,diaby-moussa,M. Diaby,M,19,170,7562,M,855817,EUR,931305600,M,19,19,False,22.0,17.0,2.0,1.0,7.0,8.0,10.0,16.0,3.0,,,,,,90.0,34.0,6.3,14.0,2,moussadiaby,2.0,,1.0,,,,,2.0,,,,8.0,2.0,,,,,1.0,2.0,,4.0,1.0,2.0,,,,,,,
11598376,home,Aston Villa,Youri Tielemans,,,youri-tielemans,Y. Tielemans,M,8,177,9757,M,331737,EUR,862963200,M,8,8,False,44.0,41.0,2.0,2.0,19.0,20.0,22.0,24.0,4.0,,,,,,78.0,62.0,5.9,11.0,3,youritielemans,,,2.0,1.0,,1.0,1.0,2.0,1.0,1.0,,8.0,,1.0,,,1.0,3.0,4.0,,,,,2.0,1.0,,,,,
