match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_expectedGoals,stat_keyPass,captain,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_dispossessed,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,stat_expectedGoalsOnTarget,player_sofascoreId,stat_bigChanceMissed,stat_hitWoodwork,stat_savedShotsFromInsideTheBox,stat_saves,stat_errorLeadToAShot
11352513,home,West Ham United,Alphonse Aréola,alphonse-areola,A. Aréola,G,23,195,3046,M,96531,EUR,730771200,G,23,23,False,23.0,18.0,13.0,8.0,0.0,17.0,20.0,1.0,3.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,90.0,29.0,6.9,5.0,0.00028641,0,-0.4196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,home,West Ham United,Vladimír Coufal,vladimir-coufal,V. Coufal,D,34,179,1722,M,138024,EUR,714441600,D,5,5,False,45.0,41.0,3.0,2.0,0.0,23.0,25.0,20.0,26.0,2.0,6.0,,7.0,2.0,,,90.0,77.0,7.7,10.0,0.492672,1,,,,6.0,2.0,2.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0091,3.0,,,,,,,,,,,,,,,,
11352513,home,West Ham United,Kurt Zouma,kurt-zouma,K. Zouma,D,4,190,2248,M,139227,EUR,783216000,D,4,4,False,30.0,28.0,5.0,3.0,0.0,19.0,19.0,9.0,11.0,2.0,5.0,6.0,1.0,1.0,,,90.0,46.0,7.3,3.0,0.00632846,0,,,,,,1.0,3.0,,,,,,1.0,4.0,2.0,,,True,2.0,1.0,2.0,,,,,,,,,,,,
11352513,home,West Ham United,Angelo Ogbonna,angelo-ogbonna,A. Ogbonna,D,,191,389,M,21164,EUR,580348800,D,21,21,False,47.0,37.0,6.0,1.0,0.0,27.0,31.0,10.0,16.0,7.0,10.0,3.0,1.0,1.0,,,89.0,56.0,6.9,10.0,0.00357613,0,,,,,,3.0,3.0,,,,,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,
11352513,home,West Ham United,Emerson Palmieri,emerson-palmieri,Emerson,D,33,176,2398,M,155997,EUR,775872000,D,33,33,False,55.0,47.0,7.0,4.0,0.0,22.0,27.0,25.0,29.0,3.0,10.0,3.0,3.0,1.0,,,84.0,87.0,6.9,15.0,0.0325384,1,,,,1.0,,,8.0,4.0,1.0,,,,,,6.0,0.1372,1.0,,4.0,3.0,2.0,1.0,1.0,,,,,,,,,,
11352513,home,West Ham United,Tomáš Souček,tomas-soucek,T. Souček,M,28,192,3256,M,799041,EUR,793843200,M,28,28,False,45.0,38.0,2.0,2.0,0.0,18.0,21.0,21.0,25.0,5.0,5.0,4.0,5.0,,,,90.0,58.0,8.0,8.0,0.138649,3,,,,1.0,1.0,5.0,6.0,,,,,1.0,,,,0.2055,3.0,,,1.0,1.0,,,2.0,1.0,2.0,0.4061,,,,,,
11352513,home,West Ham United,James Ward-Prowse,james-ward-prowse,J. Ward-Prowse,M,20,177,4256,M,161717,EUR,783648000,M,7,7,False,61.0,52.0,6.0,4.0,0.0,38.0,41.0,14.0,28.0,1.0,1.0,1.0,4.0,,,,90.0,77.0,7.4,19.0,0.0102035,2,,,,8.0,,,1.0,1.0,,,,,,1.0,,0.1568,,,,1.0,,,1.0,1.0,1.0,,0.3806,prowsey16,,,,,
11352513,home,West Ham United,Jarrod Bowen,jarrod-bowen,J. Bowen,M,20,174,9125,M,552884,EUR,851040000,M,20,20,False,24.0,17.0,,,0.0,9.0,9.0,8.0,15.0,,4.0,,3.0,1.0,,,90.0,42.0,6.6,13.0,0.126377,7,,,,,,2.0,5.0,,4.0,3.0,1.0,3.0,,,,1.4384,3.0,,,2.0,,2.0,2.0,2.0,,,1.0582,jarrodbowen,3.0,1.0,,,
11352513,home,West Ham United,Mohammed Kudus,mohammed-kudus,M. Kudus,M,20,176,89524,M,905163,EUR,965174400,M,14,14,False,42.0,37.0,4.0,4.0,1.0,14.0,15.0,23.0,28.0,,7.0,,6.0,2.0,,,90.0,59.0,7.9,9.0,0.585773,5,,,,1.0,,,3.0,,5.0,3.0,1.0,3.0,,,2.0,0.6913,3.0,,2.0,1.0,1.0,,2.0,,,,,Kudus,1.0,1.0,,,
11352513,home,West Ham United,Lucas Paquetá,lucas-paqueta,L. Paquetá,M,20,180,63569,M,839981,EUR,872640000,M,10,10,False,59.0,44.0,9.0,5.0,0.0,16.0,21.0,29.0,39.0,2.0,11.0,,7.0,3.0,,,84.0,85.0,7.3,20.0,0.284549,1,,,,1.0,1.0,2.0,6.0,,1.0,1.0,,,,,5.0,0.0137,1.0,,3.0,1.0,1.0,3.0,1.0,,,,,Paqueta,,,,,
11352513,home,West Ham United,Michail Antonio,michail-antonio,M. Antonio,F,,180,3251,M,47772,EUR,638582400,F,9,9,False,8.0,7.0,1.0,,0.0,5.0,5.0,2.0,4.0,1.0,4.0,1.0,2.0,3.0,,,75.0,27.0,6.6,12.0,0.0207105,3,,,,1.0,,3.0,11.0,,3.0,,,1.0,,,,0.2561,,,,1.0,1.0,4.0,,2.0,,,0.4679,MichailAntonio,,,,,
11352513,home,West Ham United,George Earthy,george-earthy,G. Earthy,M,44,180,404,M,1212165,EUR,1094342400,M,40,40,True,9.0,8.0,1.0,,0.0,3.0,4.0,5.0,5.0,,,,3.0,,,,15.0,10.0,7.2,1.0,0.00333712,1,,,,,,,2.0,1.0,,,,,,,,0.3086,,,,,1.0,,,1.0,1.0,,0.7879,,,,,,
11352513,home,West Ham United,Aaron Cresswell,aaron-cresswell,A. Cresswell,D,3,170,763,M,43443,EUR,629683200,D,3,3,True,8.0,5.0,3.0,1.0,0.0,3.0,3.0,2.0,5.0,,,,,,,,13.0,9.0,6.5,3.0,0.00604253,0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,home,West Ham United,Danny Ings,danny-ings,D. Ings,F,9,178,1761,M,130181,EUR,711849600,F,18,18,True,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,,,,,,,,13.0,4.0,6.5,1.0,0.0132804,0,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
11352513,home,West Ham United,Kaelan Casey,casey-kaelan,K. Casey,D,16,185,229,M,1142343,EUR,1098921600,D,42,42,True,,,,,0.0,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,0,,Kaelan Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,home,West Ham United,Łukasz Fabiański,lukasz-fabianski,Ł. Fabiański,G,22,190,3777,M,15479,EUR,482630400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,lukasz.fabianski,,,,,
11352513,home,West Ham United,Ben Johnson,ben-johnson,B. Johnson,D,18,182,616,M,914412,EUR,948672000,D,2,2,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,home,West Ham United,Edson Álvarez,edson-alvarez,E. Álvarez,M,11,190,10872,M,847151,EUR,877651200,M,19,19,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,EdsonAlvarez19,,,,,
11352513,home,West Ham United,Divin Mubama,mubama-divin,D. Mubama,F,9,183,2449,M,1167025,EUR,1098662400,F,45,45,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,home,West Ham United,Maxwel Cornet,maxwel-cornet,M. Cornet,F,70,179,1971,M,280439,EUR,843782400,F,17,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352513,away,Luton Town,Thomas Kaminski,thomas-kaminski,T. Kaminski,G,1,190,545,M,45959,EUR,719798400,G,24,24,False,30.0,12.0,25.0,7.0,0.0,7.0,10.0,5.0,20.0,,,1.0,10.0,,,,90.0,43.0,6.7,18.0,0.00268112,0,0.1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
11352513,away,Luton Town,Reece Burke,reece-burke,R. Burke,D,32,189,102,M,372342,EUR,841622400,D,16,16,False,29.0,21.0,8.0,4.0,0.0,8.0,11.0,13.0,19.0,2.0,7.0,4.0,4.0,2.0,,,87.0,44.0,6.6,10.0,0.00614913,0,,,,1.0,,,1.0,,,,,,,1.0,3.0,,,,2.0,,,1.0,,,,,,,,,,,
11352513,away,Luton Town,Teden Mengi,teden-mengi,T. Mengi,D,15,183,754,M,979233,EUR,1020124800,D,15,15,False,24.0,16.0,7.0,1.0,0.0,16.0,18.0,,6.0,3.0,7.0,4.0,3.0,,,,90.0,38.0,6.2,9.0,0.00033099,0,,,,,,3.0,6.0,,,,,,,2.0,4.0,,,,3.0,1.0,3.0,,,,,,,,,,,,1.0
11352513,away,Luton Town,Gabriel Osho,gabriel-osho,G. Osho,D,4,185,1150,M,920680,EUR,903052800,D,2,2,False,27.0,24.0,4.0,2.0,0.0,19.0,19.0,5.0,8.0,4.0,7.0,7.0,3.0,,,,90.0,41.0,6.8,4.0,0.00269007,0,,,,,,1.0,2.0,,,,,,1.0,,3.0,,,,2.0,1.0,1.0,,,,,,,,,,,,
11352513,away,Luton Town,Fred Onyedinma,fred-onyedinma,F. Onyedinma,M,44,185,117,M,370932,EUR,848793600,M,32,32,False,15.0,12.0,,,0.0,6.0,8.0,6.0,8.0,,3.0,2.0,1.0,1.0,,,73.0,41.0,6.3,10.0,0.00987634,2,,,,1.0,,3.0,10.0,,2.0,1.0,,1.0,,,1.0,0.0456,,,1.0,1.0,2.0,4.0,1.0,,,,,,,,,,
