match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_totalOffside,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,player_sofascoreId,stat_outfielderBlock,stat_fouls,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceMissed,stat_unsuccessfulTouch,stat_challengeLost,captain,stat_bigChanceCreated,stat_shotOffTarget,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goals,stat_goalAssist
11352517,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,32.0,25.0,10.0,3.0,24.0,25.0,1.0,7.0,1.0,1.0,1.0,5.0,1.0,90.0,37.0,5.9,7.0,0.00020296,0,-1.4502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352517,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,21,21,False,63.0,54.0,2.0,1.0,32.0,35.0,23.0,29.0,4.0,8.0,1.0,6.0,,90.0,93.0,7.4,10.0,0.0697996,2,,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.3237,0.0471,2.0,,,,,,,,,,,,,,,,,,,
11352517,home,Fulham,Tosin Adarabioyo,tosin-adarabioyo,T. Adarabioyo,D,4,196,10523,M,352668,EUR,875059200,D,4,4,False,112.0,103.0,12.0,8.0,71.0,75.0,32.0,37.0,2.0,3.0,4.0,7.0,,90.0,124.0,7.2,9.0,0.0461579,1,,,,2.0,3.0,,,,1.0,3.0,1.0,1.0,,,0.0033,,1.0,tosinadarabioyo,1.0,1.0,,,,,,,,,,,,,,,,
11352517,home,Fulham,Calvin Bassey,calvin-bassey,C. Bassey,D,3,185,8710,M,861972,EUR,946598400,D,3,3,False,95.0,90.0,4.0,3.0,60.0,62.0,30.0,33.0,2.0,4.0,,6.0,,90.0,100.0,6.7,6.0,0.0114721,0,,,,1.0,3.0,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,
11352517,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,58.0,48.0,4.0,2.0,29.0,34.0,20.0,28.0,1.0,7.0,2.0,8.0,,82.0,83.0,6.9,18.0,0.0141311,2,,4.0,1.0,,2.0,5.0,3.0,,2.0,2.0,3.0,1.0,,,0.1439,,,,,,,,,1.0,1.0,,,,,,,,,,,
11352517,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,55.0,44.0,7.0,4.0,20.0,22.0,24.0,33.0,4.0,6.0,1.0,3.0,,82.0,68.0,7.3,13.0,0.170581,1,,,,,2.0,,,1.0,,2.0,2.0,2.0,,,0.0745,0.0476,1.0,Palhinha,,1.0,,,,,1.0,1.0,,,,,,,,,,
11352517,home,Fulham,Tom Cairney,tom-cairney,T. Cairney,M,10,185,581,M,82566,EUR,664329600,M,10,10,False,91.0,79.0,5.0,1.0,35.0,38.0,44.0,55.0,2.0,8.0,,11.0,,90.0,105.0,7.3,17.0,0.0672222,0,,2.0,,,3.0,1.0,1.0,,,1.0,1.0,1.0,4.0,,,,1.0,,,,,,1.0,,1.0,2.0,True,,,,,,,,,
11352517,home,Fulham,Harry Wilson,harry-wilson,H. Wilson,M,8,173,4932,M,355528,EUR,858988800,M,8,8,False,33.0,27.0,1.0,1.0,3.0,5.0,25.0,31.0,1.0,5.0,,2.0,,90.0,57.0,6.9,12.0,0.0388892,2,,3.0,1.0,,4.0,1.0,,1.0,1.0,1.0,1.0,,3.0,,0.1009,0.211,1.0,,,1.0,,,1.0,,2.0,1.0,,,,,,,,,,
11352517,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,43.0,29.0,7.0,2.0,11.0,16.0,20.0,37.0,,2.0,,3.0,,65.0,64.0,6.4,28.0,0.0432188,1,,10.0,2.0,2.0,6.0,2.0,1.0,,1.0,,,,1.0,,0.0341,,,andreaspereira,,,,,3.0,,2.0,,,,,,,,,,,
11352517,home,Fulham,Alex Iwobi,alex-iwobi,A. Iwobi,M,17,183,8263,M,352770,EUR,831081600,M,22,22,False,52.0,46.0,3.0,1.0,9.0,11.0,37.0,43.0,,3.0,1.0,6.0,,90.0,73.0,7.4,15.0,0.143023,5,,2.0,,,5.0,5.0,2.0,1.0,3.0,,1.0,1.0,,1.0,0.4621,0.0842,3.0,alexanderiwobi,,,,,2.0,,2.0,,,1.0,1.0,,,,,,,
11352517,home,Fulham,Rodrigo Muniz,rodrigo-muniz,R. Muniz,F,9,184,4470,M,1015256,EUR,988934400,F,19,19,False,10.0,7.0,1.0,,1.0,1.0,6.0,9.0,1.0,5.0,1.0,3.0,,64.0,28.0,7.1,8.0,0.0802229,2,,,,,2.0,,,,,,,,4.0,,0.0997,,2.0,RodrigoMuniz019,,,,,2.0,,3.0,,,,2.0,,,,,,,
11352517,home,Fulham,Carlos Vinícius,carlos-vinicius,C. Vinícius,F,95,190,7091,M,891920,EUR,796089600,F,30,30,True,7.0,6.0,,,3.0,3.0,3.0,4.0,,,,,,26.0,11.0,6.7,3.0,0.0378313,2,,,,1.0,3.0,1.0,,1.0,,,,,,,0.1429,0.0706,1.0,,,,,,1.0,,,,,,1.0,,,,,,,
11352517,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,F,14,14,True,12.0,9.0,,,3.0,3.0,7.0,10.0,,2.0,,,,25.0,19.0,6.9,3.0,0.0689884,1,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,0.0392,,2.0,,,,,,,,,,,,1.0,,,,,,,
11352517,home,Fulham,Fodé Ballo-Touré,fode-ballo-toure,F. Ballo-Touré,D,97,177,1466,M,788170,EUR,852249600,D,12,12,True,9.0,5.0,,,4.0,5.0,1.0,6.0,,3.0,,,,8.0,20.0,6.8,8.0,0.00045762,0,,2.0,,1.0,3.0,3.0,2.0,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
11352517,home,Fulham,Harrison Reed,harrison-reed,H. Reed,M,6,176,353,M,365802,EUR,791164800,M,6,6,True,30.0,26.0,2.0,1.0,21.0,24.0,5.0,6.0,,,,1.0,,8.0,30.0,6.6,4.0,0.0144122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352517,home,Fulham,Marek Rodák,marek-rodak,M. Rodák,G,1,188,517,M,358694,EUR,850435200,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352517,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352517,home,Fulham,Kenny Tete,kenny-tete,K. Tete,D,2,180,1146,M,190877,EUR,813196800,D,2,2,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
