match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_errorLeadToAGoal,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,captain,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_lastManTackle,stat_ownGoals,stat_totalContest,stat_bigChanceMissed,stat_hitWoodwork,player_sofascoreId,stat_goalAssist,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_errorLeadToAShot,stat_totalOffside,stat_clearanceOffLine
11352569,home,Sheffield United,Wesley Foderingham,,,wesley-foderingham,W. Foderingham,G,25,185,333,M,187861,EUR,663811200,G,18,18,False,42.0,26.0,32.0,16.0,11.0,12.0,15.0,30.0,2.0,1.0,11.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,90.0,51.0,5.9,16.0,0.00337195,0,-2.1473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352569,home,Sheffield United,George Baldock,,,george-baldock,G. Baldock,D,,175,359,M,112928,EUR,731635200,D,2,2,False,38.0,28.0,5.0,3.0,8.0,13.0,21.0,28.0,7.0,3.0,5.0,2.0,,2.0,,,,,,,90.0,68.0,7.0,14.0,0.0654532,0,,3.0,1.0,3.0,3.0,6.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11352569,home,Sheffield United,Anel Ahmedhodžić,,,anel-ahmedhodzic,A. Ahmedhodžić,D,21,190,1549,M,825899,EUR,922406400,D,15,15,False,36.0,31.0,2.0,1.0,19.0,21.0,12.0,15.0,9.0,,5.0,3.0,,2.0,,,,,,,90.0,48.0,7.5,6.0,0.00740188,2,,,,1.0,4.0,3.0,1.0,,3.0,3.0,,1.0,1.0,True,1.0,1.0,1.0,0.3292,0.9451,,,,,,,,,,,,,,
11352569,home,Sheffield United,Jack Robinson,,,jack-robinson,J. Robinson,D,6,180,148,M,98454,EUR,746841600,D,19,19,False,25.0,17.0,6.0,2.0,11.0,11.0,6.0,16.0,3.0,2.0,1.0,2.0,,,,,,,,,86.0,42.0,6.3,16.0,0.0289999,0,,2.0,,2.0,1.0,5.0,,1.0,1.0,1.0,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,
11352569,home,Sheffield United,Auston Trusty,,,auston-trusty,A. Trusty,D,6,188,817,M,822459,EUR,902880000,D,5,5,False,31.0,22.0,7.0,2.0,11.0,12.0,11.0,19.0,4.0,2.0,2.0,1.0,,2.0,,,,,,,90.0,44.0,6.2,11.0,0.0098047,2,,,,2.0,1.0,4.0,,,,1.0,,1.0,,,2.0,,,0.1527,,,,,1.0,1.0,1.0,,,,,,,,
11352569,home,Sheffield United,James McAtee,,,james-mcatee,J. McAtee,M,24,180,10550,M,1003334,EUR,1034899200,M,28,28,False,37.0,25.0,3.0,1.0,8.0,8.0,17.0,35.0,2.0,1.0,6.0,1.0,,,,,,,,,90.0,56.0,6.8,24.0,0.198663,1,,6.0,,2.0,,8.0,,,1.0,,,,2.0,,1.0,,,0.025,,4.0,,,3.0,,,jamesmcatee_,1.0,1.0,1.0,,,,
11352569,home,Sheffield United,Vinícius Souza,,,vinicius-souza,Vinicius,M,5,187,1714,M,979290,EUR,929577600,M,21,21,False,38.0,29.0,2.0,1.0,18.0,21.0,11.0,18.0,8.0,3.0,7.0,4.0,,,,,,,,,86.0,55.0,6.6,13.0,0.00947886,1,,1.0,,2.0,2.0,8.0,2.0,,1.0,4.0,1.0,2.0,,,,,,0.0316,,1.0,,,3.0,,,,,2.0,,1.0,1.0,,
11352569,home,Sheffield United,Andre Brooks,,,andre-brooks,A. Brooks,M,11,180,245,M,1396445,EUR,1061337600,M,35,35,False,10.0,10.0,,,1.0,1.0,9.0,10.0,2.0,2.0,,,,,,,,,,,45.0,25.0,6.8,3.0,0.00694943,2,,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,,1.0,,,,1.0,,,0.0929,,1.0,,,1.0,,,,,1.0,,1.0,,,
11352569,home,Sheffield United,Gustavo Hamer,,,gustavo-hamer,G. Hamer,M,8,169,1011,M,837495,EUR,867110400,M,8,8,False,21.0,17.0,3.0,2.0,7.0,7.0,12.0,21.0,2.0,2.0,1.0,1.0,,,,,,,,,72.0,41.0,7.4,10.0,0.26293,4,,7.0,2.0,,,3.0,1.0,,4.0,,1.0,2.0,3.0,,1.0,1.0,,0.1495,0.6777,,,,1.0,,,,,1.0,1.0,2.0,,,
11352569,home,Sheffield United,Oliver McBurnie,,,oliver-mcburnie,O. McBurnie,F,9,188,1008,M,367228,EUR,833846400,F,9,9,False,28.0,20.0,,,7.0,8.0,13.0,21.0,17.0,3.0,3.0,,,4.0,,,,,,,90.0,48.0,8.0,14.0,0.305562,2,,1.0,,9.0,14.0,12.0,,,,,2.0,1.0,1.0,,,1.0,1.0,0.6079,0.8596,1.0,,,1.0,,,,,,1.0,1.0,,,
