match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_dispossessed,stat_keyPass,stat_accurateCross,stat_totalOffside,stat_blockedScoringAttempt,stat_penaltyWon,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_penaltyFaced,stat_outfielderBlock,stat_penaltyConceded,stat_errorLeadToAGoal,stat_bigChanceMissed
11352594,home,Manchester City,Ederson,ederson,Ederson,G,31,188,48699,M,Ederson93,254491,EUR,745545600,G,31,31,False,43.0,38.0,12.0,7.0,36.0,38.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,90.0,48.0,7.1,5.0,0.0,0.0,0.00022719,0,0.9723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352594,home,Manchester City,Kyle Walker,kyle-walker,K. Walker,D,2,183,26779,M,KyleWalker2,44614,EUR,643852800,D,2,2,False,98.0,80.0,7.0,4.0,48.0,52.0,32.0,47.0,9.0,,,,,90.0,111.0,7.0,20.0,0.0,0.0,0.0335447,0,,,,True,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11352594,home,Manchester City,Rúben Dias,ruben-dias,R. Dias,D,3,188,40519,M,RúbenD,318941,EUR,863568000,D,3,3,False,101.0,100.0,5.0,5.0,71.0,71.0,29.0,30.0,2.0,,,,,90.0,114.0,7.3,1.0,0.0,0.0,0.0103706,0,,,,,,2.0,8.0,,,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,
11352594,home,Manchester City,Manuel Akanji,manuel-akanji,M. Akanji,D,25,187,22699,M,manuel_akanji,383560,EUR,806112000,D,25,25,False,105.0,97.0,7.0,3.0,63.0,64.0,34.0,41.0,6.0,,,,,90.0,116.0,7.3,8.0,0.0,0.0,0.190916,0,,,,,,,5.0,,,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,
11352594,home,Manchester City,Nathan Aké,nathan-ake,N. Aké,D,6,180,21292,M,nathanake,149663,EUR,793065600,D,6,6,False,84.0,72.0,5.0,2.0,47.0,49.0,25.0,35.0,7.0,,,,,90.0,102.0,7.6,13.0,0.0292,0.3761,0.00980959,1,,,,,,4.0,6.0,,,1.0,2.0,2.0,3.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11352594,home,Manchester City,Rodri,rodri,Rodri,M,16,191,88553,M,Rodri,827606,EUR,835401600,M,16,16,False,92.0,85.0,11.0,9.0,47.0,49.0,38.0,43.0,3.0,,,,,76.0,99.0,7.1,8.0,0.0,0.0,0.0818394,0,,,,,,1.0,3.0,1.0,1.0,2.0,1.0,,4.0,,1.0,,,4.0,,,,1.0,,,,,,,,,,,,,
11352594,home,Manchester City,Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,178,33708,M,Kova8,136710,EUR,768182400,M,8,8,False,53.0,49.0,,,20.0,21.0,29.0,32.0,3.0,,,,,84.0,59.0,7.0,4.0,0.0,0.0,0.0482318,0,,,,,,,1.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
11352594,home,Manchester City,Jérémy Doku,jeremy-doku,J. Doku,M,11,173,69678,M,Dokss,934386,EUR,1022457600,M,11,11,False,23.0,19.0,1.0,1.0,10.0,10.0,10.0,16.0,4.0,,,,,76.0,43.0,7.2,11.0,0.0,0.0,0.0146129,0,,,,,3.0,,8.0,3.0,2.0,,3.0,,3.0,,2.0,2.0,3.0,,,,2.0,2.0,,1.0,1.0,,,,,,,,,,
11352594,home,Manchester City,Julián Alvarez,julian-alvarez,J. Álvarez,F,19,170,224894,M,LaAraña,944656,EUR,949276800,M,19,19,False,35.0,28.0,2.0,2.0,11.0,12.0,17.0,24.0,3.0,,,,,89.0,48.0,8.0,11.0,0.6538,0.8622,0.020661,2,,,,,1.0,,3.0,1.0,1.0,,1.0,,6.0,1.0,,1.0,1.0,3.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,
11352594,home,Manchester City,Phil Foden,phil-foden,P. Foden,M,47,171,175652,M,Foden,859765,EUR,959472000,M,47,47,False,40.0,33.0,1.0,,18.0,19.0,17.0,25.0,4.0,,,,,89.0,55.0,6.9,15.0,0.0,0.0,0.0176175,0,,,,,4.0,,4.0,4.0,2.0,,1.0,,4.0,1.0,,,1.0,,,,3.0,1.0,1.0,2.0,,,,1.0,,,,,,,
