match_id,period,group,name,home,away
11391275,ALL,Match overview,Ball possession,60%,40%
11391275,ALL,Match overview,Expected goals,1.28,0.63
11391275,ALL,Match overview,Big chances,2,1
11391275,ALL,Match overview,Total shots,16,8
11391275,ALL,Match overview,Goalkeeper saves,2,4
11391275,ALL,Match overview,Corner kicks,3,4
11391275,ALL,Match overview,Fouls,12,12
11391275,ALL,Match overview,Passes,485,329
11391275,ALL,Match overview,Tackles,15,19
11391275,ALL,Match overview,Free kicks,12,9
11391275,ALL,Match overview,Yellow cards,2,3
11391275,ALL,Shots,Total shots,16,8
11391275,ALL,Shots,Shots on target,5,2
11391275,ALL,Shots,Hit woodwork,0,0
11391275,ALL,Shots,Shots off target,8,3
11391275,ALL,Shots,Blocked shots,3,3
11391275,ALL,Shots,Shots inside box,13,4
11391275,ALL,Shots,Shots outside box,3,4
11391275,ALL,Attack,Big chances scored,1,1
11391275,ALL,Attack,Big chances missed,1,0
11391275,ALL,Attack,Fouled in final third,3,1
11391275,ALL,Attack,Offsides,3,4
11391275,ALL,Passes,Accurate passes,402,236
11391275,ALL,Passes,Throw-ins,27,18
11391275,ALL,Passes,Final third entries,76,39
11391275,ALL,Passes,Long balls,44/67 (66%),26/64 (41%)
11391275,ALL,Passes,Crosses,13/37 (35%),3/15 (20%)
11391275,ALL,Duels,Duels,50%,50%
11391275,ALL,Duels,Dispossessed,7,9
11391275,ALL,Duels,Ground duels,33/72 (46%),39/72 (54%)
11391275,ALL,Duels,Aerial duels,27/49 (55%),22/49 (45%)
11391275,ALL,Duels,Dribbles,7/19 (37%),12/18 (67%)
11391275,ALL,Defending,Tackles won,67%,68%
11391275,ALL,Defending,Total tackles,15,19
11391275,ALL,Defending,Interceptions,9,9
11391275,ALL,Defending,Recoveries,57,52
11391275,ALL,Defending,Clearances,14,38
11391275,ALL,Goalkeeping,Total saves,2,4
11391275,ALL,Goalkeeping,Goals prevented,-0.61,0.27
11391275,ALL,Goalkeeping,Goal kicks,4,10
11391275,1ST,Match overview,Ball possession,56%,44%
11391275,1ST,Match overview,Expected goals,0.89,0.35
11391275,1ST,Match overview,Big chances,1,1
11391275,1ST,Match overview,Total shots,10,3
11391275,1ST,Match overview,Goalkeeper saves,1,2
11391275,1ST,Match overview,Corner kicks,2,2
11391275,1ST,Match overview,Passes,228,181
11391275,1ST,Match overview,Tackles,7,9
11391275,1ST,Match overview,Free kicks,6,5
11391275,1ST,Match overview,Yellow cards,0,2
11391275,1ST,Shots,Total shots,10,3
11391275,1ST,Shots,Shots on target,3,1
11391275,1ST,Shots,Hit woodwork,0,0
11391275,1ST,Shots,Shots off target,5,1
11391275,1ST,Shots,Blocked shots,2,1
11391275,1ST,Shots,Shots inside box,7,3
11391275,1ST,Shots,Shots outside box,3,0
11391275,1ST,Attack,Big chances scored,1,1
11391275,1ST,Attack,Big chances missed,0,0
11391275,1ST,Attack,Fouled in final third,3,0
11391275,1ST,Attack,Offsides,1,2
11391275,1ST,Passes,Accurate passes,185,139
11391275,1ST,Passes,Throw-ins,14,7
11391275,1ST,Passes,Final third entries,31,16
