match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_penaltyWon,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceCreated,player_sofascoreId,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_clearanceOffLine
11391345,home,Le Havre,Mathieu Gorgelin,mathieu-gorgelin,M. Gorgelin,G,16,187,120,M,123226,EUR,649814400,G,1,1,False,19.0,12.0,10.0,3.0,10.0,13.0,2.0,6.0,3.0,2.0,1.0,3.0,1.0,1.0,90.0,22.0,6.8,7.0,0.00110743,0,0.9166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Arouna Sangante,arouna-sangante,A. Sangante,D,93,189,741,M,1035988,EUR,1018569600,D,93,93,False,34.0,31.0,2.0,2.0,19.0,19.0,13.0,16.0,4.0,,,,,,90.0,57.0,6.7,9.0,0.0276618,0,,,,True,1.0,1.0,1.0,4.0,5.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Étienne Youte Kinkoue,etienne-youte-kinkoue,É. Y. Kinkoue,D,6,195,254,M,980406,EUR,1010966400,D,6,6,False,61.0,51.0,10.0,5.0,36.0,40.0,15.0,21.0,4.0,,,,,,90.0,69.0,6.8,10.0,0.00629385,0,,,,,,,,1.0,2.0,,5.0,2.0,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Gautier Lloris,gautier-lloris,G. Lloris,D,4,188,195,M,287887,EUR,806025600,D,4,4,False,50.0,49.0,3.0,2.0,35.0,35.0,14.0,15.0,2.0,,,,,,90.0,56.0,6.8,1.0,0.0134985,1,,,,,,,1.0,3.0,4.0,,,1.0,,3.0,2.0,,,,2.0,,1.0,1.0,0.0897,,,,,,,,,,,,,,
11391345,home,Le Havre,Christopher Operi,christopher-operi,C. Operi,D,21,182,1311,M,858977,EUR,862272000,D,27,27,False,44.0,37.0,4.0,3.0,22.0,27.0,22.0,36.0,10.0,,,,,,90.0,88.0,7.8,23.0,0.448221,1,,,,,19.0,7.0,,6.0,5.0,1.0,2.0,,2.0,,,,,1.0,1.0,4.0,2.0,,0.0483,3.0,3.0,2.0,1.0,1.0,,,,,,,,,
11391345,home,Le Havre,Loic Négo,loic-nego,L. Négo,D,7,179,819,M,54308,EUR,663897600,M,7,7,False,17.0,13.0,1.0,,3.0,3.0,11.0,17.0,2.0,,,,,,75.0,29.0,6.8,7.0,0.0213111,2,,,,,3.0,1.0,,1.0,2.0,1.0,,,,2.0,2.0,1.0,,,,1.0,,1.0,0.0989,,,,1.0,,,,,,,,,,
11391345,home,Le Havre,Abdoulaye Touré,abdoulaye-toure,A. Touré,M,94,187,3161,M,149732,EUR,762652800,M,94,94,False,53.0,46.0,8.0,6.0,19.0,20.0,28.0,34.0,8.0,,,,,,90.0,69.0,7.6,10.0,0.0495721,3,,,,,1.0,1.0,,4.0,5.0,1.0,1.0,1.0,,1.0,,1.0,,1.0,1.0,2.0,1.0,1.0,0.8304,2.0,2.0,2.0,1.0,,1.0,1.0,0.948,,,,,,
11391345,home,Le Havre,Yassine Kechta,yassine-kechta,Y. Kechta,M,8,166,2008,M,1000442,EUR,1014595200,M,8,8,False,54.0,44.0,6.0,2.0,21.0,25.0,23.0,29.0,4.0,,,,,,90.0,69.0,7.3,12.0,0.107046,2,,,,,,,,4.0,5.0,2.0,2.0,,1.0,3.0,3.0,1.0,,1.0,1.0,1.0,1.0,,0.0691,1.0,,,,,2.0,,0.0736,,,,,,
11391345,home,Le Havre,Emmanuel Sabbi,emmanuel-sabbi,E. Sabbi,F,11,175,311,M,880765,EUR,882921600,M,11,11,False,19.0,11.0,,,6.0,6.0,7.0,16.0,2.0,,,,,,90.0,40.0,7.3,12.0,0.11773,4,,,,,3.0,2.0,,4.0,6.0,1.0,,,1.0,2.0,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,0.2067,,1.0,,2.0,,1.0,,,1.0,,,,,
11391345,home,Le Havre,André Ayew,andre-ayew,A. Ayew,F,24,176,5860,M,27035,EUR,629856000,F,28,28,False,15.0,11.0,,,1.0,1.0,10.0,14.0,1.0,,,,,,90.0,32.0,7.0,7.0,0.0112786,3,,,,,,,2.0,3.0,9.0,,2.0,,,,,2.0,,4.0,,,3.0,1.0,0.3402,,3.0,2.0,1.0,,1.0,,0.0785,,andreayew10,1.0,,,
11391345,home,Le Havre,Mohamed Bayo,mohamed-bayo,M. Bayo,F,9,188,4444,M,909318,EUR,896918400,F,9,9,False,9.0,8.0,,,2.0,2.0,6.0,9.0,1.0,,,,,,85.0,19.0,6.7,4.0,0.0106894,1,,,,,2.0,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,0.0822,,1.0,,1.0,,,,,,mohamedbayo27,,1.0,,
11391345,home,Le Havre,Josué Casimir,josue-casimir,J. Casimir,M,7,178,9086,M,1035986,EUR,1001289600,F,23,23,True,5.0,4.0,,,1.0,1.0,3.0,5.0,1.0,,,,,,15.0,7.0,6.6,2.0,0.00245913,0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Steve Ngoura,ngoura-steve,S. Ngoura,F,9,193,398,M,1394411,EUR,1109030400,F,13,13,True,1.0,1.0,,,,,1.0,2.0,1.0,,,,,,13.0,2.0,6.5,1.0,0.00902647,0,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Paul Argney,paul-argney,P. Argney,G,50,190,240,M,1426218,EUR,1148342400,G,40,40,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Oualid El Hajjam,oualid-el-hajjam,O. E. Hajjam,D,2,180,439,M,363532,EUR,666921600,D,17,17,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Yoann Salmier,yoann-salmier,Y. Salmier,D,21,188,61,M,785518,EUR,722304000,D,22,22,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Alois Confais,confais-alois,A. Confais,M,27,174,36,M,794374,EUR,842054400,M,25,25,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Samuel Grandsir,samuel-grandsir,S. Grandsir,M,,168,123,M,839112,EUR,839980800,F,29,29,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Simon Ebonog,ebonog-simon,S. Ebonog,M,26,180,152,M,1490783,EUR,1092614400,M,26,26,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,home,Le Havre,Antoine Joujou,joujou-antoine,A. Joujou,F,77,189,199,M,1463265,EUR,1047427200,F,21,21,True,,,,,,,,,,,,,,,,,,,,0,,Antoine Joujou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Yehvann Diouf,yehvann-diouf,Y. Diouf,G,80,188,2968,M,845183,EUR,942710400,G,94,94,False,33.0,27.0,12.0,6.0,26.0,30.0,1.0,3.0,8.0,2.0,1.0,3.0,,,90.0,42.0,7.0,6.0,0.00018721,0,0.1001,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Thomas Foket,thomas-foket,T. Foket,D,25,177,267,M,245615,EUR,780451200,D,32,32,False,46.0,40.0,3.0,2.0,29.0,33.0,11.0,13.0,4.0,,,,,,66.0,64.0,6.1,9.0,0.00549713,0,,,,,,,,4.0,3.0,1.0,4.0,,1.0,,,1.0,,1.0,3.0,,,,,1.0,2.0,2.0,,,,,,,,,,,
11391345,away,Stade de Reims,Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,192,3192,M,1013842,EUR,866505600,D,24,24,False,58.0,53.0,9.0,7.0,39.0,40.0,14.0,18.0,5.0,,,,,,90.0,70.0,7.0,5.0,0.00841946,0,,,,,,,2.0,2.0,,,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11391345,away,Stade de Reims,Yunis Abdelhamid,yunis-abdelhamid,Y. Abdelhamid,D,5,190,1888,M,178721,EUR,559785600,D,5,5,False,59.0,51.0,8.0,4.0,37.0,38.0,14.0,21.0,2.0,,,,,,90.0,66.0,6.9,8.0,0.0100785,0,,,,True,,,,,1.0,,4.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
