match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_challengeLost,stat_bigChanceCreated,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_shotOffTarget,stat_expectedGoals,stat_dispossessed,stat_totalContest,stat_wonContest,stat_fouls,stat_bigChanceMissed,stat_totalOffside,stat_blockedScoringAttempt,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist
11396268,home,1. FC Köln,Marvin Schwäbe,,,marvin-schwabe,M. Schwäbe,G,1,189,324,M,187185,EUR,798768000,G,1,1,False,True,31.0,18.0,21.0,8.0,15.0,17.0,3.0,14.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,90.0,39.0,7.0,14.0,0.00067679,0,-0.7004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Rasmus Carstensen,,,rasmus-carstensen,R. Carstensen,D,29,187,193,M,988203,EUR,973814400,D,18,18,False,,19.0,13.0,2.0,1.0,11.0,13.0,4.0,8.0,2.0,2.0,3.0,,,,,,90.0,34.0,7.1,8.0,0.267259,0,,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Timo Hübers,,,timo-hubers,T. Hübers,D,4,190,271,M,387220,EUR,837820800,D,4,4,False,,34.0,28.0,8.0,4.0,25.0,28.0,3.0,6.0,5.0,7.0,5.0,1.0,,,,,90.0,49.0,7.0,6.0,0.00126306,1,,,,1.0,,,1.0,2.0,3.0,1.0,,,1.0,1.0,1.0,0.0187,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Jeff Chabot,,,julian-chabot,J. Chabot,D,24,194,723,M,863271,EUR,887241600,D,24,24,False,,27.0,19.0,6.0,1.0,15.0,17.0,4.0,10.0,3.0,5.0,3.0,1.0,,,,,90.0,47.0,6.9,9.0,0.00077851,0,,,,1.0,1.0,,2.0,2.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,
11396268,home,1. FC Köln,Max Finkgräfe,Max Finkgräfe,,finkgrafe-max,M. Finkgräfe,D,35,183,310,M,1146250,EUR,1080345600,D,35,35,False,,19.0,12.0,2.0,2.0,6.0,10.0,7.0,12.0,6.0,3.0,4.0,,,,,,90.0,52.0,6.5,16.0,0.0424061,0,,3.0,1.0,9.0,2.0,,,,4.0,2.0,1.0,1.0,,1.0,,,2.0,3.0,1.0,3.0,,,,,,,,,,,
11396268,home,1. FC Köln,Faride Alidou,,,alidou-faride,F. Alidou,F,10,186,307,M,994197,EUR,995414400,M,40,40,False,,13.0,9.0,3.0,2.0,5.0,5.0,5.0,9.0,3.0,2.0,4.0,,,,,,82.0,25.0,6.4,8.0,0.105077,1,,1.0,1.0,6.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,,1.0,0.103,1.0,4.0,2.0,,1.0,,,,,,,,,,
11396268,home,1. FC Köln,Eric Martel,,,martel-eric,E. Martel,M,6,186,936,M,988639,EUR,1020038400,M,6,6,False,,18.0,11.0,2.0,,8.0,10.0,3.0,8.0,2.0,2.0,1.0,1.0,,,,,82.0,27.0,6.2,8.0,0.00200584,0,,,,5.0,1.0,,1.0,,1.0,1.0,,,1.0,,,,1.0,,,2.0,,1.0,,,,,,,,,
11396268,home,1. FC Köln,Dejan Ljubičić,,,dejan-ljubicic,D. Ljubičić,M,21,186,826,M,869883,EUR,876268800,M,7,7,False,,22.0,16.0,,,14.0,17.0,2.0,5.0,2.0,1.0,2.0,,,,,,90.0,29.0,6.2,7.0,0.00537544,1,,,,3.0,1.0,,,2.0,1.0,1.0,1.0,,,1.0,1.0,0.4476,,,,2.0,1.0,,,,,,,,,,
11396268,home,1. FC Köln,Linton Maina,,,linton-maina,L. Maina,M,37,173,490,M,921033,EUR,930096000,M,37,37,False,,10.0,9.0,,,6.0,7.0,4.0,4.0,1.0,,3.0,,,,,,82.0,13.0,6.7,2.0,0.272932,0,,1.0,1.0,1.0,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,
11396268,home,1. FC Köln,Sargis Adamyan,,,sargis-adamyan,S. Adamyan,F,22,184,434,M,129927,EUR,738115200,F,23,23,False,,11.0,6.0,1.0,,4.0,5.0,2.0,6.0,6.0,1.0,2.0,4.0,,,,,65.0,30.0,6.6,12.0,0.00033861,3,,,,3.0,,,,2.0,,,4.0,,,,1.0,0.4274,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,,,,,,,
