match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,injury,isHome,incidentClass,length,playerName,reason,rescinded,player_id,player_name,confirmed,from
11396441,FT,0.0,2.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,
11396441,,,,,90,2.0,,1,,,substitution,122049149.0,False,False,regular,,,,,,,,
11396441,,,,,90,0.0,,1,,,injuryTime,,,,,6.0,,,,,,,
11396441,,,,,89,,,2,,,card,120918102.0,,False,yellow,,Finn Ole Becker,Foul,False,979821.0,Finn Ole Becker,,
11396441,,,,,80,,,11,,,substitution,122049017.0,False,True,regular,,,,,,,,
11396441,,,,,80,,,11,,,substitution,122049016.0,False,True,regular,,,,,,,,
11396441,,,,,75,,,16,,,substitution,122048911.0,False,True,regular,,,,,,,,
11396441,,,,,74,,,17,,,substitution,122048898.0,False,False,regular,,,,,,,,
11396441,,,,,74,,,17,,,substitution,122048897.0,False,False,regular,,,,,,,,
11396441,,,,,72,,,19,,,card,120917963.0,,True,yellow,,Lucas Tousart,Foul,False,787889.0,Lucas Tousart,,
11396441,,,,,69,,,22,,,substitution,122048842.0,False,True,regular,,,,,,,,
11396441,,,,,55,,,36,,,substitution,122048671.0,True,False,injury,,,,,,,,
11396441,,,,,55,,,36,,,substitution,122048672.0,False,False,regular,,,,,,,,
11396441,,,,,54,,,37,,,card,120917848.0,,False,yellow,,Anton Stach,Foul,False,889861.0,Anton Stach,,
11396441,,,,,46,,,45,,,substitution,122048503.0,False,True,regular,,,,,,,,
11396441,HT,0.0,2.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,
11396441,,,,,45,4.0,,1,,,card,120917624.0,,False,yellow,,Andrej Kramarić,Foul,False,67647.0,Andrej Kramarić,,
11396441,,,,,45,0.0,,1,,,injuryTime,,,,,5.0,,,,,,,
11396441,,,,,42,,,4,,,varDecision,20390.0,,False,penaltyAwarded,,,,,980628.0,Maximilian Beier,False,
11396441,,0.0,2.0,,38,,,8,,,goal,172503166.0,,False,regular,,,,,980628.0,Maximilian Beier,,
11396441,,0.0,1.0,,22,,,24,,,goal,172502800.0,,False,penalty,,,,,67647.0,Andrej Kramarić,,penalty
