match_id,period,group,name,home,away
11396456,ALL,Match overview,Ball possession,35%,65%
11396456,ALL,Match overview,Expected goals,0.35,2.37
11396456,ALL,Match overview,Big chances,0,2
11396456,ALL,Match overview,Total shots,7,25
11396456,ALL,Match overview,Goalkeeper saves,5,2
11396456,ALL,Match overview,Corner kicks,1,15
11396456,ALL,Match overview,Fouls,5,20
11396456,ALL,Match overview,Passes,340,625
11396456,ALL,Match overview,Tackles,25,15
11396456,ALL,Match overview,Free kicks,19,5
11396456,ALL,Match overview,Yellow cards,0,2
11396456,ALL,Shots,Total shots,7,25
11396456,ALL,Shots,Shots on target,3,8
11396456,ALL,Shots,Hit woodwork,1,1
11396456,ALL,Shots,Shots off target,4,7
11396456,ALL,Shots,Blocked shots,0,10
11396456,ALL,Shots,Shots inside box,3,18
11396456,ALL,Shots,Shots outside box,4,7
11396456,ALL,Attack,Big chances scored,0,1
11396456,ALL,Attack,Big chances missed,0,1
11396456,ALL,Attack,Through balls,0,1
11396456,ALL,Attack,Fouled in final third,2,2
11396456,ALL,Attack,Offsides,0,1
11396456,ALL,Passes,Accurate passes,249,553
11396456,ALL,Passes,Throw-ins,12,26
11396456,ALL,Passes,Final third entries,36,77
11396456,ALL,Passes,Long balls,20/48 (42%),18/31 (58%)
11396456,ALL,Passes,Crosses,4/10 (40%),12/35 (34%)
11396456,ALL,Duels,Duels,53%,47%
11396456,ALL,Duels,Dispossessed,7,9
11396456,ALL,Duels,Ground duels,47/87 (54%),40/87 (46%)
11396456,ALL,Duels,Aerial duels,15/31 (48%),16/31 (52%)
11396456,ALL,Duels,Dribbles,4/12 (33%),20/36 (56%)
11396456,ALL,Defending,Tackles won,60%,67%
11396456,ALL,Defending,Total tackles,25,15
11396456,ALL,Defending,Interceptions,8,7
11396456,ALL,Defending,Recoveries,59,67
11396456,ALL,Defending,Clearances,40,7
11396456,ALL,Goalkeeping,Total saves,5,2
11396456,ALL,Goalkeeping,Goals prevented,-0.45,0.23
11396456,ALL,Goalkeeping,Goal kicks,11,4
11396456,1ST,Match overview,Ball possession,34%,66%
11396456,1ST,Match overview,Expected goals,0.31,0.48
11396456,1ST,Match overview,Big chances,0,0
11396456,1ST,Match overview,Total shots,4,9
11396456,1ST,Match overview,Goalkeeper saves,2,1
11396456,1ST,Match overview,Corner kicks,1,6
11396456,1ST,Match overview,Passes,169,328
11396456,1ST,Match overview,Tackles,14,7
11396456,1ST,Match overview,Free kicks,9,3
11396456,1ST,Match overview,Yellow cards,0,1
11396456,1ST,Shots,Total shots,4,9
11396456,1ST,Shots,Shots on target,2,2
11396456,1ST,Shots,Hit woodwork,1,1
11396456,1ST,Shots,Shots off target,2,3
11396456,1ST,Shots,Blocked shots,0,4
11396456,1ST,Shots,Shots inside box,2,6
11396456,1ST,Shots,Shots outside box,2,3
11396456,1ST,Attack,Big chances scored,0,0
11396456,1ST,Attack,Big chances missed,0,0
11396456,1ST,Attack,Through balls,0,0
11396456,1ST,Attack,Fouled in final third,2,1
11396456,1ST,Attack,Offsides,0,0
11396456,1ST,Passes,Accurate passes,119,287
11396456,1ST,Passes,Throw-ins,7,12
11396456,1ST,Passes,Final third entries,17,44
