match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_outfielderBlock,stat_fouls,stat_keyPass,stat_interceptionWon,stat_totalTackle,stat_wonTackle,captain,stat_accurateCross,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_goalsPrevented,stat_errorLeadToAShot
11406819,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,52.0,41.0,19.0,8.0,36.0,40.0,5.0,12.0,1.0,1.0,5.0,1.0,1.0,90.0,59.0,6.9,12.0,0.00203976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406819,home,Monza,Samuele Birindelli,,,samuele-birindelli,S. Birindelli,M,19,175,231,M,,856729,EUR,932342400,D,19,19,False,57.0,46.0,7.0,1.0,23.0,27.0,23.0,33.0,,2.0,3.0,,,75.0,76.0,6.6,17.0,0.0289922,1,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0162,,,,,,,,,,,,,,,,,,,,
11406819,home,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183,521,M,,165583,EUR,699494400,D,4,4,False,77.0,73.0,7.0,5.0,60.0,61.0,13.0,16.0,,,1.0,1.0,,90.0,82.0,7.0,5.0,0.0056717,0,,3.0,,,,,,3.0,,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11406819,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,22,22,False,68.0,63.0,14.0,11.0,57.0,59.0,6.0,9.0,1.0,2.0,7.0,,,90.0,75.0,7.4,5.0,0.00183367,0,,,,,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,
11406819,home,Monza,Andrea Carboni,,,andrea-carboni,A. Carboni,D,44,185,201,M,,970978,EUR,981244800,D,44,44,False,44.0,34.0,4.0,1.0,22.0,26.0,12.0,20.0,1.0,3.0,3.0,2.0,,90.0,68.0,6.9,18.0,0.00612912,1,2.0,5.0,1.0,1.0,1.0,,1.0,3.0,,0.0107,1.0,,1.0,,2.0,2.0,1.0,,,,,,,,,,,,,
11406819,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,60.0,59.0,3.0,3.0,35.0,36.0,25.0,26.0,1.0,2.0,4.0,,,90.0,67.0,7.4,2.0,0.163763,1,2.0,3.0,,,1.0,1.0,,1.0,,0.0605,2.0,,1.0,2.0,1.0,,,True,1.0,1.0,0.0219,,,,,,,,,
11406819,home,Monza,Warren Bondo,,,warren-bondo,W. Bondo,M,38,177,2004,M,,1000366,EUR,1063584000,M,38,38,False,51.0,46.0,5.0,4.0,23.0,26.0,23.0,25.0,3.0,8.0,5.0,1.0,,90.0,68.0,7.2,8.0,0.0156755,1,,3.0,,,1.0,,1.0,2.0,1.0,0.0265,1.0,1.0,1.0,,,4.0,2.0,,,,,,,,,,,,,
11406819,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186,944,M,,928122,EUR,926380800,M,28,28,False,29.0,23.0,8.0,6.0,10.0,12.0,16.0,22.0,,4.0,6.0,1.0,,74.0,46.0,7.8,10.0,0.266646,2,5.0,5.0,1.0,1.0,1.0,1.0,1.0,,,0.1318,3.0,1.0,,3.0,,3.0,1.0,,3.0,,,1.0,1.0,,,,,,,
11406819,home,Monza,Daniel Maldini,,,daniel-maldini,D. Maldini,F,27,187,4629,M,dani.malda,970928,EUR,1002758400,M,27,27,False,14.0,13.0,,,3.0,3.0,10.0,12.0,,2.0,3.0,5.0,,63.0,30.0,7.2,9.0,0.029515,2,1.0,9.0,,1.0,1.0,,,,,0.0616,5.0,,3.0,1.0,1.0,2.0,1.0,,,1.0,0.2622,,1.0,1.0,1.0,,,,,
11406819,home,Monza,Dany Mota,,,dany-mota,D. Mota,F,47,180,827,M,,838907,EUR,894067200,M,47,47,False,18.0,17.0,1.0,1.0,8.0,8.0,9.0,13.0,3.0,6.0,1.0,3.0,,63.0,31.0,7.0,8.0,0.0109305,3,3.0,6.0,1.0,1.0,,,,,3.0,0.1995,3.0,,1.0,2.0,,,,,,,,,3.0,,,1.0,,,,
