match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateLongBalls,stat_accurateOppositionHalfPasses,stat_totalCross,stat_duelLost,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_keyPass,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_aerialLost,stat_wasFouled,stat_goalAssist,stat_accurateCross,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_expectedGoalsOnTarget,captain,stat_challengeLost,player_sofascoreId,stat_goals,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_outfielderBlock,stat_lastManTackle,stat_errorLeadToAShot,stat_hitWoodwork
11406842,home,Udinese,Maduka Okoye,,,maduka-okoye,M. Okoye,G,40,197,2162,M,891656,EUR,935798400,G,40,40,False,15.0,11.0,4.0,11.0,13.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,90.0,24.0,6.7,4.0,3.902e-05,0,-0.0614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Nehuén Pérez,,,nehuen-perez,N. Pérez,D,18,184,3369,M,913401,EUR,961804800,D,18,18,False,76.0,67.0,14.0,41.0,44.0,33.0,4.0,6.0,5.0,6.0,,,,90.0,98.0,7.8,10.0,0.0153831,1,,10.0,26.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0907,1.0,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Lautaro Giannetti,,,lautaro-giannetti,L. Giannetti,D,30,184,387,M,233856,EUR,753148800,D,30,30,False,60.0,54.0,8.0,51.0,54.0,6.0,1.0,4.0,6.0,4.0,,,,90.0,79.0,7.2,7.0,0.0013441,0,,3.0,3.0,,1.0,,6.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Thomas Kristensen,Thomas Kristensen,,thomas-kristensen,T. Kristensen,D,31,197,904,M,1063373,EUR,1011225600,D,31,31,False,53.0,41.0,7.0,30.0,33.0,20.0,2.0,3.0,5.0,3.0,,,,90.0,71.0,6.7,14.0,0.00318943,0,,3.0,11.0,,1.0,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Kingsley Ehizibue,,,kingsley-ehizibue,K. Ehizibue,M,19,189,682,M,609206,EUR,801360000,M,19,19,False,18.0,14.0,,7.0,8.0,14.0,1.0,4.0,2.0,2.0,,,,65.0,40.0,7.2,9.0,0.071838,3,,,10.0,4.0,4.0,1.0,1.0,,,,0.0837,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0401,,,,,,,,,,,,
11406842,home,Udinese,Sandi Lovrić,,,sandi-lovric,S. Lovrić,M,4,180,807,M,575852,EUR,891043200,M,4,4,False,35.0,32.0,2.0,13.0,13.0,24.0,,2.0,,4.0,,,,83.0,45.0,6.8,5.0,0.0604764,0,,1.0,20.0,2.0,3.0,,2.0,1.0,1.0,3.0,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,
11406842,home,Udinese,Walace,,,walace,Walace,M,5,188,1455,M,553686,EUR,796953600,M,11,11,False,39.0,32.0,4.0,16.0,18.0,21.0,,3.0,2.0,8.0,,,,90.0,58.0,6.6,13.0,0.00727719,0,,1.0,16.0,,5.0,,1.0,,,1.0,,1.0,1.0,1.0,4.0,,2.0,,,2.0,,,,True,2.0,,,,,,,,,,
11406842,home,Udinese,Lazar Samardžić,,,lazar-samardzic,L. Samardžić,M,10,183,4807,M,980624,EUR,1014508800,M,24,24,False,31.0,28.0,4.0,12.0,13.0,20.0,,2.0,2.0,3.0,,,,90.0,52.0,6.7,11.0,0.262486,4,,3.0,17.0,2.0,6.0,2.0,1.0,2.0,,2.0,0.1614,2.0,3.0,,2.0,,,,1.0,1.0,,2.0,,,,lakisamar10,,,,,,,,,
11406842,home,Udinese,Jordan Zemura,,,jordan-zemura,J. Zemura,D,33,173,795,M,964119,EUR,942537600,M,33,33,False,25.0,21.0,3.0,10.0,12.0,16.0,,5.0,,2.0,,,,65.0,43.0,7.7,8.0,0.0380976,2,,2.0,11.0,3.0,3.0,,1.0,,,3.0,0.1767,1.0,2.0,2.0,1.0,,3.0,,,,1.0,1.0,0.3124,,,,1.0,,,,,,,,
11406842,home,Udinese,Florian Thauvin,,,florian-thauvin,F. Thauvin,F,24,179,8040,M,148824,EUR,728006400,F,26,26,False,38.0,32.0,6.0,13.0,13.0,36.0,,3.0,,2.0,,,,79.0,66.0,7.3,25.0,0.141962,4,,5.0,20.0,11.0,5.0,1.0,,,,,0.1877,2.0,3.0,2.0,5.0,2.0,1.0,,1.0,2.0,,3.0,,,,,,1.0,1.0,,,,,,
11406842,home,Udinese,Lorenzo Lucca,,,lorenzo-lucca,L. Lucca,F,20,201,5063,M,962364,EUR,968544000,F,17,17,False,18.0,17.0,,7.0,7.0,11.0,,2.0,1.0,3.0,,,,79.0,28.0,6.6,2.0,0.00578342,3,,,10.0,,6.0,2.0,1.0,1.0,1.0,2.0,0.2917,,2.0,1.0,,4.0,,,,,1.0,,0.0782,,,,,,2.0,1.0,,,,,
11406842,home,Udinese,João Ferreira,,,joao-ferreira,J. Ferreira,D,13,185,384,M,976401,EUR,985219200,D,13,13,True,14.0,10.0,3.0,3.0,5.0,11.0,,1.0,1.0,5.0,,,,25.0,28.0,6.5,9.0,0.018463,0,,1.0,7.0,2.0,3.0,,1.0,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,
11406842,home,Udinese,Festy Ebosele,,,festy-ebosele,F. Ebosele,D,36,180,593,M,983059,EUR,1028246400,D,2,2,True,3.0,1.0,1.0,1.0,2.0,2.0,,3.0,,1.0,,,,25.0,13.0,6.5,7.0,7.76e-06,0,,,,1.0,5.0,,,1.0,1.0,,,,4.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,
11406842,home,Udinese,Brenner,,,brenner,Brenner,F,20,176,2858,M,884980,EUR,947980800,F,22,22,True,2.0,,,,,2.0,,,,2.0,,,,11.0,6.0,6.6,4.0,,0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Isaac Success,Isaac,Success,isaac-success,S. Isaac,F,29,182,366,M,359640,EUR,820972800,F,7,7,True,2.0,1.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,11.0,3.0,6.6,1.0,2.86e-06,0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Martín Payero,,,martin-payero,M. Payero,M,32,182,791,M,895592,EUR,905472000,M,32,32,True,8.0,4.0,1.0,1.0,1.0,7.0,1.0,2.0,,,,,,12.0,9.0,6.8,4.0,0.00238476,0,,1.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Daniele Padelli,,,daniele-padelli,D. Padelli,G,93,191,196,M,2899,EUR,499046400,G,93,93,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Marco Silvestri,,,marco-silvestri,M. Silvestri,G,16,191,324,M,43970,EUR,667872000,G,1,1,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Christian Kabasele,,,christian-kabasele,C. Kabasele,D,27,186,477,M,58351,EUR,667353600,D,27,27,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Antonio Tikvić,,,antonio-tikvic,A. Tikvić,D,4,195,341,M,1154189,EUR,1082505600,D,16,16,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Oier Zarraga,,,oier-zarraga,O. Zarraga,M,6,175,217,M,1009661,EUR,915408000,M,6,6,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,home,Udinese,Keinan Davis,,,keinan-davis,K. Davis,F,9,189,1417,M,830858,EUR,887328000,F,9,9,True,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Simone Scuffet,,,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,25.0,18.0,10.0,17.0,18.0,7.0,,,,2.0,,2.0,,90.0,29.0,6.4,7.0,0.0002242,0,-0.5693,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
11406842,away,Cagliari,Gabriele Zappa,,,gabriele-zappa,G. Zappa,D,28,183,617,M,927304,EUR,945820800,D,28,28,False,46.0,39.0,6.0,27.0,28.0,19.0,,,3.0,2.0,,,,78.0,61.0,6.6,10.0,0.00700583,0,,4.0,12.0,1.0,2.0,,2.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
11406842,away,Cagliari,Yerry Mina,,,yerry-mina,Y. Mina,D,26,195,5988,M,360396,EUR,780278400,D,26,26,False,61.0,57.0,2.0,48.0,48.0,13.0,2.0,6.0,6.0,3.0,,,,90.0,79.0,7.9,4.0,0.00175064,0,,1.0,9.0,,,,,3.0,2.0,,,,,,,,1.0,,,,,,,,,yerrymina,,,,,,4.0,2.0,,
11406842,away,Cagliari,Alberto Dossena,,,dossena-alberto,A. Dossena,D,4,195,511,M,870211,EUR,908236800,D,4,4,False,51.0,43.0,5.0,32.0,34.0,17.0,4.0,5.0,6.0,5.0,,,,90.0,63.0,6.9,9.0,0.0446369,0,,3.0,11.0,,1.0,,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,
