match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialWon,stat_dispossessed,stat_unsuccessfulTouch,captain,stat_accurateCross,stat_shotOffTarget,stat_wasFouled,stat_keyPass,stat_challengeLost,player_firstName,player_lastName,stat_goals,stat_punches,player_sofascoreId,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside
11407418,home,Hellas Verona,Lorenzo Montipò,lorenzo-montipo,L. Montipò,G,1,191,564,M,253391,EUR,820454400,G,1,1,False,27.0,19.0,18.0,10.0,12.0,18.0,7.0,9.0,4.0,2.0,7.0,90.0,41.0,7.9,8.0,0.00216033,0,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Giangiacomo Magnani,giangiacomo-magnani,G. Magnani,D,96,190,252,M,812829,EUR,812764800,D,23,23,False,30.0,28.0,6.0,4.0,16.0,16.0,12.0,15.0,2.0,,,90.0,40.0,6.7,3.0,0.0136279,1,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1182,0.125,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Paweł Dawidowicz,pawel-dawidowicz,P. Dawidowicz,D,27,188,1744,M,288321,EUR,800928000,D,27,27,False,45.0,34.0,6.0,2.0,29.0,37.0,5.0,8.0,11.0,,,90.0,57.0,6.8,13.0,0.00212915,1,,,,4.0,7.0,3.0,3.0,1.0,2.0,2.0,1.0,,,3.0,0.1063,0.1595,4.0,1.0,1.0,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Bruno Amione,bruno-amione,B. Amione,D,2,189,503,M,990050,EUR,1010016000,D,2,2,False,18.0,15.0,1.0,,12.0,13.0,3.0,5.0,1.0,,,45.0,21.0,6.2,3.0,0.0004587,0,,,,2.0,2.0,,,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Davide Faraoni,davide-faraoni,D. Faraoni,D,19,180,300,M,32040,EUR,688348800,M,5,5,False,20.0,17.0,5.0,2.0,6.0,7.0,12.0,16.0,5.0,,,90.0,44.0,7.2,10.0,0.0432078,1,,3.0,1.0,3.0,5.0,2.0,1.0,,3.0,,,3.0,2.0,1.0,0.0666,,,,3.0,True,1.0,1.0,1.0,3.0,,,,,,,,,,,,
11407418,home,Hellas Verona,Martin Hongla,martin-hongla,M. Hongla,M,78,183,1195,M,856062,EUR,890006400,M,18,18,False,41.0,35.0,6.0,2.0,13.0,14.0,22.0,27.0,1.0,,,90.0,52.0,7.0,7.0,0.0266277,0,,,,1.0,4.0,4.0,4.0,,3.0,1.0,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,
11407418,home,Hellas Verona,Suat Serdar,suat-serdar,S. Serdar,M,8,183,687,M,800408,EUR,860716800,M,25,25,False,12.0,7.0,2.0,,4.0,5.0,3.0,7.0,3.0,,,45.0,21.0,6.6,7.0,0.00387591,1,,,,1.0,4.0,2.0,1.0,,1.0,,,2.0,1.0,,0.074,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Josh Doig,josh-doig,J. Doig,D,3,189,836,M,989276,EUR,1021680000,M,3,3,False,13.0,12.0,1.0,1.0,10.0,10.0,2.0,7.0,3.0,,,62.0,32.0,6.8,6.0,0.00444336,0,,4.0,,1.0,4.0,3.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Cyril Ngonge,cyril-ngonge,C. Ngonge,F,16,179,1937,M,877037,EUR,959299200,F,26,26,False,5.0,4.0,,,2.0,3.0,4.0,6.0,3.0,,,45.0,14.0,6.5,5.0,0.1964,0,,4.0,1.0,3.0,1.0,2.0,,,,,,,,,,,1.0,,,,2.0,,,2.0,,,,,,,,,,,,
11407418,home,Hellas Verona,Michael Folorunsho,michael-folorunsho,M. Folorunsho,M,90,190,1521,M,869795,EUR,886809600,F,90,90,False,25.0,22.0,,,11.0,11.0,11.0,18.0,6.0,,,90.0,45.0,6.8,12.0,0.00769326,1,,4.0,,7.0,8.0,2.0,1.0,1.0,,,1.0,2.0,1.0,3.0,0.0157,0.1831,2.0,1.0,3.0,,,,3.0,,2.0,,,,,,,,,,,
11407418,home,Hellas Verona,Milan Đurić,milan-duric,M. Đurić,F,9,199,819,M,76132,EUR,643334400,F,11,11,False,20.0,10.0,3.0,1.0,4.0,5.0,6.0,15.0,1.0,,,78.0,27.0,7.3,12.0,0.0211287,4,,,3.0,4.0,10.0,,,2.0,1.0,,,,,1.0,0.1481,0.1235,10.0,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,,
11407418,home,Hellas Verona,Filippo Terracciano,terracciano-filippo,F. Terracciano,D,24,181,1614,M,1034303,EUR,1044662400,M,24,24,True,23.0,18.0,3.0,1.0,10.0,11.0,9.0,15.0,4.0,,,45.0,34.0,7.0,7.0,0.0259194,0,,3.0,,2.0,3.0,2.0,2.0,,,,2.0,,,,,,,,,,1.0,,1.0,2.0,2.0,,,,,,,,,,,
11407418,home,Hellas Verona,Darko Lazović,darko-lazovic,D. Lazović,M,88,181,680,M,41157,EUR,653356800,M,8,8,True,16.0,11.0,4.0,,3.0,4.0,9.0,15.0,1.0,,,45.0,25.0,7.3,8.0,0.0370732,2,,3.0,,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,0.2146,0.4597,,,,,1.0,,,1.0,,,,1.0,,,,,,,,
11407418,home,Hellas Verona,Federico Bonazzoli,federico-bonazzoli,F. Bonazzoli,F,90,182,985,M,284363,EUR,864172800,F,99,99,True,23.0,22.0,1.0,1.0,3.0,3.0,19.0,21.0,1.0,,,45.0,37.0,7.3,6.0,0.0188366,3,,1.0,,3.0,5.0,3.0,3.0,2.0,,,,,,1.0,0.3023,0.253,,2.0,2.0,,,1.0,2.0,,,,,,,,,,,,,
11407418,home,Hellas Verona,Jackson Tchatchoua,jackson-tchatchoua,J. Tchatchoua,M,38,180,2199,M,1096210,EUR,1000425600,F,38,38,True,3.0,3.0,,,1.0,1.0,4.0,5.0,,,,28.0,15.0,7.0,5.0,0.221966,0,,3.0,,,3.0,,,,,1.0,,2.0,,,,,,,,,2.0,,1.0,3.0,,,,,,,,,,,,
11407418,home,Hellas Verona,Thomas Henry,thomas-henry,T. Henry,F,9,191,450,M,795541,EUR,780019200,F,9,9,True,2.0,1.0,,,,,1.0,2.0,,,,12.0,5.0,6.6,2.0,0.0280878,1,,,,1.0,1.0,,,,,,,,,,0.2244,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Simone Perilli,simone-perilli,S. Perilli,G,34,195,110,M,253369,EUR,789436800,G,34,34,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Alessandro Berardi,alessandro-berardi,A. Berardi,G,,185,37,M,147700,EUR,663984000,G,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Diego Coppola,diego-coppola,D. Coppola,D,42,192,1399,M,1050692,EUR,1072569600,D,42,42,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Ondrej Duda,ondrej-duda,O. Duda,M,11,181,1121,M,246319,EUR,786585600,M,33,33,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Joselito Gómez,joselito-gomez,J. Gómez,M,4,184,70,M,1154191,EUR,1076284800,M,14,14,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Riccardo Saponara,riccardo-saponara,R. Saponara,M,,184,174,M,126236,EUR,693273600,M,20,20,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Charlys,charlys,Charlys,M,8,186,163,M,1466543,EUR,1077148800,M,37,37,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Charlys,,,,,,,,,,
11407418,home,Hellas Verona,Jordi Mboula,jordi-mboula,J. Mboula,F,2,182,263,M,826003,EUR,921542400,F,77,77,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Tomáš Suslov,tomas-suslov,T. Suslov,F,31,175,1258,M,964154,EUR,1023408000,M,31,31,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,home,Hellas Verona,Juan Manuel Cruz,juan-manuel-cruz,J. Cruz,F,18,184,211,M,1017372,EUR,932342400,F,13,13,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407418,away,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190,4366,M,592794,EUR,858988800,G,1,1,False,28.0,19.0,15.0,6.0,17.0,19.0,2.0,9.0,10.0,6.0,8.0,90.0,43.0,8.4,10.0,0.00146122,0,0.3038,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
11407418,away,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182,6986,M,153257,EUR,744422400,D,22,22,False,65.0,60.0,4.0,3.0,25.0,25.0,35.0,41.0,5.0,,,90.0,85.0,6.9,10.0,0.0508784,1,,1.0,1.0,6.0,5.0,1.0,,,1.0,,,3.0,1.0,,0.0628,,,2.0,1.0,True,,1.0,2.0,,2.0,,,,,dilorenzo22,,,,,,
11407418,away,Napoli,Amir Rrahmani,amir-rrahmani,A. Rrahmani,D,13,190,3520,M,332155,EUR,762048000,D,13,13,False,74.0,65.0,13.0,7.0,48.0,51.0,17.0,23.0,7.0,,,90.0,79.0,6.8,9.0,0.0154303,0,,,2.0,2.0,2.0,,,,3.0,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,
11407418,away,Napoli,Natan,natan,Natan,D,4,188,3251,M,1015287,EUR,981417600,D,3,3,False,45.0,38.0,6.0,1.0,26.0,27.0,12.0,18.0,1.0,,,90.0,55.0,6.3,8.0,0.00370378,0,,,6.0,10.0,2.0,,,,6.0,,1.0,,,3.0,,,2.0,,1.0,,,,1.0,,1.0,,,,,,,,,,,
11407418,away,Napoli,Mário Rui,mario-rui,M. Rui,D,,168,1034,M,99546,EUR,675302400,D,6,6,False,43.0,38.0,10.0,6.0,14.0,14.0,26.0,33.0,1.0,,,67.0,57.0,6.8,8.0,0.152073,0,,4.0,1.0,4.0,,,,,4.0,,,,,1.0,,,,,1.0,,2.0,,,2.0,2.0,,,,,,,,,,,
11407418,away,Napoli,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180,18478,M,138605,EUR,769392000,M,20,20,False,46.0,39.0,5.0,1.0,17.0,18.0,22.0,30.0,5.0,,,84.0,57.0,7.2,11.0,0.17281,0,,2.0,1.0,3.0,2.0,2.0,1.0,,2.0,,1.0,1.0,1.0,,,,,,1.0,,,,,2.0,1.0,,,,,zielu_94,1.0,,,,,
11407418,away,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170,4661,M,150383,EUR,785721600,M,68,68,False,58.0,53.0,,,33.0,35.0,20.0,24.0,11.0,,,90.0,76.0,7.2,11.0,0.013368,0,,1.0,3.0,5.0,6.0,1.0,1.0,,1.0,,1.0,4.0,3.0,,,,,2.0,2.0,,,,1.0,,,,,,,StanLobotka,,,,,,
