match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_sofascoreId,stat_aerialWon,captain,stat_challengeLost,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_outfielderBlock,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_goalAssist,stat_bigChanceMissed,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_punches,stat_errorLeadToAGoal
11388415,home,FC Twente,Lars Unnerstall,lars-unnerstall,L. Unnerstall,G,1,198,265,M,94835,EUR,648432000,G,1,1,False,37.0,17.0,25.0,5.0,14.0,16.0,3.0,21.0,8.0,1.0,1.0,90.0,41.0,6.1,20.0,0.00132555,0,-0.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11388415,home,FC Twente,Youri Regeer,youri-regeer,Y. Regeer,M,6,177,742,M,996940,EUR,1061164800,D,8,8,False,40.0,34.0,7.0,4.0,22.0,25.0,12.0,15.0,12.0,,,83.0,63.0,6.9,13.0,0.0219362,0,,1.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11388415,home,FC Twente,Mees Hilgers,mees-hilgers,M. Hilgers,D,2,185,8875,M,1014288,EUR,989712000,D,2,2,False,60.0,47.0,11.0,3.0,38.0,45.0,9.0,15.0,8.0,,,90.0,69.0,6.7,13.0,0.00470848,0,,3.0,4.0,8.0,,2.0,,3.0,1.0,,1.0,1.0,,meeshilgerss,4.0,,,,,,,,,,,,,,,,,,,,,,
11388415,home,FC Twente,Robin Pröpper,robin-propper,R. Pröpper,D,3,190,269,M,196082,EUR,748742400,D,3,3,False,63.0,41.0,17.0,4.0,27.0,33.0,14.0,30.0,6.0,,,90.0,71.0,6.6,23.0,0.0100592,1,,3.0,6.0,10.0,,1.0,,1.0,1.0,,,1.0,,,8.0,True,1.0,2.0,1.0,1.0,0.0453,,,,,,,,,,,,,,,,
11388415,home,FC Twente,Gijs Smal,gijs-smal,G. Smal,D,5,183,339,M,860160,EUR,872985600,D,5,5,False,45.0,32.0,8.0,4.0,13.0,16.0,21.0,33.0,8.0,,,90.0,62.0,7.3,17.0,0.245236,0,,,1.0,1.0,,1.0,,,,2.0,,,4.0,,1.0,,1.0,,,,,4.0,2.0,1.0,1.0,,,,,,,,,,,,
11388415,home,FC Twente,Mathias Kjølø,mathias-kjolo,M. Kjølø,M,4,174,167,M,966546,EUR,993600000,M,4,4,False,52.0,44.0,5.0,4.0,24.0,27.0,20.0,26.0,10.0,,,87.0,72.0,7.7,12.0,0.0233583,1,,1.0,5.0,7.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,,,2.0,,2.0,,,,0.023,1.0,,,,,,1.0,1.0,0.2709,,,,,,,
11388415,home,FC Twente,Michal Sadílek,michal-sadilek,M. Sadílek,M,23,168,329,M,825731,EUR,928108800,M,23,23,False,43.0,29.0,7.0,2.0,14.0,23.0,15.0,21.0,5.0,,,90.0,55.0,7.1,16.0,0.0318987,1,,4.0,5.0,7.0,,1.0,2.0,1.0,,1.0,1.0,,1.0,,5.0,,1.0,,,,0.0176,1.0,,,,,,1.0,,0.5409,1.0,,,,,,
11388415,home,FC Twente,Daan Rots,daan-rots,D. Rots,M,11,179,509,M,1048430,EUR,996019200,M,11,11,False,29.0,16.0,2.0,1.0,6.0,9.0,10.0,21.0,4.0,,,87.0,61.0,6.8,22.0,0.0224458,4,,2.0,11.0,9.0,2.0,3.0,,5.0,2.0,2.0,2.0,1.0,,,1.0,,3.0,4.0,1.0,2.0,0.6633,1.0,,,,,,2.0,1.0,1.098,,1.0,,,,,
11388415,home,FC Twente,Sem Steijn,sem-steijn,S. Steijn,M,14,173,3417,M,944467,EUR,1005523200,M,14,14,False,19.0,13.0,1.0,1.0,4.0,5.0,9.0,14.0,1.0,,,82.0,39.0,6.9,15.0,0.0610302,3,,5.0,12.0,3.0,2.0,,1.0,2.0,2.0,3.0,,,,,1.0,,1.0,4.0,,,0.5047,,,,,,,2.0,1.0,1.3662,,,1.0,1.0,,,
11388415,home,FC Twente,Michel Vlap,michel-vlap,M. Vlap,M,14,189,423,M,798181,EUR,865209600,M,18,18,False,17.0,14.0,,,4.0,5.0,10.0,14.0,3.0,,,63.0,27.0,6.6,9.0,0.0273363,1,,1.0,4.0,2.0,2.0,,,,,,1.0,,,,1.0,,,1.0,,,0.0293,2.0,,,,,,1.0,,0.0995,,,,,,,
11388415,home,FC Twente,Ricky van Wolfswinkel,ricky-van-wolfswinkel,R. van Wolfswinkel,F,9,186,794,M,35193,EUR,601862400,F,9,9,False,19.0,16.0,,,5.0,7.0,11.0,13.0,1.0,,,90.0,39.0,7.2,11.0,0.0390539,3,,3.0,6.0,8.0,2.0,1.0,,1.0,1.0,4.0,3.0,,2.0,,4.0,,,1.0,,1.0,0.2524,1.0,,,,,,1.0,,0.0723,,,1.0,1.0,,,
11388415,home,FC Twente,Mitchell van Bergen,mitchell-van-bergen,M. v. Bergen,F,7,170,248,M,827662,EUR,935712000,F,7,7,True,3.0,2.0,,,,1.0,2.0,6.0,3.0,,,27.0,17.0,6.5,9.0,0.00400317,1,,,2.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0,,,,,1.0,,1.0,0.0429,4.0,,,,,,,,,,,,,,,
11388415,home,FC Twente,Younes Taha,younes-taha,Y. Taha,M,10,176,1453,M,1146623,EUR,1038355200,F,19,19,True,5.0,2.0,2.0,,1.0,2.0,1.0,3.0,1.0,,,8.0,9.0,7.4,3.0,0.00945192,0,,1.0,1.0,4.0,,,,2.0,1.0,,,,1.0,,2.0,,,,,,,,,1.0,,Younes Taha,,,,,1.0,,,,,,
11388415,home,FC Twente,Alfons Sampsted,alfons-sampsted,A. Sampsted,D,2,180,197,M,842536,EUR,891820800,D,12,12,True,2.0,1.0,2.0,1.0,1.0,1.0,,1.0,,,,13.0,4.0,6.5,1.0,0.00028284,0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
