match_id,period,group,name,home,away
11807976,ALL,Match overview,Ball possession,38%,62%
11807976,ALL,Match overview,Big chances,2,7
11807976,ALL,Match overview,Total shots,16,33
11807976,ALL,Match overview,Goalkeeper saves,10,7
11807976,ALL,Match overview,Corner kicks,4,6
11807976,ALL,Match overview,Fouls,13,5
11807976,ALL,Match overview,Passes,290,482
11807976,ALL,Match overview,Tackles,14,18
11807976,ALL,Match overview,Free kicks,5,12
11807976,ALL,Match overview,Yellow cards,2,0
11807976,ALL,Shots,Total shots,16,33
11807976,ALL,Shots,Shots on target,8,16
11807976,ALL,Shots,Hit woodwork,1,0
11807976,ALL,Shots,Shots off target,5,8
11807976,ALL,Shots,Blocked shots,3,9
11807976,ALL,Shots,Shots inside box,9,24
11807976,ALL,Shots,Shots outside box,7,9
11807976,ALL,Attack,Big chances scored,0,5
11807976,ALL,Attack,Big chances missed,2,2
11807976,ALL,Attack,Through balls,0,4
11807976,ALL,Attack,Fouled in final third,1,5
11807976,ALL,Attack,Offsides,0,2
11807976,ALL,Passes,Accurate passes,237,418
11807976,ALL,Passes,Throw-ins,8,22
11807976,ALL,Passes,Final third entries,42,51
11807976,ALL,Passes,Long balls,35/63 (56%),23/44 (52%)
11807976,ALL,Passes,Crosses,3/17 (18%),7/13 (54%)
11807976,ALL,Duels,Duels,37%,63%
11807976,ALL,Duels,Dispossessed,17,11
11807976,ALL,Duels,Ground duels,27/74 (36%),47/74 (64%)
11807976,ALL,Duels,Aerial duels,5/13 (38%),8/13 (62%)
11807976,ALL,Duels,Dribbles,8/9 (89%),17/20 (85%)
11807976,ALL,Defending,Tackles won,93%,72%
11807976,ALL,Defending,Total tackles,14,18
11807976,ALL,Defending,Interceptions,9,6
11807976,ALL,Defending,Recoveries,54,63
11807976,ALL,Defending,Clearances,16,17
11807976,ALL,Goalkeeping,Total saves,10,7
11807976,ALL,Goalkeeping,Goal kicks,11,4
11807976,1ST,Match overview,Ball possession,37%,63%
11807976,1ST,Match overview,Big chances,1,5
11807976,1ST,Match overview,Total shots,5,17
11807976,1ST,Match overview,Goalkeeper saves,7,2
11807976,1ST,Match overview,Corner kicks,1,3
11807976,1ST,Match overview,Passes,144,251
11807976,1ST,Match overview,Tackles,6,7
11807976,1ST,Match overview,Free kicks,3,7
11807976,1ST,Match overview,Yellow cards,2,0
11807976,1ST,Shots,Total shots,5,17
11807976,1ST,Shots,Shots on target,2,12
11807976,1ST,Shots,Hit woodwork,0,0
11807976,1ST,Shots,Shots off target,2,2
11807976,1ST,Shots,Blocked shots,1,3
11807976,1ST,Shots,Shots inside box,1,11
11807976,1ST,Shots,Shots outside box,4,6
11807976,1ST,Attack,Big chances scored,0,4
11807976,1ST,Attack,Big chances missed,1,1
11807976,1ST,Attack,Through balls,0,2
11807976,1ST,Attack,Fouled in final third,1,5
11807976,1ST,Attack,Offsides,0,1
11807976,1ST,Passes,Accurate passes,113,218
11807976,1ST,Passes,Throw-ins,4,12
11807976,1ST,Passes,Final third entries,17,25
11807976,1ST,Passes,Long balls,17/33 (52%),12/23 (52%)
11807976,1ST,Passes,Crosses,0/6 (0%),3/6 (50%)
11807976,1ST,Duels,Duels,32%,68%
11807976,1ST,Duels,Dispossessed,6,6
11807976,1ST,Duels,Ground duels,12/35 (34%),23/35 (66%)
11807976,1ST,Duels,Aerial duels,1/6 (17%),5/6 (83%)
11807976,1ST,Duels,Dribbles,3/4 (75%),9/9 (100%)
11807976,1ST,Defending,Tackles won,100%,86%
11807976,1ST,Defending,Total tackles,6,7
11807976,1ST,Defending,Interceptions,3,1
11807976,1ST,Defending,Recoveries,23,31
11807976,1ST,Defending,Clearances,10,8
11807976,1ST,Goalkeeping,Total saves,7,2
11807976,1ST,Goalkeeping,Goal kicks,4,2
11807976,2ND,Match overview,Ball possession,40%,60%
11807976,2ND,Match overview,Big chances,1,2
11807976,2ND,Match overview,Total shots,11,16
11807976,2ND,Match overview,Goalkeeper saves,3,5
11807976,2ND,Match overview,Corner kicks,3,3
11807976,2ND,Match overview,Passes,146,231
11807976,2ND,Match overview,Tackles,8,11
11807976,2ND,Match overview,Free kicks,2,5
11807976,2ND,Match overview,Yellow cards,0,0
11807976,2ND,Shots,Total shots,11,16
11807976,2ND,Shots,Shots on target,6,4
11807976,2ND,Shots,Hit woodwork,1,0
11807976,2ND,Shots,Shots off target,3,6
11807976,2ND,Shots,Blocked shots,2,6
11807976,2ND,Shots,Shots inside box,8,13
11807976,2ND,Shots,Shots outside box,3,3
11807976,2ND,Attack,Big chances scored,0,1
11807976,2ND,Attack,Big chances missed,1,1
