match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_hitWoodwork,stat_wasFouled,stat_challengeLost,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_punches
11409160,home,Sporting Braga,Matheus,matheus,Matheus,G,1,190,1473,M,603946,EUR,711504000,G,1,1,False,30.0,20.0,17.0,7.0,16.0,18.0,4.0,12.0,1.0,1.0,12.0,1.0,1.0,90.0,38.0,6.6,10.0,0.0,0.0,0.00604753,0,0.0552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409160,home,Sporting Braga,Josafat Mendes,josafat-mendes,J. Mendes,D,2,177,330,M,1133258,EUR,1041292800,D,17,17,False,37.0,30.0,5.0,2.0,11.0,14.0,19.0,25.0,,1.0,4.0,,,63.0,47.0,6.7,11.0,0.0,0.0,0.026141,0,,,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
11409160,home,Sporting Braga,José Fonte,jose-fonte,J. Fonte,D,6,191,691,M,27622,EUR,440899200,D,6,6,False,85.0,73.0,9.0,5.0,43.0,46.0,30.0,39.0,2.0,2.0,5.0,,,90.0,89.0,6.8,12.0,0.0958,0.0,0.0481367,1,,,,,1.0,,,,True,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11409160,home,Sporting Braga,Serdar Saatçı,serdar-saatci,S. Saatçı,D,15,190,434,M,1084880,EUR,1045180800,D,5,5,False,96.0,86.0,4.0,3.0,59.0,64.0,27.0,32.0,6.0,7.0,12.0,,,90.0,108.0,7.2,10.0,0.2018,0.0874,0.0166388,4,,Serdar Saatci,,,,1.0,,2.0,,2.0,3.0,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
11409160,home,Sporting Braga,Adrián Marín,adrian-marin,A. Marín,D,21,181,96,M,547242,EUR,852768000,D,19,19,False,28.0,20.0,5.0,2.0,8.0,12.0,12.0,17.0,1.0,2.0,5.0,,,45.0,46.0,6.5,15.0,0.1464,0.0,0.0181315,1,,,,1.0,,1.0,,,,1.0,4.0,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11409160,home,Sporting Braga,Rodrigo Zalazar,rodrigo-zalazar,R. Zalazar,M,10,174,2789,M,966575,EUR,934416000,M,16,16,False,67.0,62.0,7.0,4.0,18.0,18.0,49.0,61.0,7.0,12.0,9.0,,,80.0,102.0,8.4,18.0,0.1391,0.0,0.656393,4,,,,12.0,,1.0,2.0,5.0,,,4.0,3.0,,1.0,,,1.0,1.0,2.0,2.0,,5.0,1.0,1.0,1.0,3.0,,,,,,,
11409160,home,Sporting Braga,Mutassim Al-Musrati,mutassim-al-musrati,M. Al-Musrati,M,73,189,2821,M,868958,EUR,828748800,M,8,8,False,88.0,78.0,18.0,15.0,25.0,26.0,54.0,64.0,4.0,7.0,5.0,,,90.0,104.0,8.2,13.0,0.2448,0.0285,0.106811,3,,,,2.0,,1.0,,2.0,,2.0,5.0,,,2.0,1.0,2.0,,1.0,1.0,3.0,,1.0,2.0,,,,,,,,,,
11409160,home,Sporting Braga,Álvaro Djaló,alvaro-djalo,Á. Djaló,F,14,176,1150,M,1160960,EUR,934761600,M,14,14,False,25.0,20.0,,,2.0,2.0,20.0,27.0,1.0,8.0,4.0,,,81.0,48.0,7.6,14.0,0.1826,0.0,0.232431,3,,Álvaro Djaló,,4.0,,3.0,5.0,3.0,,,5.0,2.0,,1.0,,1.0,1.0,1.0,1.0,4.0,,2.0,3.0,,,1.0,2.0,1.0,,,,,
11409160,home,Sporting Braga,Pizzi,pizzi,Pizzi,M,21,179,1284,M,77725,EUR,623635200,M,22,22,False,21.0,19.0,,,6.0,6.0,14.0,18.0,,1.0,2.0,,,45.0,28.0,6.9,4.0,0.0592,0.0,0.106031,1,,,,3.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,
11409160,home,Sporting Braga,Bruma,bruma,Bruma,F,7,173,2690,M,97012,EUR,782956800,M,7,7,False,46.0,38.0,1.0,1.0,8.0,8.0,30.0,39.0,,3.0,3.0,,,90.0,77.0,7.2,20.0,0.5562,0.0198,0.188235,8,,,,1.0,,,3.0,,,,8.0,4.0,,3.0,1.0,,,1.0,1.0,8.0,,,3.0,,,,1.0,,,,,,
