match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_ballRecovery,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_penaltyConceded,stat_fouls,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_totalTackle,stat_aerialLost,stat_outfielderBlock,stat_wonTackle,player_sofascoreId,captain,stat_challengeLost,stat_onTargetScoringAttempt,stat_goals,stat_interceptionWon,stat_totalCross,stat_totalContest,stat_blockedScoringAttempt,stat_accurateCross,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_goalAssist,stat_shotOffTarget,stat_wasFouled,stat_bigChanceMissed,stat_totalOffside,stat_hitWoodwork,stat_penaltyWon
11453084,home,Al-Shabab,Mohammed Al-Absi,Mohammed Alabsi,,mohammed-al-absi,M. Al-Absi,G,50,180,125,M,1168640,EUR,1032825600,G,50,50,False,30.0,22.0,14.0,6.0,20.0,25.0,2.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,90.0,38.0,6.1,9.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Nader Al Sharari,,,nader-abdullah-al-sharari,N. A. Sharari,D,4,184,534,M,923040,EUR,831513600,D,88,88,False,15.0,12.0,7.0,4.0,9.0,10.0,3.0,5.0,,2.0,,,,,,,,,45.0,19.0,6.2,3.0,0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Iago Santos,,,iago-santos,I. Santos,D,4,188,76,M,584430,EUR,706492800,D,4,4,False,42.0,32.0,5.0,3.0,27.0,31.0,5.0,11.0,5.0,7.0,,,,3.0,,,,,90.0,55.0,6.7,10.0,0,6.0,11.0,3.0,5.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Romain Saïss,,,romain-saiss,R. Saiss,D,29,190,7929,M,187729,EUR,638409600,D,14,14,False,46.0,39.0,8.0,5.0,29.0,32.0,10.0,14.0,7.0,7.0,,1.0,,1.0,,,,,90.0,65.0,7.6,8.0,1,2.0,5.0,6.0,3.0,5.0,1.0,3.0,romain_saiss27,True,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,
11453084,home,Al-Shabab,Hamad Al Yami,Hamad,Al Yami,hamad-al-yami,H. A. Yami,D,88,170,585,M,981158,EUR,926899200,M,2,2,False,32.0,26.0,4.0,3.0,13.0,16.0,13.0,17.0,1.0,4.0,,1.0,,,,,,,90.0,46.0,6.4,9.0,2,,1.0,2.0,1.0,,,1.0,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,
11453084,home,Al-Shabab,Musab Al Juwayr,Musab Fahz Aljuwayr,,musab-fahd-aljuwayr,M. A. Juwayr,M,10,175,850,M,1106234,EUR,1056067200,M,55,55,False,25.0,18.0,2.0,1.0,7.0,8.0,12.0,20.0,6.0,2.0,,3.0,,1.0,,,,,56.0,36.0,7.0,15.0,1,1.0,2.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,3.0,1.0,,1.0,2.0,1.0,2.0,,,,,,,,
11453084,home,Al-Shabab,Gustavo Cuéllar,,,gustavo-cuellar,G. Cuéllar,M,6,175,1944,M,180059,EUR,719020800,M,6,6,False,40.0,36.0,5.0,5.0,23.0,25.0,13.0,15.0,3.0,10.0,,3.0,,,,,,,90.0,66.0,7.3,10.0,0,,7.0,2.0,5.0,,1.0,4.0,,,1.0,,,5.0,,2.0,,,2.0,,,2.0,,,,,,,
11453084,home,Al-Shabab,Ivan Rakitić,,,ivan-rakitic,I. Rakitić,M,,184,13051,M,7635,EUR,573955200,M,30,30,False,32.0,25.0,3.0,2.0,16.0,17.0,10.0,18.0,,8.0,,2.0,,,,,,,66.0,41.0,7.0,11.0,1,,3.0,,,,,,ivan_rakitic,,,,,,3.0,,,1.0,,,2.0,,1.0,1.0,3.0,,,,
11453084,home,Al-Shabab,Hussain Al-Sebyani,Hussain Alsebyani,,hussain-alsebyani,H. Alsebyani,M,16,168,15,M,1152012,EUR,993340800,M,16,16,False,16.0,13.0,,,8.0,10.0,5.0,7.0,3.0,3.0,,2.0,,1.0,,,,,78.0,38.0,7.0,9.0,2,,4.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,4.0,1.0,,,,,3.0,,,1.0,,,,
11453084,home,Al-Shabab,Carlos Junior,,,carlos-junior,C. Junior,M,13,176,437,M,555624,EUR,808444800,F,13,13,False,14.0,11.0,1.0,1.0,2.0,3.0,9.0,12.0,1.0,2.0,,2.0,,,,,,,78.0,24.0,6.5,6.0,2,1.0,3.0,1.0,,1.0,,,,,,2.0,,1.0,1.0,2.0,,,,,1.0,2.0,1.0,,,2.0,,,
11453084,home,Al-Shabab,Habib Diallo,,,habib-diallo,H. Diallo,F,30,186,7474,M,802159,EUR,803433600,F,20,20,False,21.0,17.0,1.0,1.0,8.0,9.0,9.0,13.0,5.0,,,5.0,,,,,,,90.0,41.0,7.1,13.0,1,2.0,4.0,4.0,,2.0,,,habibdiallo28,,,,,,1.0,2.0,,,2.0,1.0,2.0,1.0,,1.0,1.0,,1.0,,
