match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_totalOffside,stat_keyPass,stat_aerialLost,stat_duelLost,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_challengeLost,player_firstName,player_lastName,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,captain,player_sofascoreId,stat_shotOffTarget,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_bigChanceCreated,stat_hitWoodwork,stat_goalAssist,stat_penaltyConceded,stat_bigChanceMissed
11453102,home,Al-Shabab,Seung-gyu Kim,seung-gyu-kim,S. Kim,G,81,187.0,324,M,235686,EUR,654652800,G,18,18,False,43.0,28.0,25.0,10.0,20.0,24.0,8.0,19.0,10.0,2.0,1.0,2.0,90.0,51.0,6.7,15.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Fawaz Al-Sagour,fawaz-al-sagour,F. Al-Sagour,D,27,176.0,240,M,818572,EUR,830217600,D,27,27,False,27.0,20.0,4.0,1.0,8.0,12.0,12.0,18.0,3.0,,,,90.0,52.0,7.1,14.0,1,3.0,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Iago Santos,iago-santos,I. Santos,D,4,188.0,76,M,584430,EUR,706492800,D,4,4,False,55.0,51.0,12.0,11.0,34.0,34.0,17.0,21.0,3.0,,,,90.0,64.0,7.0,5.0,0,,1.0,4.0,,,,3.0,1.0,1.0,1.0,,,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Nader Al Sharari,nader-abdullah-al-sharari,N. A. Sharari,D,4,184.0,534,M,923040,EUR,831513600,D,88,88,False,41.0,39.0,4.0,2.0,35.0,36.0,4.0,5.0,,,,,90.0,57.0,6.8,2.0,0,,2.0,3.0,,,,9.0,,,,,,2.0,3.0,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Hamad Al Yami,hamad-al-yami,H. A. Yami,D,88,170.0,585,M,981158,EUR,926899200,D,2,2,False,31.0,27.0,2.0,1.0,17.0,18.0,11.0,15.0,2.0,,,,90.0,54.0,6.9,8.0,0,2.0,2.0,4.0,,,,6.0,,,,,,1.0,1.0,,2.0,1.0,,,Hamad,Al Yami,1.0,,,,,,,,,,,,,
11453102,home,Al-Shabab,Gustavo Cuéllar,gustavo-cuellar,G. Cuéllar,M,6,175.0,1944,M,180059,EUR,719020800,M,6,6,False,49.0,48.0,3.0,3.0,30.0,31.0,18.0,19.0,7.0,,,,90.0,65.0,6.8,5.0,0,1.0,,6.0,2.0,2.0,,2.0,,1.0,1.0,,,1.0,7.0,1.0,3.0,1.0,1.0,3.0,,,,2.0,,,,,,,,,,,,
11453102,home,Al-Shabab,Husain Al-Qahtani,husain-al-monassar,H. Al-Qahtani,M,52,177.0,32,M,893218,EUR,787881600,M,15,15,False,39.0,37.0,6.0,6.0,21.0,23.0,16.0,16.0,7.0,,,,75.0,49.0,6.9,3.0,1,,,4.0,,,,,,,,,,,2.0,,4.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
11453102,home,Al-Shabab,Carlos Junior,carlos-junior,C. Junior,M,13,176.0,437,M,555624,EUR,808444800,M,13,13,False,18.0,11.0,1.0,,3.0,5.0,8.0,13.0,4.0,,,,75.0,30.0,6.5,8.0,0,,1.0,4.0,,,,3.0,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,1.0,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Éver Banega,ever-banega,É. Banega,M,11,174.0,1194,M,31981,EUR,583545600,M,10,10,False,41.0,32.0,9.0,5.0,16.0,17.0,17.0,26.0,1.0,,,,66.0,52.0,6.6,14.0,0,2.0,,2.0,1.0,1.0,,,,,1.0,,2.0,,4.0,,,,2.0,,,,1.0,2.0,,True,,,,,,,,,,
11453102,home,Al-Shabab,Yannick Carrasco,yannick-carrasco,Y. Carrasco,F,10,180.0,4751,M,182001,EUR,747100800,M,23,23,False,35.0,28.0,5.0,3.0,9.0,12.0,21.0,30.0,4.0,,,,90.0,60.0,7.4,19.0,3,7.0,,6.0,6.0,3.0,1.0,,,3.0,3.0,,2.0,,4.0,,,,1.0,,,,2.0,,1.0,,yannickferreiracarrasco,1.0,1.0,,,,,,,
11453102,home,Al-Shabab,Abdullah Radif,abdullah-radif,A. H. Radif,F,21,185.0,510,M,1101759,EUR,1043107200,F,49,49,False,9.0,7.0,,,4.0,5.0,3.0,4.0,,,,,66.0,19.0,7.0,5.0,2,,,4.0,1.0,,,,,1.0,4.0,,,1.0,5.0,,,,2.0,,Abdullah Radif,,,1.0,,,,2.0,,1.0,,,,,,
11453102,home,Al-Shabab,Fahad Al-Muwallad,fahad-al-muwallad,F. Al-Muwallad,M,,167.0,183,M,160909,EUR,779500800,F,8,8,True,1.0,1.0,,,,,1.0,1.0,,,,,24.0,4.0,6.6,,1,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,
11453102,home,Al-Shabab,Hattan Bahebri,hattan-bahebri,H. Bahbri,M,11,168.0,92,M,803052,EUR,711244800,M,11,11,True,4.0,3.0,,,,,3.0,4.0,1.0,,,,24.0,7.0,6.7,1.0,2,,,,,,,,,,,,1.0,1.0,2.0,,,,,1.0,,,,,2.0,,,,,,,,,,,
11453102,home,Al-Shabab,Majed Omar Kanabah,majed-omar-kanabah,M. O. Kanabah,M,12,172.0,36,M,828444,EUR,730771200,M,12,12,True,11.0,10.0,,,4.0,4.0,6.0,7.0,,,,,15.0,15.0,6.5,3.0,0,,,1.0,1.0,,,,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Habib Diallo,habib-diallo,H. Diallo,F,30,186.0,7474,M,802159,EUR,803433600,F,20,20,True,3.0,1.0,,,,,1.0,3.0,,,,,15.0,5.0,6.7,2.0,1,,2.0,2.0,,,,,,,,,1.0,1.0,2.0,,,,2.0,,,,,,,,habibdiallo28,1.0,,,,,,,,
11453102,home,Al-Shabab,Fawaz Al-Qarni,fawaz-al-qarni,F. Al-Qarni,G,,185.0,18,M,160929,EUR,702172800,G,22,22,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453102,home,Al-Shabab,Hussain Al-Sebyani,hussain-alsebyani,H. Alsebyani,M,16,168.0,15,M,1152012,EUR,993340800,D,16,16,True,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,Hussain Alsebyani,,,,,,,,,,,,,,,
