match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_sofascoreId,stat_aerialLost,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,captain,stat_accurateCross,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper
11368628,home,Deportivo Alavés,Jesús Owono,,,jesus-owono,J. Owono,G,13,183.0,434,M,990659,EUR,983404800,G,31,31,False,24.0,10.0,22.0,8.0,0.0,3.0,3.0,7.0,21.0,10.0,3.0,4.0,90.0,29.0,7.7,14.0,0.00182957,0,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368628,home,Deportivo Alavés,Nahuel Tenaglia,,,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,23.0,16.0,6.0,1.0,0.0,9.0,11.0,7.0,15.0,6.0,,,90.0,58.0,7.0,15.0,0.0100534,0,,3.0,3.0,4.0,7.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,
11368628,home,Deportivo Alavés,Abdelkabir Abqar,,,abqar-abdelkabir,A. Abqar,D,3,188.0,4060,M,1101232,EUR,921024000,D,5,5,False,21.0,8.0,11.0,1.0,0.0,4.0,5.0,4.0,16.0,2.0,,,90.0,36.0,7.5,14.0,0.0440312,2,,,5.0,4.0,5.0,,6.0,2.0,,,1.0,,1.0,abdel.abqar,3.0,1.0,1.0,3.0,0.1252,0.1965,1.0,,,,,,,,,,,,,
11368628,home,Deportivo Alavés,Rubén Duarte,,,ruben-duarte,R. Duarte,D,5,180.0,322,M,253415,EUR,813974400,D,3,3,False,21.0,13.0,12.0,6.0,1.0,5.0,5.0,9.0,18.0,1.0,,,90.0,37.0,7.5,9.0,0.0210214,0,,2.0,3.0,2.0,8.0,,6.0,,2.0,,,3.0,1.0,,,,,,,,1.0,True,1.0,1.0,,,,,,,,,,
11368628,home,Deportivo Alavés,Javi López,,,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,24.0,17.0,3.0,1.0,0.0,7.0,9.0,10.0,18.0,4.0,,,90.0,57.0,7.2,19.0,0.00753512,1,,3.0,1.0,1.0,8.0,,,,1.0,,3.0,4.0,,,,,,,0.0703,,,,,,4.0,3.0,1.0,,,,,,,
11368628,home,Deportivo Alavés,Carlos Benavídez,,,carlos-benavidez,C. Benavídez,M,23,185.0,382,M,873717,EUR,891216000,M,23,23,False,19.0,11.0,4.0,,0.0,9.0,10.0,2.0,9.0,6.0,,,62.0,24.0,6.4,8.0,0.00837525,0,,,2.0,3.0,4.0,,1.0,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,
11368628,home,Deportivo Alavés,Antonio Blanco,,,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,25.0,17.0,3.0,1.0,0.0,8.0,11.0,11.0,16.0,3.0,,,90.0,42.0,6.7,10.0,0.0738858,0,,2.0,2.0,4.0,9.0,1.0,1.0,,3.0,1.0,1.0,5.0,1.0,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,
11368628,home,Deportivo Alavés,Carlos Vicente,,,vicente-carlos,C. Vicente,M,23,179.0,1926,M,1084399,EUR,924825600,M,22,22,False,14.0,8.0,,,0.0,2.0,4.0,8.0,15.0,2.0,,,88.0,38.0,7.4,22.0,0.274174,1,,5.0,3.0,7.0,7.0,1.0,,,,,8.0,3.0,1.0,,1.0,1.0,,,0.0815,0.098,2.0,,2.0,1.0,4.0,1.0,,1.0,1.0,1.0,,,,
11368628,home,Deportivo Alavés,Jon Guridi,,,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,20.0,14.0,3.0,2.0,0.0,4.0,4.0,10.0,17.0,5.0,,,87.0,28.0,7.1,8.0,0.0469311,0,,1.0,4.0,1.0,8.0,,2.0,,2.0,,,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,
11368628,home,Deportivo Alavés,Giuliano Simeone,,,giuliano-simeone,G. Simeone,M,20,178.0,16028,M,1099352,EUR,1040169600,M,20,20,False,16.0,9.0,,,0.0,,2.0,9.0,14.0,3.0,,,88.0,27.0,6.6,12.0,0.464185,1,,,,10.0,3.0,3.0,,,,,1.0,2.0,3.0,giulisimeone,2.0,,,,0.0562,,2.0,,,1.0,2.0,1.0,1.0,1.0,,2.0,,,,
