match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_expectedGoals,stat_keyPass,stat_shotOffTarget,stat_fouls,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,captain,stat_errorLeadToAGoal,stat_expectedGoalsOnTarget,stat_challengeLost,stat_bigChanceCreated,stat_totalOffside,stat_goals,player_sofascoreId,stat_punches,stat_goalAssist
11368673,home,Almería,Luís Maximiano,,,luis-maximiano,L. Maximiano,G,81,190.0,768,M,845797,EUR,915494400,G,25,25,False,24.0,18.0,9.0,3.0,15.0,17.0,3.0,7.0,5.0,1.0,2.0,90.0,30.0,6.2,6.0,0.0005001,0,-0.9098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368673,home,Almería,Marc Pubill,,,marc-pubill,Pubill,D,18,190.0,2708,M,1094106,EUR,1056067200,D,18,18,False,34.0,18.0,1.0,,10.0,19.0,9.0,20.0,5.0,,,90.0,72.0,6.3,33.0,0.0220802,1,,5.0,1.0,1.0,2.0,5.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,0.038,1.0,,,,,,,,,,,,,,,,,
11368673,home,Almería,César Montes,,,cesar-montes,C. Montes,D,23,195.0,1738,M,818406,EUR,856742400,D,22,22,False,47.0,36.0,8.0,3.0,25.0,30.0,11.0,17.0,1.0,,,80.0,62.0,6.4,13.0,0.00274413,2,,,,5.0,7.0,6.0,9.0,,,,,3.0,,1.0,3.0,0.0875,,2.0,2.0,,,,,,,,,,,,,,,
11368673,home,Almería,Chumi,,,chumi,Chumi,D,21,186.0,188,M,913455,EUR,920332800,D,21,21,False,30.0,28.0,3.0,1.0,23.0,23.0,5.0,7.0,3.0,,,90.0,40.0,6.4,3.0,0.00213888,2,,,,,2.0,2.0,3.0,1.0,1.0,1.0,,2.0,,,,0.8888,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
11368673,home,Almería,Bruno Langa,,,bruno-langa,B. Langa,D,24,178.0,2435,M,987490,EUR,878256000,D,24,24,False,30.0,24.0,4.0,2.0,10.0,11.0,14.0,21.0,6.0,,,90.0,55.0,7.0,11.0,0.0328631,1,,2.0,,,,2.0,6.0,1.0,2.0,1.0,,1.0,1.0,1.0,3.0,0.0238,3.0,1.0,,,,,2.0,2.0,,,,,,,,,,
11368673,home,Almería,Lucas Robertone,,,lucas-robertone,L. Robertone,M,8,173.0,656,M,848926,EUR,858643200,M,5,5,False,29.0,24.0,5.0,3.0,12.0,15.0,12.0,15.0,3.0,,,62.0,42.0,6.7,9.0,0.00807569,1,,1.0,,,2.0,4.0,5.0,1.0,3.0,1.0,,,2.0,,1.0,0.0224,,1.0,1.0,,,,1.0,1.0,True,,,,,,,,,
11368673,home,Almería,Dion Lopy,,,dion-lopy,D. Lopy,M,17,186.0,2405,M,982327,EUR,1012608000,M,6,6,False,18.0,17.0,1.0,1.0,13.0,14.0,4.0,4.0,5.0,,,45.0,29.0,6.4,3.0,0.00348003,1,,,,,,3.0,5.0,,,,,,1.0,1.0,3.0,0.0733,,,4.0,,1.0,,2.0,1.0,,1.0,0.0447,,,,,,,
11368673,home,Almería,Léo Baptistão,,,leo-baptistao,Léo Baptistão,M,12,181.0,560,M,252857,EUR,714787200,M,12,12,False,13.0,9.0,1.0,,2.0,4.0,7.0,13.0,3.0,,,70.0,26.0,6.6,10.0,0.0020399,1,,4.0,,,1.0,3.0,5.0,1.0,1.0,,,1.0,,,2.0,0.0396,,,,,1.0,,2.0,2.0,,,0.0489,1.0,,,,,,
11368673,home,Almería,Jonathan Viera,,,jonathan-viera,J. Viera,M,21,171.0,424,M,129451,EUR,624931200,M,8,8,False,49.0,43.0,4.0,2.0,21.0,21.0,22.0,28.0,2.0,,,90.0,62.0,7.2,10.0,0.10172,2,,,,,,3.0,6.0,,,,,,1.0,4.0,5.0,0.0852,2.0,,2.0,,2.0,,1.0,,,,0.4038,1.0,1.0,,,,,
11368673,home,Almería,Adrián Embarba,,,adrian-embarba,A. Embarba,M,23,173.0,477,M,346516,EUR,705196800,M,10,10,False,19.0,14.0,3.0,2.0,3.0,4.0,15.0,27.0,2.0,,,90.0,52.0,7.3,20.0,0.157821,5,,12.0,4.0,1.0,1.0,6.0,5.0,1.0,,,,,1.0,6.0,2.0,0.3376,4.0,1.0,4.0,1.0,4.0,,2.0,1.0,,,0.6516,1.0,,1.0,,,,
