match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_sofascoreId,stat_shotOffTarget,stat_interceptionWon,stat_fouls,stat_expectedGoals,stat_outfielderBlock,stat_totalTackle,stat_dispossessed,player_firstName,player_lastName,stat_blockedScoringAttempt,stat_wonTackle,stat_totalOffside,captain,stat_goalAssist,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_clearanceOffLine,stat_goodHighClaim,stat_bigChanceCreated,stat_bigChanceMissed,stat_hitWoodwork
11368741,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,27.0,13.0,22.0,8.0,5.0,6.0,8.0,21.0,1.0,8.0,4.0,6.0,1.0,90.0,39.0,7.7,14.0,0.0191,0,0.7039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11368741,home,Deportivo Alavés,Andoni Gorosabel,andoni-gorosabel,A. Gorosabel,D,2,174.0,530,M,866810,EUR,839116800,D,2,2,False,44.0,38.0,3.0,2.0,12.0,14.0,27.0,34.0,3.0,5.0,,,,85.0,63.0,7.0,11.0,0.0522879,0,,4.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
11368741,home,Deportivo Alavés,Abdelkabir Abqar,abqar-abdelkabir,A. Abqar,D,3,188.0,4060,M,1101232,EUR,921024000,D,5,5,False,36.0,26.0,12.0,3.0,20.0,22.0,6.0,14.0,4.0,5.0,,,,90.0,50.0,6.8,11.0,0.00325825,1,,,,2.0,3.0,3.0,4.0,,,,,1.0,,abdel.abqar,1.0,3.0,1.0,0.0216,,,,,,,,,,,,,,,,,,
11368741,home,Deportivo Alavés,Rafa Marín,rafa-marin,R. Marín,D,4,190.0,2354,M,984623,EUR,1021766400,D,16,16,False,69.0,54.0,9.0,5.0,34.0,38.0,20.0,31.0,5.0,5.0,,,,90.0,78.0,6.9,15.0,0.00779195,0,,,,5.0,8.0,7.0,9.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
11368741,home,Deportivo Alavés,Javi López,lopez-javi,J. López,D,25,183.0,401,M,945404,EUR,1009843200,D,27,27,False,40.0,32.0,9.0,3.0,16.0,19.0,18.0,26.0,1.0,3.0,,,,90.0,72.0,7.1,17.0,0.212535,1,,5.0,2.0,,,1.0,5.0,,4.0,4.0,1.0,1.0,2.0,,1.0,,,0.068,1.0,,1.0,,,,,,,,,,,,,,,
11368741,home,Deportivo Alavés,Antonio Blanco,antonio-blanco,A. Blanco,M,8,176.0,1655,M,855832,EUR,964310400,M,8,8,False,39.0,31.0,4.0,3.0,12.0,16.0,19.0,24.0,1.0,2.0,,,,72.0,50.0,6.5,10.0,0.0233983,1,,1.0,,1.0,2.0,9.0,5.0,5.0,,,,2.0,,,,1.0,2.0,0.014,,2.0,1.0,,,1.0,1.0,,,,,,,,,,,
11368741,home,Deportivo Alavés,Ander Guevara,ander-guevara,A. Guevara,M,6,180.0,265,M,891931,EUR,868233600,M,6,6,False,62.0,47.0,5.0,3.0,11.0,14.0,36.0,48.0,1.0,3.0,,,,90.0,72.0,7.0,17.0,0.0607308,0,,,,2.0,4.0,4.0,9.0,1.0,,,2.0,3.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,
11368741,home,Deportivo Alavés,Álex Sola,alex-sola,Á. Sola,M,7,178.0,195,M,966836,EUR,928886400,M,7,7,False,9.0,6.0,1.0,,2.0,3.0,5.0,8.0,,3.0,,,,60.0,20.0,6.2,8.0,0.00614438,1,,2.0,1.0,3.0,,8.0,3.0,2.0,3.0,1.0,1.0,1.0,,,1.0,,,0.0334,,1.0,1.0,,,,,1.0,,,,,,,,,,
11368741,home,Deportivo Alavés,Jon Guridi,jon-guridi,J. Guridi,M,18,179.0,324,M,788141,EUR,793929600,M,18,18,False,32.0,25.0,2.0,1.0,11.0,12.0,14.0,22.0,3.0,7.0,,,,90.0,47.0,6.8,14.0,0.0182608,0,,2.0,,2.0,2.0,6.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,
11368741,home,Deportivo Alavés,Luis Rioja,luis-rioja,L. Rioja,M,11,173.0,860,M,900433,EUR,750729600,M,11,11,False,28.0,22.0,,,3.0,5.0,20.0,31.0,,2.0,,,,85.0,52.0,7.3,19.0,0.266788,0,,8.0,1.0,4.0,,6.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,,,,,,,1.0,,,,,1.0,,True,1.0,,,,,,,,
