match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_wonContest,player_firstName,player_lastName,stat_shotOffTarget,stat_totalOffside,captain,stat_accurateCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goalAssist,stat_bigChanceCreated,stat_goals,stat_outfielderBlock,stat_errorLeadToAShot,stat_hitWoodwork
11369383,home,Getafe,David Soria,david-soria,D. Soria,G,13,192,676,M,604258,EUR,733881600,G,13,13,False,30.0,19.0,25.0,14.0,8.0,10.0,11.0,20.0,1.0,10.0,1.0,1.0,2.0,1.0,2.0,2.0,90.0,36.0,7.5,11.0,0.00237031,0,0.8012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Damián Suárez,damian-suarez,D. Suárez,D,22,172,368,M,36982,EUR,578102400,D,22,22,False,24.0,18.0,5.0,2.0,3.0,5.0,15.0,22.0,2.0,5.0,,,,,,,90.0,54.0,7.0,18.0,0.016216,0,,3.0,1.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Gastón Álvarez,gaston-alvarez,G. Álvarez,D,17,184,491,M,980578,EUR,953856000,D,4,4,False,30.0,18.0,11.0,1.0,14.0,16.0,4.0,14.0,3.0,10.0,,,,,,,90.0,47.0,7.0,15.0,0.00079501,1,,,4.0,7.0,6.0,,,4.0,2.0,2.0,3.0,,,4.0,1.0,3.0,0.008,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Omar Alderete,omar-alderete,O. Alderete,D,15,187,5163,M,805137,EUR,851558400,D,15,15,False,40.0,29.0,15.0,7.0,16.0,17.0,13.0,23.0,8.0,5.0,,,,,,,90.0,58.0,7.1,12.0,0.0364806,0,,,3.0,5.0,5.0,,1.0,1.0,,,,3.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Diego Rico,diego-rico,D. Rico,D,16,181,662,M,350560,EUR,730425600,D,16,16,False,44.0,26.0,8.0,2.0,12.0,16.0,14.0,30.0,,3.0,,,,,,,90.0,72.0,6.8,28.0,0.0205239,0,,2.0,2.0,6.0,7.0,1.0,2.0,,1.0,1.0,1.0,3.0,,3.0,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
11369383,home,Getafe,José Ángel Carmona,jose-angel-carmona,J. Á. Carmona,D,2,183,1021,M,1015240,EUR,1012262400,M,18,18,False,24.0,14.0,,,3.0,4.0,11.0,20.0,1.0,7.0,,,,,,,90.0,47.0,6.7,16.0,0.0116909,2,,,2.0,9.0,7.0,,6.0,1.0,1.0,,,1.0,1.0,3.0,1.0,3.0,0.0454,,2.0,,,1.0,1.0,,,,,,,,,,,,
11369383,home,Getafe,Djené,djene,Djené,D,2,178,2527,M,307702,EUR,694137600,M,2,2,False,9.0,8.0,,,5.0,5.0,3.0,4.0,,,,,,,,,44.0,16.0,5.4,3.0,0.00047552,1,,,1.0,3.0,1.0,,,,,,2.0,1.0,,,1.0,2.0,0.0263,,,,,,,True,,,,,,,,,,,
11369383,home,Getafe,Nemanja Maksimović,nemanja-maksimovic,N. Maksimović,M,88,184,1287,M,331449,EUR,791078400,M,20,20,False,36.0,27.0,2.0,1.0,14.0,16.0,14.0,21.0,3.0,5.0,,,,,,,90.0,48.0,7.0,10.0,0.0338084,2,,1.0,,,5.0,,,1.0,1.0,1.0,1.0,,1.0,4.0,1.0,,0.2995,,,,,,,,1.0,1.0,1.0,0.091,,,,,,,
11369383,home,Getafe,Mason Greenwood,mason-greenwood,M. Greenwood,F,10,181,65939,M,942116,EUR,1001894400,M,12,12,False,29.0,22.0,5.0,3.0,10.0,10.0,12.0,23.0,,6.0,,,,,,,86.0,50.0,7.1,21.0,0.330604,2,,4.0,1.0,8.0,5.0,1.0,5.0,,,,7.0,1.0,1.0,,2.0,5.0,0.0745,,4.0,,,,,,,,,,MGreenwood,1.0,1.0,,,,
11369383,home,Getafe,Borja Mayoral,borja-mayoral,B. Mayoral,F,9,182,2532,M,604954,EUR,860198400,F,19,19,False,16.0,13.0,1.0,1.0,3.0,3.0,11.0,14.0,,1.0,,,,,,,89.0,24.0,7.3,6.0,0.165457,1,,1.0,1.0,4.0,4.0,1.0,1.0,,,,1.0,2.0,1.0,2.0,,1.0,0.5506,1.0,,,,,,,1.0,,1.0,0.7395,,,,1.0,,,
11369383,home,Getafe,Jaime Mata,jaime-mata,J. Mata,F,17,185,448,M,351140,EUR,593654400,F,7,7,False,15.0,11.0,,,4.0,4.0,7.0,11.0,,3.0,,,,,,,45.0,20.0,7.1,4.0,0.0325049,2,,,1.0,2.0,5.0,,1.0,,1.0,1.0,,,,3.0,,1.0,0.1125,,1.0,,,2.0,,,,,,,,,,,,,
11369383,home,Getafe,Luis Milla,luis-milla,L. Milla,M,5,175,1429,M,811629,EUR,781488000,M,5,5,True,18.0,14.0,2.0,1.0,6.0,8.0,11.0,17.0,,5.0,,,,,,,45.0,33.0,7.1,11.0,0.110119,1,,7.0,,2.0,2.0,,2.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,0.0486,,1.0,,,1.0,,,3.0,,,,,,,,,,
11369383,home,Getafe,Juan Iglesias,juan-iglesias,J. Iglesias,D,21,185,520,M,949707,EUR,899424000,D,21,21,True,1.0,,,,,,,1.0,,1.0,,,,,,,10.0,6.0,6.8,2.0,0.00022932,1,,,,1.0,2.0,1.0,1.0,,,,,,,1.0,,,0.0205,,1.0,,,,,,,,1.0,0.3241,,,,,,,
11369383,home,Getafe,Juanmi Latasa,juanmi-latasa,J. Latasa,F,9,191,1993,M,966679,EUR,985305600,F,14,14,True,2.0,,,,,1.0,,1.0,1.0,,,,,,,,1.0,5.0,,3.0,,0,,,1.0,1.0,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Daniel Fuzato,daniel-fuzato,D. Fuzato,G,13,190,943,M,863276,EUR,867974400,G,1,1,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Domingos Duarte,domingos-duarte,D. Duarte,D,22,191,695,M,576276,EUR,794793600,D,6,6,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Fabrizio Angileri,fabrizio-angileri,F. Angileri,D,,185,4185,M,311462,EUR,763689600,D,3,3,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Stefan Mitrović,stefan-mitrovic,S. Mitrović,D,23,189,417,M,108736,EUR,643334400,D,23,23,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Carles Aleñá,carles-alena,C. Aleñá,M,10,180,1587,M,794937,EUR,883958400,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Óscar Rodríguez,oscar-rodriguez,Ó. Rodríguez,M,14,174,618,M,794948,EUR,898992000,M,9,9,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Jordi Martín,jordi-martin,J. Martín,M,8,174,159,M,1010513,EUR,978652800,M,32,32,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,home,Getafe,Anthony Lozano,anthony-lozano,A. Lozano,F,11,183,1489,M,169549,EUR,735696000,F,17,17,True,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Jeremías Ledesma,jeremias-ledesma,C. Ledesma,G,23,186,1063,M,341097,EUR,729561600,G,1,1,False,30.0,21.0,13.0,4.0,18.0,18.0,3.0,12.0,1.0,10.0,3.0,1.0,2.0,1.0,,,90.0,41.0,7.1,9.0,0.00037842,0,0.1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369383,away,Cádiz,Iza Carcelén,iza-carcelen,I. Carcelén,D,20,174,127,M,800403,EUR,735523200,D,20,20,False,36.0,28.0,6.0,1.0,14.0,17.0,14.0,20.0,2.0,8.0,,,,,,,90.0,58.0,6.6,12.0,0.0100538,0,,1.0,3.0,4.0,5.0,,,1.0,,,1.0,3.0,,2.0,,,,1.0,,,,,,True,,,,,,,,,1.0,1.0,
