match_id,period,group,name,home,away
11369431,ALL,Match overview,Ball possession,60%,40%
11369431,ALL,Match overview,Expected goals,2.32,0.75
11369431,ALL,Match overview,Big chances,5,1
11369431,ALL,Match overview,Total shots,22,3
11369431,ALL,Match overview,Goalkeeper saves,0,5
11369431,ALL,Match overview,Corner kicks,14,0
11369431,ALL,Match overview,Fouls,14,12
11369431,ALL,Match overview,Passes,650,427
11369431,ALL,Match overview,Tackles,14,15
11369431,ALL,Match overview,Free kicks,12,12
11369431,ALL,Match overview,Yellow cards,2,3
11369431,ALL,Shots,Total shots,22,3
11369431,ALL,Shots,Shots on target,9,1
11369431,ALL,Shots,Hit woodwork,1,0
11369431,ALL,Shots,Shots off target,5,1
11369431,ALL,Shots,Blocked shots,8,1
11369431,ALL,Shots,Shots inside box,14,2
11369431,ALL,Shots,Shots outside box,8,1
11369431,ALL,Attack,Big chances scored,3,1
11369431,ALL,Attack,Big chances missed,2,0
11369431,ALL,Attack,Through balls,0,1
11369431,ALL,Attack,Fouled in final third,3,1
11369431,ALL,Attack,Offsides,4,0
11369431,ALL,Passes,Accurate passes,595,360
11369431,ALL,Passes,Throw-ins,6,14
11369431,ALL,Passes,Final third entries,57,36
11369431,ALL,Passes,Long balls,37/50 (74%),22/42 (52%)
11369431,ALL,Passes,Crosses,4/19 (21%),0/7 (0%)
11369431,ALL,Duels,Duels,48%,52%
11369431,ALL,Duels,Dispossessed,8,5
11369431,ALL,Duels,Ground duels,32/67 (48%),35/67 (52%)
11369431,ALL,Duels,Aerial duels,4/8 (50%),4/8 (50%)
11369431,ALL,Duels,Dribbles,6/13 (46%),8/17 (47%)
11369431,ALL,Defending,Tackles won,43%,40%
11369431,ALL,Defending,Total tackles,14,15
11369431,ALL,Defending,Interceptions,7,8
11369431,ALL,Defending,Recoveries,60,49
11369431,ALL,Defending,Clearances,4,22
11369431,ALL,Goalkeeping,Total saves,0,5
11369431,ALL,Goalkeeping,Goals prevented,-0.16,-1.43
11369431,ALL,Goalkeeping,Goal kicks,6,9
11369431,1ST,Match overview,Ball possession,54%,46%
11369431,1ST,Match overview,Expected goals,1.12,0.07
11369431,1ST,Match overview,Big chances,3,0
11369431,1ST,Match overview,Total shots,12,2
11369431,1ST,Match overview,Goalkeeper saves,0,2
11369431,1ST,Match overview,Corner kicks,5,0
11369431,1ST,Match overview,Passes,302,259
11369431,1ST,Match overview,Tackles,6,3
11369431,1ST,Match overview,Free kicks,4,4
11369431,1ST,Match overview,Yellow cards,0,0
11369431,1ST,Shots,Total shots,12,2
11369431,1ST,Shots,Shots on target,4,0
11369431,1ST,Shots,Hit woodwork,1,0
11369431,1ST,Shots,Shots off target,4,1
11369431,1ST,Shots,Blocked shots,4,1
11369431,1ST,Shots,Shots inside box,8,1
11369431,1ST,Shots,Shots outside box,4,1
11369431,1ST,Attack,Big chances scored,2,0
11369431,1ST,Attack,Big chances missed,1,0
11369431,1ST,Attack,Through balls,0,0
11369431,1ST,Attack,Fouled in final third,1,0
11369431,1ST,Attack,Offsides,2,0
11369431,1ST,Passes,Accurate passes,278,222
11369431,1ST,Passes,Throw-ins,3,7
11369431,1ST,Passes,Final third entries,37,21
11369431,1ST,Passes,Long balls,19/24 (79%),15/29 (52%)
11369431,1ST,Passes,Crosses,2/10 (20%),0/4 (0%)
11369431,1ST,Duels,Duels,54%,46%
11369431,1ST,Duels,Dispossessed,2,1
11369431,1ST,Duels,Ground duels,11/21 (52%),10/21 (48%)
11369431,1ST,Duels,Aerial duels,3/5 (60%),2/5 (40%)
11369431,1ST,Duels,Dribbles,1/2 (50%),3/8 (38%)
11369431,1ST,Defending,Tackles won,33%,33%
11369431,1ST,Defending,Total tackles,6,3
11369431,1ST,Defending,Interceptions,3,2
11369431,1ST,Defending,Recoveries,32,24
11369431,1ST,Defending,Clearances,2,11
11369431,1ST,Goalkeeping,Total saves,0,2
11369431,1ST,Goalkeeping,Goal kicks,2,7
11369431,2ND,Match overview,Ball possession,67%,33%
11369431,2ND,Match overview,Expected goals,1.20,0.68
11369431,2ND,Match overview,Big chances,2,1
11369431,2ND,Match overview,Total shots,10,1
11369431,2ND,Match overview,Goalkeeper saves,0,3
11369431,2ND,Match overview,Corner kicks,9,0
11369431,2ND,Match overview,Passes,348,168
11369431,2ND,Match overview,Tackles,8,12
11369431,2ND,Match overview,Free kicks,8,8
11369431,2ND,Match overview,Yellow cards,2,3
11369431,2ND,Shots,Total shots,10,1
11369431,2ND,Shots,Shots on target,5,1
11369431,2ND,Shots,Hit woodwork,0,0
11369431,2ND,Shots,Shots off target,1,0
11369431,2ND,Shots,Blocked shots,4,0
11369431,2ND,Shots,Shots inside box,6,1
11369431,2ND,Shots,Shots outside box,4,0
11369431,2ND,Attack,Big chances scored,1,1
11369431,2ND,Attack,Big chances missed,1,0
11369431,2ND,Attack,Through balls,0,1
11369431,2ND,Attack,Fouled in final third,2,1
11369431,2ND,Attack,Offsides,2,0
11369431,2ND,Passes,Accurate passes,317,138
11369431,2ND,Passes,Throw-ins,3,7
11369431,2ND,Passes,Final third entries,20,15
11369431,2ND,Passes,Long balls,18/26 (69%),7/13 (54%)
11369431,2ND,Passes,Crosses,2/9 (22%),0/3 (0%)
11369431,2ND,Duels,Duels,45%,55%
11369431,2ND,Duels,Dispossessed,6,4
11369431,2ND,Duels,Ground duels,21/46 (46%),25/46 (54%)
11369431,2ND,Duels,Aerial duels,1/3 (33%),2/3 (67%)
11369431,2ND,Duels,Dribbles,5/11 (45%),5/9 (56%)
11369431,2ND,Defending,Tackles won,50%,42%
11369431,2ND,Defending,Total tackles,8,12
11369431,2ND,Defending,Interceptions,4,6
11369431,2ND,Defending,Recoveries,28,25
11369431,2ND,Defending,Clearances,2,11
11369431,2ND,Goalkeeping,Total saves,0,3
11369431,2ND,Goalkeeping,Goal kicks,4,2
