match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_fouls,stat_totalCross,stat_accurateCross,stat_totalTackle,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_wonTackle,stat_expectedGoals,captain,stat_totalOffside,stat_bigChanceMissed,stat_goalAssist,stat_errorLeadToAShot,stat_bigChanceCreated
11450078,home,İstanbulspor,Alp Arda,,,alp-arda,A. Arda,G,59,192.0,35,M,999485,EUR,802483200,G,59,59,False,50.0,22.0,34.0,6.0,19.0,26.0,3.0,24.0,1.0,8.0,1.0,3.0,7.0,1.0,90.0,67.0,7.8,28.0,0.00042823,0,0.7023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450078,home,İstanbulspor,Okan Erdoğan,,,okan-erdogan,O. Erdoğan,D,3,185.0,54,M,881213,EUR,907027200,D,23,23,False,45.0,32.0,8.0,1.0,27.0,35.0,5.0,10.0,6.0,8.0,,,,,90.0,60.0,6.7,14.0,0.364056,0,,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,
11450078,home,İstanbulspor,Modestas Vorobjovas,,,modestas-vorobjovas,M. Vorobjovas,M,6,177.0,70,M,319751,EUR,820281600,D,6,6,False,27.0,22.0,5.0,4.0,13.0,15.0,9.0,12.0,2.0,2.0,,,,,90.0,35.0,6.4,5.0,0.00241649,0,,3.0,1.0,5.0,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,
11450078,home,İstanbulspor,Simon Deli,,,simon-deli,S. Deli,D,13,192.0,262,M,326419,EUR,688521600,D,14,14,False,44.0,37.0,2.0,2.0,26.0,30.0,13.0,16.0,12.0,2.0,,,,,90.0,67.0,7.2,8.0,0.0122456,0,,1.0,4.0,1.0,8.0,,2.0,2.0,1.0,2.0,1.0,,,,2.0,2.0,2.0,,,,,,,,,,,,,
11450078,home,İstanbulspor,Demeaco Duhaney,,,duhaney-demeaco,D. Duhaney,D,21,180.0,24,M,851095,EUR,908236800,M,21,21,False,31.0,25.0,5.0,3.0,15.0,15.0,10.0,16.0,1.0,5.0,,,,,81.0,50.0,6.5,15.0,0.0438633,0,,,,3.0,,1.0,2.0,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,
11450078,home,İstanbulspor,Florian Loshaj,,,florian-loshaj,F. Loshaj,M,10,174.0,152,M,831407,EUR,839894400,M,34,34,False,35.0,24.0,6.0,2.0,8.0,11.0,16.0,25.0,3.0,5.0,,,,,90.0,56.0,7.1,16.0,0.0129741,4,,1.0,1.0,9.0,5.0,2.0,,,,,1.0,2.0,,3.0,1.0,,2.0,3.0,1.0,1.0,2.0,1.0,2.0,0.117,,,,,,
11450078,home,İstanbulspor,Eslem Öztürk,,,eslem-ozturk,E. Öztürk,M,10,177.0,8,M,788975,EUR,880934400,M,5,5,False,19.0,15.0,3.0,,5.0,5.0,12.0,17.0,2.0,3.0,,,,,60.0,28.0,6.7,5.0,0.0412265,0,,1.0,,1.0,2.0,,2.0,2.0,,1.0,,,,,3.0,2.0,,,,,,,,,True,,,,,
11450078,home,İstanbulspor,David Sambissa,,,david-sambissa,D. Sambissa,M,7,177.0,220,M,280459,EUR,821318400,M,7,7,False,28.0,23.0,2.0,,10.0,12.0,13.0,19.0,2.0,2.0,,,,,90.0,47.0,6.4,12.0,0.0287648,0,,2.0,1.0,2.0,2.0,,,,,1.0,2.0,1.0,,,3.0,,,,,,,,,,,,,,,
11450078,home,İstanbulspor,Mendy Mamadou,,,mendy-mamadou,M. Mamadou,M,66,185.0,525,M,929718,EUR,907459200,F,12,12,False,33.0,22.0,2.0,1.0,12.0,15.0,10.0,19.0,,6.0,,,,,90.0,52.0,6.5,20.0,0.00523886,0,,8.0,1.0,13.0,2.0,,2.0,,1.0,,2.0,,1.0,1.0,1.0,,1.0,2.0,,,,,1.0,,,1.0,,,,
11450078,home,İstanbulspor,Emrehan Gedikli,,,emrehan-gedikli,E. Gedikli,F,9,185.0,198,M,997130,EUR,1051228800,F,9,9,False,15.0,12.0,1.0,1.0,2.0,3.0,10.0,12.0,,1.0,,,,,45.0,22.0,6.6,5.0,0.100905,2,,,1.0,2.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,0.3779,,,1.0,,,
11450078,home,İstanbulspor,Jackson,,,jackson,Jackson,M,,178.0,61,M,911351,EUR,924912000,F,99,99,False,18.0,15.0,,,5.0,5.0,11.0,14.0,1.0,4.0,,,,,81.0,32.0,7.0,8.0,0.127226,0,,1.0,,6.0,1.0,2.0,1.0,1.0,,3.0,3.0,,2.0,1.0,1.0,1.0,,2.0,,,,,,,,,,1.0,,
