match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_wasFouled,stat_fouls,stat_aerialLost,stat_aerialWon,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_shotOffTarget,stat_penaltyConceded,stat_expectedGoals,stat_totalOffside,player_sofascoreId,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_errorLeadToAShot,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goals
11450130,home,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192.0,197,M,30143,EUR,587260800,G,1,1,False,True,37.0,19.0,23.0,6.0,16.0,21.0,3.0,16.0,16.0,2.0,4.0,1.0,6.0,90.0,54.0,8.3,18.0,0.00038572,0,0.8726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11450130,home,Başakşehir FK,Léo Dubois,leo-dubois,L. Dubois,D,,178.0,587,M,552680,EUR,779500800,D,15,15,False,,35.0,19.0,10.0,2.0,13.0,24.0,6.0,12.0,7.0,,,,,90.0,54.0,6.2,20.0,0.00923418,0,,,,1.0,5.0,4.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,
11450130,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183.0,505,M,839982,EUR,837561600,D,5,5,False,,26.0,21.0,1.0,,19.0,22.0,2.0,4.0,6.0,,,,,90.0,40.0,6.9,7.0,0.00037209,0,,,,,4.0,2.0,,,1.0,,5.0,,,3.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11450130,home,Başakşehir FK,Ousseynou Ba,ousseynou-ba,O. Ba,D,27,192.0,385,M,889430,EUR,816048000,D,27,27,False,,29.0,22.0,2.0,1.0,20.0,26.0,2.0,3.0,5.0,,,,,90.0,54.0,7.4,7.0,0.00043954,0,,,,,4.0,5.0,,,,,11.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,,,
11450130,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178.0,140,M,248529,EUR,687052800,D,6,6,False,,24.0,15.0,6.0,1.0,9.0,10.0,7.0,16.0,3.0,,,,,90.0,46.0,6.9,16.0,0.13545,0,,,,2.0,3.0,4.0,1.0,,,,3.0,2.0,2.0,,1.0,1.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,
11450130,home,Başakşehir FK,Onur Ergün,onur-ergun,O. Ergün,M,4,185.0,45,M,893009,EUR,721785600,M,4,4,False,,34.0,29.0,3.0,1.0,22.0,26.0,8.0,9.0,6.0,,,,,90.0,51.0,6.7,5.0,0.0359285,1,,,,1.0,4.0,3.0,2.0,,,,3.0,,2.0,1.0,,1.0,4.0,3.0,1.0,,1.0,,,1.0,1.0,0.0262,,,,,,,,,
11450130,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175.0,292,M,252207,EUR,728265600,M,23,23,False,,32.0,20.0,6.0,3.0,13.0,17.0,8.0,19.0,5.0,,,,,90.0,52.0,6.7,21.0,0.00407996,0,,,,4.0,7.0,4.0,,,3.0,2.0,3.0,1.0,1.0,5.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,
11450130,home,Başakşehir FK,Ömer Ali Şahiner,omer-ali-sahiner,Ö. A. Şahiner,D,42,175.0,88,M,103912,EUR,694310400,M,42,42,False,,2.0,2.0,,,2.0,2.0,,,1.0,,,,,33.0,3.0,6.6,,6.73e-06,0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,
11450130,home,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178.0,161,M,806964,EUR,887500800,M,10,10,False,,22.0,17.0,1.0,,10.0,12.0,7.0,10.0,4.0,,,,,90.0,35.0,6.6,10.0,0.00654069,1,,,,,3.0,3.0,,1.0,,,2.0,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,,,,1.0,,0.0135,,,,,,,,,
11450130,home,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179.0,1278,M,841012,EUR,833155200,M,25,25,False,,13.0,7.0,1.0,,5.0,7.0,2.0,6.0,2.0,,,,,47.0,26.0,5.4,12.0,0.00379975,0,,,,,6.0,3.0,,,4.0,1.0,1.0,2.0,3.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,
