match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltySave,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,stat_errorLeadToAShot,stat_wasFouled,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,stat_penaltyConceded,captain,stat_totalCross,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_goals,stat_totalOffside,player_sofascoreId,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyMiss,stat_penaltyWon
11451034,home,Başakşehir FK,Volkan Babacan,volkan-babacan,V. Babacan,G,1,192,197,M,30143,EUR,587260800,G,1,1,False,22.0,15.0,12.0,6.0,10.0,13.0,5.0,9.0,1.0,1.0,1.0,8.0,3.0,1.0,1.0,3.0,1.0,90.0,32.0,7.8,7.0,0.00266755,0,1.1671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Léo Dubois,leo-dubois,L. Dubois,D,,178,587,M,552680,EUR,779500800,D,15,15,False,28.0,21.0,5.0,2.0,10.0,11.0,11.0,17.0,1.0,3.0,3.0,6.0,,,,,,72.0,43.0,6.7,11.0,0.00773367,0,,,,1.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Léo Duarte,leo-duarte,L. Duarte,D,5,183,505,M,839982,EUR,837561600,D,5,5,False,47.0,44.0,1.0,1.0,32.0,33.0,12.0,14.0,1.0,2.0,2.0,1.0,,,,,,90.0,55.0,6.7,5.0,0.0731895,0,,,,2.0,6.0,1.0,,2.0,,1.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Jerome Opoku,opoku-jerome,J. Opoku,D,3,194,1395,M,920514,EUR,908323200,D,3,3,False,39.0,33.0,5.0,1.0,21.0,24.0,12.0,15.0,1.0,4.0,4.0,3.0,,,,,,90.0,55.0,6.8,7.0,0.00427264,0,,,,1.0,3.0,,,1.0,1.0,2.0,1.0,1.0,2.0,,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Lucas Lima,lucas-lima,L. Lima,D,3,178,140,M,248529,EUR,687052800,D,6,6,False,34.0,19.0,7.0,2.0,9.0,15.0,10.0,19.0,1.0,5.0,3.0,1.0,,,,,,90.0,46.0,7.0,17.0,0.00753081,0,,,,3.0,3.0,,,,,,4.0,3.0,,,,,,1.0,,True,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Berkay Özcan,berkay-ozcan,B. Özcan,M,8,178,161,M,806964,EUR,887500800,M,10,10,False,25.0,21.0,2.0,,13.0,13.0,8.0,12.0,1.0,4.0,2.0,4.0,,,,,,45.0,38.0,6.6,6.0,0.00606571,0,,,,,3.0,2.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Deniz Türüç,deniz-turuc,D. Türüç,M,9,175,292,M,252207,EUR,728265600,M,23,23,False,34.0,28.0,3.0,1.0,15.0,16.0,13.0,19.0,2.0,5.0,1.0,4.0,,,,,,90.0,50.0,6.4,11.0,0.0408254,1,,,,2.0,10.0,3.0,1.0,3.0,1.0,,,,2.0,,2.0,,1.0,1.0,,,1.0,1.0,0.0302,0.0393,,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,Mehdi Abeid,mehdi-abeid,M. Abeid,M,,180,913,M,73056,EUR,713059200,M,19,19,False,16.0,14.0,,,7.0,8.0,7.0,8.0,1.0,6.0,,5.0,,,,,,85.0,31.0,7.4,5.0,0.00335657,2,,,,1.0,8.0,,1.0,1.0,1.0,1.0,1.0,1.0,6.0,,3.0,,,2.0,,,,1.0,0.5988,0.7014,1.0,1.0,1.0,,,,,,,,,,,,
11451034,home,Başakşehir FK,Dimitrios Pelkas,dimitrios-pelkas,D. Pelkas,M,10,175,1186,M,139304,EUR,751593600,M,14,14,False,21.0,16.0,2.0,2.0,8.0,8.0,8.0,14.0,1.0,2.0,,3.0,,,,,,72.0,30.0,6.7,8.0,0.0679265,1,,,,1.0,6.0,1.0,,1.0,,,1.0,,3.0,,,1.0,,1.0,,,1.0,,0.0479,,1.0,,,,,,,,,,,,,,
11451034,home,Başakşehir FK,João Figueiredo,joao-figueiredo,J. Figueiredo,F,25,179,1278,M,841012,EUR,833155200,M,25,25,False,24.0,20.0,6.0,5.0,13.0,13.0,7.0,13.0,1.0,7.0,2.0,6.0,,,,,,89.0,44.0,7.3,11.0,0.411056,1,,,,2.0,6.0,,2.0,2.0,1.0,,,,1.0,,6.0,1.0,2.0,2.0,,,2.0,1.0,0.0325,0.0488,,,,,,,,,,,,,,,
